player,position,cbs_pts,cbs_pts_rank_by_position
"Drew Brees, NO",qb,423.8,1
"Aaron Rodgers, GB",qb,415.8,2
"Peyton Manning, DEN",qb,400,3
"Tom Brady, NE",qb,369.6,4
"Cam Newton, CAR",qb,368.6,5
"Matt Ryan, ATL",qb,361.2,6
"Matthew Stafford, DET",qb,356.6,7
"Robert Griffin III, WAS",qb,347,8
"Andrew Luck, IND",qb,343.6,9
"Tony Romo, DAL",qb,342.8,10
"Colin Kaepernick, SF",qb,332,11
"Russell Wilson, SEA",qb,315.8,12
"Eli Manning, NYG",qb,315.8,13
"Michael Vick, PHI",qb,290,14
"Andy Dalton, CIN",qb,289.8,15
"Jay Cutler, CHI",qb,289.2,16
"Carson Palmer, ARI",qb,287.4,17
"Sam Bradford, STL",qb,284.4,18
"Ben Roethlisberger, PIT",qb,281.2,19
"Josh Freeman, TB",qb,280.8,20
"Matt Schaub, HOU",qb,277,21
"Brandon Weeden, CLE",qb,270.4,22
"Alex Smith, KC",qb,266.6,23
"Joe Flacco, BAL",qb,263.6,24
"Philip Rivers, SD",qb,263,25
"Jake Locker, TEN",qb,258.4,26
"Ryan Tannehill, MIA",qb,257.6,27
"EJ Manuel, BUF",qb,232,28
"Christian Ponder, MIN",qb,229.4,29
"Blaine Gabbert, JAC",qb,199.4,30
"Terrelle Pryor, OAK",qb,158.2,31
"Geno Smith, NYJ",qb,153,32
"Matt Flynn, OAK",qb,108,33
"Chad Henne, JAC",qb,63.6,34
"Mark Sanchez, NYJ",qb,55.8,35
"Nick Foles, PHI",qb,54,36
"Kirk Cousins, WAS",qb,26.6,37
"Matt Barkley, PHI",qb,24,38
"Ryan Fitzpatrick, TEN",qb,21,39
"Matt Cassel, MIN",qb,11.8,40
"Jason Campbell, CLE",qb,11.4,41
"Joe Webb, MIN",qb,8.8,42
"Jeff Tuel, BUF",qb,6.8,43
"Drew Stanton, ARI",qb,5,44
"Charlie Whitehurst, SD",qb,4.8,45
"Tyrod Taylor, BAL",qb,4.8,46
"Bruce Gradkowski, PIT",qb,4.6,47
"Tyler Wilson, OAK",qb,4,48
"Brian Hoyer, CLE",qb,2.8,49
"Brock Osweiler, DEN",qb,2.8,50
"Chase Daniel, KC",qb,2.2,51
"Kyle Orton, DAL",qb,1.8,52
"Ryan Mallett, NE",qb,1.8,53
"Shaun Hill, DET",qb,1.8,54
"Curtis Painter, NYG",qb,1,55
"Josh McCown, CHI",qb,0.8,56
"T.J. Yates, HOU",qb,0,57
"Mike Glennon, TB",qb,0,58
"Adrian Peterson, MIN",rb,258.4,1
"C.J. Spiller, BUF",rb,238,2
"Doug Martin, TB",rb,235.4,3
"Jamaal Charles, KC",rb,232,4
"Trent Richardson, CLE",rb,227,5
"Marshawn Lynch, SEA",rb,221.6,6
"LeSean McCoy, PHI",rb,214.8,7
"Arian Foster, HOU",rb,213,8
"Ray Rice, BAL",rb,211.6,9
"Alfred Morris, WAS",rb,201.2,10
"Matt Forte, CHI",rb,191.8,11
"Stevan Ridley, NE",rb,188.2,12
"Chris Johnson, TEN",rb,186.6,13
"Steven Jackson, ATL",rb,184.2,14
"Reggie Bush, DET",rb,176.4,15
"Maurice Jones-Drew, JAC",rb,172.6,16
"DeMarco Murray, DAL",rb,167.6,17
"David Wilson, NYG",rb,164,18
"Frank Gore, SF",rb,163.6,19
"Lamar Miller, MIA",rb,161.6,20
"Darren Sproles, NO",rb,153.2,21
"Eddie Lacy, GB",rb,143.4,22
"Giovani Bernard, CIN",rb,142.6,23
"Darren McFadden, OAK",rb,140.8,24
"Shane Vereen, NE",rb,136.2,25
"Ryan Mathews, SD",rb,134.2,26
"Ahmad Bradshaw, IND",rb,133,27
"Montee Ball, DEN",rb,131,28
"Rashard Mendenhall, ARI",rb,128.8,29
"Daryl Richardson, STL",rb,128.6,30
"Chris Ivory, NYJ",rb,112.4,31
"Mark Ingram, NO",rb,110,32
"DeAngelo Williams, CAR",rb,109.8,33
"Ben Tate, HOU",rb,101.8,34
"Bernard Pierce, BAL",rb,100.6,35
"BenJarvus Green-Ellis, CIN",rb,100.4,36
"Bryce Brown, PHI",rb,98.6,37
"Pierre Thomas, NO",rb,97.6,38
"Danny Woodhead, SD",rb,93.4,39
