extracted,term,title,views,length,upload,score,ratings,likes,dislikes
2013-09-17,psy,PSY - GANGNAM STYLE () M/V,1770124533,253,2012-07-15T07:46:32.000Z,4.5937996,8723953,7838035,885918
2013-09-17,psy,PSY - GENTLEMAN M/V,544541493,234,2013-04-13T11:59:04.000Z,4.3625402,3188348,2680237,508111
2013-09-17,psy,PSY (ft. HYUNA)    ,410538282,227,2012-08-14T15:00:06.000Z,4.2544994,1398067,1137502,260565
2013-09-17,psy,[Live HD 720p] 120715 - PSY - Gangnam style (Comeback stage) - Inkigayo,236735767,303,2012-07-16T15:14:04.000Z,4.575045,590199,527497,62702
2013-09-17,psy,Rewind YouTube Style 2012,125535870,255,2012-12-18T04:53:05.000Z,4.7722383,925353,872663,52690
2013-09-17,psy,PSY - GANGNAM STYLE () Waveya  Korean dance team,116864164,151,2012-08-15T04:17:25.000Z,4.820654,456481,436014,20467
2013-09-17,psy,PSY - GANGNAM STYLE @ Summer Stand Live Concert,101818471,244,2012-08-30T02:18:52.000Z,4.552425,358626,318498,40128
2013-09-17,psy,PSY - GANGNAM STYLE () M/V Making Film,62187248,522,2012-07-25T07:38:30.000Z,4.4773407,196763,171053,25710
2013-09-17,psy,Surprise! Britney Learns 'Gangnam Style' from Psy!,53936669,175,2012-09-11T03:33:08.000Z,4.7497435,194872,182680,12192
2013-09-17,psy,HYUNA - 'Ice Cream' (Official Music Video),50315476,241,2012-10-22T00:53:01.000Z,4.276047,256525,210097,46428
2013-09-17,psy,VOU TE ENCOXAR | Parodia PSY - GANGNAM STYLE (),42223966,281,2012-09-12T15:51:03.000Z,4.5141034,224311,197063,27248
2013-09-17,psy,PSY_0715_SBS Inkigayo_GANGNAM STYLE (),41783283,303,2012-07-15T11:59:23.000Z,4.4550734,113263,97833,15430
2013-09-17,psy,PSY - GANGNAM STYLE () PARODY! KIM JONG STYLE! | Key of Awesome #63,37164772,195,2012-09-21T19:14:24.000Z,4.4556665,141112,121909,19203
2013-09-17,psy,Gangnam Style - PSY (Jayesslee Cover),33753101,204,2013-02-02T01:06:35.000Z,4.896226,468093,455949,12144
2013-09-17,psy,PSY - GANGNAM STYLE (MattyBRaps Cover feat. Cimorelli),33202224,252,2012-10-03T00:31:58.000Z,3.6978536,241340,162775,78565
2013-09-17,psy,PSY  - GENTLEMAN  Waveya  cover dance,33155054,148,2013-04-18T16:10:31.000Z,4.710384,109248,101338,7910
2013-09-17,psy,PSY - GANGNAM STYLE PARODY -  (),31518717,213,2012-08-27T16:01:20.000Z,4.646392,114296,104192,10104
2013-09-17,psy,"PSY - ""GANGNAM STYLE"" () PARODY -  ENGLISH VERSION",28452683,212,2012-09-14T23:50:54.000Z,4.4127245,139260,118814,20446
2013-09-17,psy,TEENS REACT TO GANGNAM STYLE,26011658,402,2012-08-19T19:10:02.000Z,4.7019997,169624,156987,12637
2013-09-17,psy,PSY-EL BAILE DEL CABALLO,23384070,253,2012-09-08T14:09:54.000Z,4.475051,28498,24758,3740
2013-09-17,psy,Gangnam Style Official Music Video - 2012 PSY with Oppan Lyrics & MP3 Download,23176596,254,2012-12-12T23:03:05.000Z,4.1237526,44088,34430,9658
2013-09-17,psy,PSY   Gangnam Style Official Video,22703139,263,2012-09-25T19:57:07.000Z,4.7131276,71544,66413,5131
2013-09-17,psy,PSY - KOREA M/V,22056016,232,2012-07-31T06:13:48.000Z,4.529262,99138,87471,11667
2013-09-17,psy,PSY - RIGHT NOW M/V,21908078,273,2010-10-21T00:44:28.000Z,4.7991643,175427,166619,8808
2013-09-17,psy,Music videos without music: GANGNAM STYLE () by PSY,21360364,232,2012-09-28T00:27:53.000Z,4.708773,104647,97028,7619
2013-09-17,psy,PSY - GANGNAM STYLE () Teaser #1,19764124,29,2012-07-12T00:00:24.000Z,4.217789,27972,22502,5470
2013-09-17,psy,PSY - Gangnam style Sponge bob parody,18860450,136,2012-10-18T07:03:46.000Z,4.3342867,29370,24482,4888
2013-09-17,psy," ""Like An Enderman"" - Gangnam Style Minecraft Parody (Parody Of - PSY GANGNAM STYLE)",18412884,139,2012-11-13T22:24:33.000Z,4.730639,104321,97296,7025
2013-09-17,psy,PSY_0729_SBS Inkigayo_GANGNAM STYLE (),17437283,216,2012-07-30T00:02:37.000Z,4.5826645,38741,34699,4042
2013-09-17,psy,"How To Dance ""GANGNAM STYLE"" () - PSY",17298548,302,2012-10-04T09:51:17.000Z,4.2288175,40281,32515,7766
2013-09-17,psy,PSY- Gangnam Style (Official Music Video),16596313,303,2012-10-23T21:13:55.000Z,4.117764,32132,25045,7087
2013-09-17,psy,PSY - GANGNAM STYLE [Chipmunk Ver.],16394845,221,2012-08-06T03:42:11.000Z,4.2136774,29362,23590,5772
