cbs_overall_draft_position,player,position,cbs_avg_draft_position,cbs_position_draft_position
8,"Drew Brees, QB, NO",qb,9.42,1
12,"Aaron Rodgers, QB, GB",qb,11.25,2
15,"Peyton Manning, QB, DEN",qb,17,3
27,"Tom Brady, QB, NE",qb,29.28,4
32,"Matt Ryan, QB, ATL",qb,34.23,5
33,"Cam Newton, QB, CAR",qb,35.55,6
42,"Matthew Stafford, QB, DET",qb,43.1,7
51,"Andrew Luck, QB, IND",qb,56.85,8
52,"Colin Kaepernick, QB, SF",qb,56.95,9
54,"Robert Griffin III, QB, WAS",qb,58.26,10
59,"Tony Romo, QB, DAL",qb,62.88,11
72,"Russell Wilson, QB, SEA",qb,71.5,12
84,"Eli Manning, QB, NYG",qb,84.98,13
103,"Andy Dalton, QB, CIN",qb,104.65,14
113,"Michael Vick, QB, PHI",qb,117.21,15
115,"Jay Cutler, QB, CHI",qb,119.54,16
121,"Carson Palmer, QB, ARI",qb,123.53,17
125,"Matt Schaub, QB, HOU",qb,125.38,18
130,"Ben Roethlisberger, QB, PIT",qb,126.51,19
132,"Sam Bradford, QB, STL",qb,127.81,20
135,"Josh Freeman, QB, TB",qb,128.78,21
136,"Joe Flacco, QB, BAL",qb,129.23,22
152,"Alex Smith, QB, KC",qb,138.31,23
154,"Philip Rivers, QB, SD",qb,139.06,24
168,"Ryan Tannehill, QB, MIA",qb,147.64,25
177,"Brandon Weeden, QB, CLE",qb,150.3,26
187,"EJ Manuel, QB, BUF",qb,153.8,27
197,"Jake Locker, QB, TEN",qb,158.11,28
201,"Christian Ponder, QB, MIN",qb,160.02,29
1,"Adrian Peterson, RB, MIN",rb,1.11,1
2,"Doug Martin, RB, TB",rb,4.61,2
3,"Arian Foster, RB, HOU",rb,5.21,3
4,"Jamaal Charles, RB, KC",rb,5.95,4
5,"C.J. Spiller, RB, BUF",rb,6.66,5
6,"Marshawn Lynch, RB, SEA",rb,7.93,6
7,"Ray Rice, RB, BAL",rb,9.31,7
10,"Trent Richardson, RB, CLE",rb,9.47,8
11,"LeSean McCoy, RB, PHI",rb,9.89,9
13,"Alfred Morris, RB, WAS",rb,14.16,10
14,"Matt Forte, RB, CHI",rb,15.6,11
16,"Steven Jackson, RB, ATL",rb,19.65,12
17,"Chris Johnson, RB, TEN",rb,19.65,13
21,"Stevan Ridley, RB, NE",rb,23.75,14
24,"Reggie Bush, RB, DET",rb,24.92,15
25,"Maurice Jones-Drew, RB, JAC",rb,25.03,16
