espn_position_draft_position,player,position,espn_avg_draft_position,espn_avg_bid_value,espn_bid_rank_by_position
1,Seahawks D/ST,dst,68.5,6.5,1
2,49ers D/ST,dst,71.5,5.6,2
3,Texans D/ST,dst,84,3.5,3
4,Bears D/ST,dst,90.7,3.2,4
5,Bengals D/ST,dst,107.2,2.4,5
6,Patriots D/ST,dst,113.3,2,6
7,Broncos D/ST,dst,116.2,1.9,7
8,Steelers D/ST,dst,121,1.5,8
10,Ravens D/ST,dst,135.7,1.5,9
11,Cardinals D/ST,dst,136,1.4,10
9,Packers D/ST,dst,131.2,1.3,11
13,Falcons D/ST,dst,138.8,1.3,12
14,Buccaneers D/ST,dst,142,1.3,13
12,Rams D/ST,dst,136.9,1.2,14
15,Cowboys D/ST,dst,143,1.2,15
16,Dolphins D/ST,dst,149.8,1.1,16
17,Browns D/ST,dst,170,0,17
18,Giants D/ST,dst,170,0,18
19,Vikings D/ST,dst,170,0,19
20,Colts D/ST,dst,170,0,20
21,Lions D/ST,dst,170,0,21
22,Chargers D/ST,dst,170,0,22
23,Redskins D/ST,dst,170,0,23
24,Panthers D/ST,dst,170,0,24
25,Chiefs D/ST,dst,170,0,25
26,Jets D/ST,dst,170,0,26
27,Saints D/ST,dst,170,0,27
28,Eagles D/ST,dst,170,0,28
29,Bills D/ST,dst,170,0,29
30,Titans D/ST,dst,170,0,30
31,Raiders D/ST,dst,170,0,31
32,Jaguars D/ST,dst,170,0,32
1,"Stephen Gostkowski, NE",k,100.6,2.9,1
2,"Blair Walsh, Min",k,112.3,2.2,2
3,"Matt Bryant, Atl",k,122,1.8,3
4,"Matt Prater, Den",k,130,1.8,4
10,"Greg Zuerlein, StL",k,144.8,1.6,5
12,"Mason Crosby, GB",k,145.8,1.6,6
5,"Sebastian Janikowski, Oak",k,132.1,1.5,7
8,"Robbie Gould, Chi",k,138.7,1.5,8
11,"Steven Hauschka, Sea",k,145.6,1.5,9
15,"Garrett Hartley, NO",k,147.9,1.5,10
6,"Justin Tucker, Bal",k,132.7,1.4,11
7,"Phil Dawson, SF",k,137.9,1.4,12
16,"Dan Bailey, Dal",k,149.7,1.3,13
13,"David Akers, Det",k,146.4,1.2,14
14,"Randy Bullock, Hou",k,147.5,1.2,15
17,"Josh Brown, NYG",k,152,1.1,16
9,"Adam Vinatieri, Ind",k,140.3,0,17
18,"Kai Forbath, Wsh",k,170,0,18
19,"Alex Henery, Phi",k,170,0,19
20,"Mike Nugent, Cin",k,170,0,20
21,"Shaun Suisham, Pit",k,170,0,21
22,"Rob Bironas, Ten",k,170,0,22
23,"Caleb Sturgis, Mia",k,170,0,23
24,"Ryan Succop, KC",k,170,0,24
25,"Jay Feely, Ari",k,170,0,25
