espn_pts_rank_by_position,player,position,espn_pts
1,"Aaron Rodgers, GB QB",qb,352
2,"Drew Brees, NO QB",qb,334
3,"Peyton Manning, Den QB",qb,324
4,"Tom Brady, NE QB",qb,325
5,"Cam Newton, Car QB",qb,323
6,"Matt Ryan, Atl QB",qb,314
7,"Colin Kaepernick, SF QBBreaking Video",qb,306
8,"Robert Griffin III, Wsh QB  PBreaking Video",qb,268
9,"Matthew Stafford, Det QB",qb,288
10,"Russell Wilson, Sea QB",qb,280
11,"Andrew Luck, Ind QB",qb,280
12,"Tony Romo, Dal QBBreaking Video",qb,284
13,"Eli Manning, NYG QB",qb,232
14,"Ben Roethlisberger, Pit QB",qb,221
15,"Michael Vick, Phi QB",qb,198
16,"Sam Bradford, StL QB",qb,206
17,"Jay Cutler, Chi QB",qb,200
18,"Joe Flacco, Bal QB",qb,201
19,"Andy Dalton, Cin QB",qb,210
20,"Josh Freeman, TB QB",qb,218
21,"Carson Palmer, Ari QBBreaking Video",qb,221
22,"Matt Schaub, Hou QB",qb,230
23,"Philip Rivers, SD QB",qb,216
24,"Ryan Tannehill, Mia QB",qb,205
25,"Alex Smith, KC QB",qb,170
26,"Brandon Weeden, Cle QB",qb,170
27,"Jake Locker, Ten QB",qb,170
28,"Christian Ponder, Min QB",qb,165
29,"EJ Manuel, Buf QB  PBreaking News and Video",qb,146
30,"Geno Smith, NYJ QB  PBreaking News",qb,102
31,"Terrelle Pryor, Oak QBBreaking Video",qb,111
32,"Blaine Gabbert, Jac QB  QBreaking News",qb,90
33,"Chad Henne, Jac QB",qb,49
34,"Mark Sanchez, NYJ QB  DBreaking News",qb,46
35,"Jeff Tuel, Buf QBBreaking News",qb,38
36,"Nick Foles, Phi QB",qb,63
37,"Matt Cassel, Min QB",qb,30
38,"Matt Flynn, Oak QB  PRecent News",qb,38
39,"Jason Campbell, Cle QBBreaking News",qb,29
40,"Bruce Gradkowski, Pit QB",qb,29
41,"Kirk Cousins, Wsh QB  PRecent News",qb,33
42,"Ryan Fitzpatrick, Ten QB",qb,35
43,"Ryan Mallett, NE QB",qb,0
44,"Brock Osweiler, Den QB  P",qb,0
45,"Drew Stanton, Ari QB",qb,5
46,"Shaun Hill, Det QB",qb,0
47,"B.J. Coleman, GB QBRecent News",qb,0
48,"Matt Moore, Mia QB",qb,0
49,"Kyle Orton, Dal QB",qb,0
50,"Luke McCown, NO QB",qb,0
51,"Matt Hasselbeck, Ind QB",qb,0
