state,population
California,37253956
Texas,25145561
New York,19378102
Florida,18801310
Illinois,12830632
Pennsylvania,12702379
Ohio,11536504
Michigan,9883640
Georgia,9687653
North Carolina,9535483
New Jersey,8791894
Virginia,8001024
Washington,6724540
Massachusetts,6547629
Indiana,6483802
Arizona,6392017
Tennessee,6346105
Missouri,5988927
Maryland,5773552
Wisconsin,5686986
Minnesota,5303925
Colorado,5029196
Alabama,4779736
South Carolina,4625364
Louisiana,4533372
Kentucky,4339367
Oregon,3831074
Oklahoma,3751351
Connecticut,3574097
Iowa,3046355
Mississippi,2967297
Arkansas,2915918
Kansas,2853118
Utah,2763885
Nevada,2700551
New Mexico,2059179
West Virginia,1852994
Nebraska,1826341
Idaho,1567582
Hawaii,1360301
Maine,1328361
New Hampshire,1316470
Rhode Island,1052567
Montana,989415
Delaware,897934
South Dakota,814180
Alaska,710231
North Dakota,672591
Vermont,625741
District of Columbia,601723
Wyoming,563626
