team,wins_b,loss_b,mid,wins_a,loss_a,record,league
San Antonio Spurs,17.4,0,0.2,7.4,10,25-10,nba
Los Angeles Lakers,16.4,0,0.2,8.4,8,25-8,nba
Detroit Red Wings,13.4,0,0.2,3.4,10,17-10,nhl
Miami Heat,12.4,0,0.2,5.4,7,18-7,nba
New England Patriots,11.9,0,0.2,4.9,7,17-7,nfl
Dallas Mavericks,11.9,0,0.2,0.9,11,13-11,nba
Boston Celtics,11.4,0,0.2,2.4,9,14-9,nba
Detroit Pistons,11.4,0,0.2,4.4,7,16-7,nba
San Jose Sharks,10.9,0,0.2,0,10.9,11-11,nhl
Baltimore Ravens,10.4,0,0.2,3.4,7,14-7,nfl
New Jersey Devils,10.4,0,0.2,1.4,9,12-9,nhl
St. Louis Cardinals,9.9,0,0.2,2.9,7,13-7,mlb
Philadelphia Flyers,9.9,0,0.2,0,9.9,10-10,nhl
Indianapolis Colts,9,0.4,0.2,0,9.4,9-10,nfl
Philadelphia Eagles,9.4,0,0.2,0.4,9,10-9,nfl
Pittsburgh Penguins,9.4,0,0.2,2.4,7,12-7,nhl
Pittsburgh Steelers,8.9,0,0.2,2.9,6,12-6,nfl
Ottawa Senators,8,0.9,0.2,0,8.9,8-10,nhl
Boston Bruins,8.4,0,0.2,0.4,8,9-8,nhl
Vancouver Canucks,0,1.4,0.2,0,0,7-10,nhl
New York Yankees,7.9,0,0.2,0.9,7,9-7,mlb
Green Bay Packers,7.9,0,0.2,0,7.9,8-8,nfl
NJ/Brooklyn Nets,7.9,0,0.2,0.9,7,9-7,nba
Anaheim Ducks,7.9,0,0.2,1.9,6,10-6,nhl
New York Giants,7.4,0,0.2,2.4,5,10-5,nfl
Indiana Pacers,6,1.4,0.2,0,7.4,6-9,nba
Orlando Magic,6,1.4,0.2,0,7.4,6-9,nba
Colorado Avalanche,7.4,0,0.2,1.4,6,9-6,nhl
Phoenix Suns,6.9,0,0.2,0,6.9,7-7,nba
Chicago Blackhawks,6.9,0,0.2,2.9,4,10-4,nhl
Seattle Seahawks,6,0.4,0.2,0,6.4,6-7,nfl
Cleveland Cavaliers,6.4,0,0.2,1.4,5,8-5,nba
Philadelphia 76ers,5,1.4,0.2,0,6.4,5-8,nba
Seattle/OKC SuperSonics/Thunder,6.4,0,0.2,0.4,6,7-6,nba
Montreal Canadiens,5,1.4,0.2,0,6.4,5-8,nhl
New York Jets,5.9,0,0.2,0,5.9,6-6,nfl
Chicago Bulls,4,1.9,0.2,0,5.9,4-8,nba
Denver Nuggets,2,3.9,0.2,0,5.9,2-10,nba
Utah Jazz,4,1.9,0.2,0,5.9,4-8,nba
Carolina Hurricanes,5.9,0,0.2,2.9,3,9-3,nhl
Los Angeles Kings,5.9,0,0.2,0.9,5,7-5,nhl
New York Rangers,5,0.9,0.2,0,5.9,5-7,nhl
San Francisco Giants,5.4,0,0.2,2.4,3,8-3,mlb
Sacramento Kings,5,0.4,0.2,0,5.4,5-6,nba
St. Louis Blues,4,1.4,0.2,0,5.4,4-7,nhl
Tampa Bay Lightning,5.4,0,0.2,1.4,4,7-4,nhl
Washington Capitals,0,2.4,0.2,0,0,3-8,nhl
Atlanta Braves,1,3.9,0.2,0,4.9,1-9,mlb
Philadelphia Phillies,4.9,0,0.2,0.9,4,6-4,mlb
New Orleans Saints,4.9,0,0.2,0.9,4,6-4,nfl
Charlotte/NO Hornets,3,1.9,0.2,0,4.9,3-7,nba
Buffalo Sabres,4.9,0,0.2,0,4.9,5-5,nhl
Dallas Stars,4,0.9,0.2,0,4.9,4-6,nhl
Atlanta Falcons,3,1.4,0.2,0,4.4,3-6,nfl
Atlanta Hawks,3,1.4,0.2,0,4.4,3-6,nba
Memphis Grizzlies,3,1.4,0.2,0,4.4,3-6,nba
Nashville Predators,2,2.4,0.2,0,4.4,2-7,nhl
Toronto Maple Leafs,0,0.4,0.2,0,0,4-5,nhl
Boston Red Sox,3.9,0,0.2,1.9,2,6-2,mlb
Carolina Panthers,3.9,0,0.2,0.9,3,5-3,nfl
Denver Broncos,2,1.9,0.2,0,3.9,2-6,nfl
Minnesota Vikings,3,0.9,0.2,0,3.9,3-5,nfl
San Diego Chargers,3,0.9,0.2,0,3.9,3-5,nfl
San Francisco 49ers,3.9,0,0.2,0,3.9,4-4,nfl
Milwaukee Bucks,2,1.9,0.2,0,3.9,2-6,nba
Calgary Flames,3,0.9,0.2,0,3.9,3-5,nhl
Arizona Diamondbacks,3.4,0,0.2,0.4,3,4-3,mlb
Los Angeles Angels of Anaheim,3.4,0,0.2,0.4,3,4-3,mlb
Los Angeles Dodgers,3,0.4,0.2,0,3.4,3-4,mlb
Chicago Bears,3,0.4,0.2,0,3.4,3-4,nfl
Oakland Raiders,3.4,0,0.2,0.4,3,4-3,nfl
St. Louis Rams,3,0.4,0.2,0,3.4,3-4,nfl
Tampa Bay Buccaneers,3,0.4,0.2,0,3.4,3-4,nfl
Tennessee Titans,2,1.4,0.2,0,3.4,2-5,nfl
Houston Rockets,1,2.4,0.2,0,3.4,1-6,nba
Houston Astros,2.9,0,0.2,0,2.9,3-3,mlb
Minnesota Twins,1,1.9,0.2,0,2.9,1-5,mlb
Oakland Athletics,1,1.9,0.2,0,2.9,1-5,mlb
Arizona Cardinals,2.9,0,0.2,0.9,2,4-2,nfl
Minnesota Timberwolves,2,0.9,0.2,0,2.9,2-4,nba
New York Knicks,1,1.9,0.2,0,2.9,1-5,nba
Portland Trail Blazers,0,2.9,0.2,0,2.9,0-6,nba
Edmonton Oilers,2.9,0,0.2,0,2.9,3-3,nhl
Minnesota Wild,2,0.9,0.2,0,2.9,2-4,nhl
Phoenix Coyotes,2,0.9,0.2,0,2.9,2-4,nhl
Detroit Tigers,2.4,0,0.2,0.4,2,3-2,mlb
New York Mets,2.4,0,0.2,0.4,2,3-2,mlb
Tampa Bay Rays,2,0.4,0.2,0,2.4,2-3,mlb
Texas Rangers,2,0.4,0.2,0,2.4,2-3,mlb
Dallas Cowboys,1,1.4,0.2,0,2.4,1-4,nfl
Los Angeles Clippers,2,0.4,0.2,0,2.4,2-3,nba
Toronto Raptors,1,1.4,0.2,0,2.4,1-4,nba
Washington Wizards,1,1.4,0.2,0,2.4,1-4,nba
New York Islanders,0,2.4,0.2,0,2.4,0-5,nhl
Chicago Cubs,1,0.9,0.2,0,1.9,1-3,mlb
Chicago White Sox,1.9,0,0.2,0,1.9,2-2,mlb
Colorado Rockies,1.9,0,0.2,0,1.9,2-2,mlb
Cincinnati Bengals,0,1.9,0.2,0,1.9,0-4,nfl
Houston Texans,1.9,0,0.2,0,1.9,2-2,nfl
Miami Dolphins,1,0.9,0.2,0,1.9,1-3,nfl
Washington Redskins,1,0.9,0.2,0,1.9,1-3,nfl
Golden State Warriors,1.9,0,0.2,0,1.9,2-2,nba
Cincinnati Reds,0,1.4,0.2,0,1.4,0-3,mlb
Cleveland Indians,1,0.4,0.2,0,1.4,1-2,mlb
Florida Marlins,1.4,0,0.2,1.4,0,3-0,mlb
Milwaukee Brewers,1,0.4,0.2,0,1.4,1-2,mlb
Jacksonville Jaguars,1,0.4,0.2,0,1.4,1-2,nfl
Kansas City Chiefs,0,1.4,0.2,0,1.4,0-3,nfl
Baltimore Orioles,0.9,0,0.2,0,0.9,1-1,mlb
San Diego Padres,0,0.9,0.2,0,0.9,0-2,mlb
Seattle Mariners,0.9,0,0.2,0.9,0,2-0,mlb
Pittsburgh Pirates,0.4,0,0.2,0.4,0,1-0,mlb
Washington Nationals,0,0.4,0.2,0,0.4,0-1,mlb
Cleveland Browns,0,0.4,0.2,0,0.4,0-1,nfl
Detroit Lions,0,0.4,0.2,0,0.4,0-1,nfl
Charlotte Bobcats,0,0.4,0.2,0,0.4,0-1,nba
Atlanta Thrashers,0,0.4,0.2,0,0.4,0-1,nhl
Columbus Blue Jackets,0,0.4,0.2,0,0.4,0-1,nhl
Florida Panthers,0,0.4,0.2,0,0.4,0-1,nhl
Kansas City Royals,0,0,0.2,0,0,0-0,mlb
Toronto Blue Jays,0,0,0.2,0,0,0-0,mlb
Buffalo Bills,0,0,0.2,0,0,0-0,nfl
