permalink,name,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,last_milestone_at
/company/waywire,#waywire,news,1750000,operating,USA,NY,New York,New York,1,2012-06-01,2012-06-30,2012-06-30,2013-09-06
/company/n-plusn,#NAME?,software,600000,operating,USA,NY,New York,New York,1,2012-01-01,2012-08-29,2012-08-29,
/company/club-domains,.Club Domains,software,7000000,operating,USA,FL,Fort Lauderdale,Oakland Park,1,2011-10-10,2013-05-31,2013-05-31,
/company/0xdata,0xdata,analytics,1700000,operating,USA,CA,SF Bay,Mountain View,1,,2013-01-03,2013-01-03,2012-01-01
/company/1-800-dentist,1-800-DENTIST,health,,operating,USA,CA,Los Angeles,Los Angeles,1,1986-01-01,2010-08-19,2010-08-19,2010-08-19
/company/10-20-media,10-20 Media,ecommerce,750000,operating,USA,MD,Washington DC,Woodbine,2,2001-01-01,2010-03-30,2011-12-28,
/company/1000memories,1000memories,web,2535000,acquired,USA,CA,SF Bay,San Francisco,2,2010-07-01,2010-01-01,2011-02-16,2013-07-04
/company/1000museums-com,1000museums.com,web,807879,operating,USA,WA,Seattle,Bellevue,2,,2012-05-31,2013-04-08,2013-02-16
/company/100plus,100Plus,analytics,1250000,acquired,USA,CA,SF Bay,San Francisco,2,2011-09-16,2011-11-02,2011-11-30,2013-02-27
/company/1010data,1010data,software,35000000,operating,USA,NY,New York,New York,1,2000-01-01,2010-03-08,2010-03-08,2012-01-01
/company/10bestthings,10BestThings,web,50000,operating,USA,OH,Cleveland,Cleveland,1,2009-04-01,2009-04-01,2009-04-01,
/company/10x-technologies,10X Technologies,biotech,3000000,operating,USA,CA,SF Bay,Oakland,1,2012-01-01,2012-11-07,2012-11-07,
/company/10x10-room,10X10 Room,software,77500,operating,USA,MA,Boston,Lexington,1,2010-01-01,2011-10-12,2011-10-12,
/company/11i-solutions,11i Solutions,enterprise,1800000,closed,USA,AL,Huntsville,Huntsville,1,,2011-03-22,2011-03-22,
/company/121nexus,121nexus,software,719000,operating,USA,RI,Providence,Providence,4,2011-10-07,2012-02-06,2013-07-01,2012-04-27
/company/12society,12Society,ecommerce,,acquired,USA,CA,Los Angeles,West Hollywood,1,2012-01-01,2012-04-05,2012-04-05,2013-07-03
/company/1366-technologies,1366 Technologies,manufacturing,48950000,operating,USA,MA,Boston,Lexington,6,2007-01-01,2008-03-27,2011-02-07,2011-06-17
/company/140-proof,140 Proof,advertising,5500000,operating,USA,CA,SF Bay,San Francisco,2,2010-01-11,2009-07-01,2011-04-28,2013-01-24
/company/140fire,140Fire,advertising,500000,operating,USA,CA,Los Angeles,Santa Monica,1,2010-01-01,2010-05-05,2010-05-05,2011-02-24
/company/15five,15Five,software,1200000,operating,USA,CA,SF Bay,San Francisco,2,2011-05-01,2012-01-01,2013-01-15,2013-09-19
/company/169-st,169 ST.,games_video,50000,operating,USA,FL,Orlando,Lake Mary,1,2009-05-15,2009-06-01,2009-06-01,2009-05-01
/company/170-systems,170 Systems,software,14000000,acquired,USA,MA,Boston,Bedford,1,1990-01-01,2002-04-16,2002-04-16,2003-01-01
/company/1cast,1Cast,games_video,,operating,USA,WA,Seattle,Kirkland,1,2006-06-01,2008-08-12,2008-08-12,2009-06-01
/company/1daymakeover,1DayMakeover,ecommerce,50000,operating,USA,CA,Los Angeles,Santa Ana,1,2008-06-30,2008-06-30,2008-06-30,
/company/1energy-systems,1Energy Systems,software,1450000,operating,USA,WA,Seattle,Seattle,1,,2013-04-22,2013-04-22,
/company/1spire,1spire,manufacturing,30000,operating,USA,TX,Houston,Houston,1,2011-10-01,2011-12-20,2011-12-20,
/company/1stdibs,1stdibs,ecommerce,42000000,operating,USA,NY,New York,New York,3,2001-01-01,2011-11-03,2012-12-03,2011-11-01
/company/1world-online,1World Online,enterprise,1000000,operating,USA,CA,SF Bay,San Jose,1,2011-12-01,2013-07-02,2013-07-02,2013-07-01
/company/2080-media,2080 Media,news,40100000,operating,USA,GA,Atlanta,Atlanta,5,2008-01-01,2010-08-05,2013-07-19,
