company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,funding_round_type,funded_at,raised_amount_usd
/company/waywire,#waywire,news,USA,NY,New York,New York,series-a,2012-06-30,1750000
/company/n-plusn,#NAME?,software,USA,NY,New York,New York,angel,2012-08-29,600000
/company/club-domains,.Club Domains,software,USA,FL,Fort Lauderdale,Oakland Park,series-b,2013-05-31,7000000
/company/0xdata,0xdata,analytics,USA,CA,SF Bay,Mountain View,venture,2013-01-03,1700000
/company/1-800-dentist,1-800-DENTIST,health,USA,CA,Los Angeles,Los Angeles,venture,2010-08-19,
/company/10-20-media,10-20 Media,ecommerce,USA,MD,Washington DC,Woodbine,other,2010-03-30,250000
/company/10-20-media,10-20 Media,ecommerce,USA,MD,Washington DC,Woodbine,other,2011-12-28,500000
/company/1000memories,1000memories,web,USA,CA,SF Bay,San Francisco,angel,2010-01-01,15000
/company/1000memories,1000memories,web,USA,CA,SF Bay,San Francisco,series-a,2011-02-16,2520000
/company/1000museums-com,1000museums.com,web,USA,WA,Seattle,Bellevue,other,2013-04-08,647879
/company/1000museums-com,1000museums.com,web,USA,WA,Seattle,Bellevue,other,2012-05-31,160000
/company/100plus,100Plus,analytics,USA,CA,SF Bay,San Francisco,venture,2011-11-02,500000
/company/100plus,100Plus,analytics,USA,CA,SF Bay,San Francisco,angel,2011-11-30,750000
/company/1010data,1010data,software,USA,NY,New York,New York,venture,2010-03-08,35000000
/company/10bestthings,10BestThings,web,USA,OH,Cleveland,Cleveland,angel,2009-04-01,50000
/company/10x-technologies,10X Technologies,biotech,USA,CA,SF Bay,Oakland,other,2012-11-07,3000000
/company/10x10-room,10X10 Room,software,USA,MA,Boston,Lexington,other,2011-10-12,77500
/company/11i-solutions,11i Solutions,enterprise,USA,AL,Huntsville,Huntsville,venture,2011-03-22,1800000
/company/121nexus,121nexus,software,USA,RI,Providence,Providence,angel,2012-02-06,14000
/company/121nexus,121nexus,software,USA,RI,Providence,Providence,angel,2012-04-20,55000
/company/121nexus,121nexus,software,USA,RI,Providence,Providence,angel,2013-01-22,500000
/company/121nexus,121nexus,software,USA,RI,Providence,Providence,other,2013-07-01,150000
/company/12society,12Society,ecommerce,USA,CA,Los Angeles,West Hollywood,angel,2012-04-05,
/company/1366-technologies,1366 Technologies,manufacturing,USA,MA,Boston,Lexington,venture,2010-02-03,5150000
/company/1366-technologies,1366 Technologies,manufacturing,USA,MA,Boston,Lexington,series-b,2010-10-19,20000000
/company/1366-technologies,1366 Technologies,manufacturing,USA,MA,Boston,Lexington,series-a,2008-03-27,12400000
/company/1366-technologies,1366 Technologies,manufacturing,USA,MA,Boston,Lexington,series-b,2010-12-16,6000000
/company/1366-technologies,1366 Technologies,manufacturing,USA,MA,Boston,Lexington,series-b,2011-01-14,2400000
/company/1366-technologies,1366 Technologies,manufacturing,USA,MA,Boston,Lexington,other,2011-02-07,3000000
/company/140-proof,140 Proof,advertising,USA,CA,SF Bay,San Francisco,series-b,2011-04-28,2500000
/company/140-proof,140 Proof,advertising,USA,CA,SF Bay,San Francisco,series-a,2009-07-01,3000000
/company/140fire,140Fire,advertising,USA,CA,Los Angeles,Santa Monica,angel,2010-05-05,500000
/company/15five,15Five,software,USA,CA,SF Bay,San Francisco,venture,2013-01-15,1000000
/company/15five,15Five,software,USA,CA,SF Bay,San Francisco,angel,2012-01-01,200000
/company/169-st,169 ST.,games_video,USA,FL,Orlando,Lake Mary,angel,2009-06-01,50000
/company/170-systems,170 Systems,software,USA,MA,Boston,Bedford,series-a,2002-04-16,14000000
/company/1cast,1Cast,games_video,USA,WA,Seattle,Kirkland,venture,2008-08-12,
/company/1daymakeover,1DayMakeover,ecommerce,USA,CA,Los Angeles,Santa Ana,angel,2008-06-30,50000
/company/1energy-systems,1Energy Systems,software,USA,WA,Seattle,Seattle,venture,2013-04-22,1450000
/company/1spire,1spire,manufacturing,USA,TX,Houston,Houston,venture,2011-12-20,30000
/company/1stdibs,1stdibs,ecommerce,USA,NY,New York,New York,venture,2011-11-03,
/company/1stdibs,1stdibs,ecommerce,USA,NY,New York,New York,venture,2012-12-03,42000000
/company/1stdibs,1stdibs,ecommerce,USA,NY,New York,New York,angel,2012-10-01,
/company/1world-online,1World Online,enterprise,USA,CA,SF Bay,San Jose,series-a,2013-07-02,1000000
/company/2080-media,2080 Media,news,USA,GA,Atlanta,Atlanta,venture,2010-08-05,2500000
/company/2080-media,2080 Media,news,USA,GA,Atlanta,Atlanta,other,2012-12-20,4300000
/company/2080-media,2080 Media,news,USA,GA,Atlanta,Atlanta,series-c+,2013-07-19,26000000
/company/2080-media,2080 Media,news,USA,GA,Atlanta,Atlanta,angel,2012-03-06,100000
/company/2080-media,2080 Media,news,USA,GA,Atlanta,Atlanta,private-equity,2011-09-06,7200000
/company/20jeans,20JEANS,ecommerce,USA,CA,Los Angeles,Los Angeles,angel,2013-04-18,1000000
/company/20jeans,20JEANS,ecommerce,USA,CA,Los Angeles,Los Angeles,angel,2013-02-01,
/company/20x200,20x200,ecommerce,USA,NY,New York,New York,series-a,2009-10-01,800000
/company/20x200,20x200,ecommerce,USA,NY,New York,New York,series-a,2010-08-01,2000000
/company/22nd-century-group,22nd Century Group,biotech,USA,NY,Clarence,Clarence,angel,2013-02-06,67200
/company/22nd-century-group,22nd Century Group,biotech,USA,NY,Clarence,Clarence,other,2012-08-23,530000
/company/22nd-century-group,22nd Century Group,biotech,USA,NY,Clarence,Clarence,series-a,2012-11-16,2428500
/company/22nd-century-group,22nd Century Group,biotech,USA,NY,Clarence,Clarence,other,2011-12-28,1926250
/company/23andme,23andMe,biotech,USA,CA,SF Bay,Mountain View,series-a,2007-05-01,9000000
/company/23andme,23andMe,biotech,USA,CA,SF Bay,Mountain View,series-b,2009-06-18,12600000
/company/23andme,23andMe,biotech,USA,CA,SF Bay,Mountain View,series-c+,2010-11-09,22000000
/company/23andme,23andMe,biotech,USA,CA,SF Bay,Mountain View,series-c+,2011-01-07,9000000
/company/23andme,23andMe,biotech,USA,CA,SF Bay,Mountain View,series-c+,2012-12-10,50000000
/company/23andme,23andMe,biotech,USA,CA,SF Bay,Mountain View,series-c+,2012-12-21,57949892
/company/24-7-card,24/7 Card,finance,USA,CA,Los Angeles,Los Angeles,series-a,2010-10-25,
/company/24-7-card,24/7 Card,finance,USA,CA,Los Angeles,Los Angeles,series-a,2011-10-24,
/company/24-7-card,24/7 Card,finance,USA,CA,Los Angeles,Los Angeles,venture,2011-12-21,3452941
/company/247-techies,247 Techies,hardware,USA,NY,New York,New York,angel,2012-11-05,600000
/company/24m-technologies,24M Technologies,cleantech,USA,,Boston,Cambridge,series-a,2010-08-16,16000000
/company/24pagebooks,24PageBooks,software,USA,NY,Rochester,Rochester,angel,2011-05-23,
/company/250ok,250ok,software,USA,IN,Indianapolis,Indianapolis,angel,2012-09-01,200000
/company/27-bards,27 bards,software,USA,CA,SF Bay,Stanford,angel,2012-11-06,
/company/27-perry,27 Perry,ecommerce,USA,CO,Denver,Boulder,angel,2012-05-17,118000
/company/2go-software-solutions,2GO Mobile Solutions,software,USA,TX,Dallas,Plano,angel,2010-01-09,825000
/company/2nd-story-software-inc,"2nd Story Software, Inc.",software,USA,IA,Cedar Rapids,Cedar Rapids,venture,2005-03-30,85000000
/company/2nd-watch,2nd Watch,enterprise,USA,WA,Seattle,Seattle,private-equity,2012-12-27,4154420
/company/2nd-watch,2nd Watch,enterprise,USA,WA,Seattle,Seattle,venture,2011-12-06,490000
/company/2sms,2sms,,USA,IL,Chicago,Schaumburg,venture,2007-11-01,939000
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-a,2009-06-21,10000000
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-b,2010-02-05,20000000
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-c+,2011-03-10,32500000
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-a,2009-03-25,2275000
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-c+,2012-04-02,26000000
/company/3-v-biosciences,3-V Biosciences,biotech,USA,CA,SF Bay,Palo Alto,series-b,2009-07-10,30000000
/company/3-v-biosciences,3-V Biosciences,biotech,USA,CA,SF Bay,Palo Alto,venture,2012-01-05,20000000
/company/3-v-biosciences,3-V Biosciences,biotech,USA,CA,SF Bay,Palo Alto,series-c+,2013-06-21,20000000
/company/30-second-showcase,30 Second Showcase,software,USA,NJ,New York,Clifton,angel,2013-05-20,25000
/company/33across,33Across,advertising,USA,NY,New York,New York,angel,2009-03-13,750000
/company/33across,33Across,advertising,USA,NY,New York,New York,series-a,2010-04-22,1284560
/company/33across,33Across,advertising,USA,NY,New York,New York,series-b,2011-01-05,9000000
/company/33across,33Across,advertising,USA,NY,New York,New York,series-c+,2012-07-19,13100000
/company/360imaging,360imaging,biotech,USA,GA,Atlanta,Atlanta,angel,2005-01-01,500000
/company/360imaging,360imaging,biotech,USA,GA,Atlanta,Atlanta,series-a,2010-01-01,5000000
/company/365scores,365Scores,mobile,USA,,United States - Other,,series-a,2013-01-28,1200000
/company/37signals,37signals,public_relations,USA,IL,Chicago,Chicago,series-a,2006-07-01,
/company/382-communications,382 Communications,mobile,USA,MA,Boston,Quincy,other,2012-01-13,1600000
/company/3clickemr-corporation,3ClickEMR Corporation,software,USA,MA,Boston,West Roxbury,angel,2010-06-23,250000
/company/3clickemr-corporation,3ClickEMR Corporation,software,USA,MA,Boston,West Roxbury,angel,2011-06-01,250000
/company/3d-biomatrix,3D Biomatrix,biotech,USA,MI,Detroit,Ann Arbor,angel,2013-02-05,1465000
