league,year,series,team,games_won,games_played,won_series
mlb,2012,nlds,San Francisco Giants,3,5,1
mlb,2012,nlds,St. Louis Cardinals,3,5,1
mlb,2011,nlds,Milwaukee Brewers,3,5,1
mlb,2011,nlds,St. Louis Cardinals,3,5,1
mlb,2010,nlds,San Francisco Giants,3,4,1
mlb,2010,nlds,Philadelphia Phillies,3,3,1
mlb,2009,nlds,Philadelphia Phillies,3,4,1
mlb,2009,nlds,Los Angeles Dodgers,3,3,1
mlb,2008,nlds,Los Angeles Dodgers,3,3,1
mlb,2008,nlds,Philadelphia Phillies,3,4,1
mlb,2007,nlds,Colorado Rockies,3,3,1
mlb,2007,nlds,Arizona Diamondbacks,3,3,1
mlb,2006,nlds,St. Louis Cardinals,3,4,1
mlb,2006,nlds,New York Mets,3,3,1
mlb,2005,nlds,Houston Astros,3,4,1
mlb,2005,nlds,St. Louis Cardinals,3,3,1
mlb,2004,nlds,Houston Astros,3,5,1
mlb,2004,nlds,St. Louis Cardinals,3,4,1
mlb,2003,nlds,Chicago Cubs,3,5,1
mlb,2003,nlds,Florida Marlins,3,4,1
mlb,2002,nlds,St. Louis Cardinals,3,3,1
mlb,2002,nlds,San Francisco Giants,3,5,1
mlb,2001,nlds,Arizona Diamondbacks,3,5,1
mlb,2001,nlds,Atlanta Braves,3,3,1
mlb,2000,nlds,New York Mets,3,4,1
mlb,2000,nlds,St. Louis Cardinals,3,3,1
mlb,1999,nlds,Atlanta Braves,3,4,1
mlb,1999,nlds,New York Mets,3,4,1
mlb,1998,nlds,San Diego Padres,3,4,1
mlb,1998,nlds,Atlanta Braves,3,3,1
mlb,1997,nlds,Atlanta Braves,3,3,1
mlb,1997,nlds,Florida Marlins,3,3,1
mlb,1996,nlds,St. Louis Cardinals,3,3,1
mlb,1996,nlds,Atlanta Braves,3,3,1
mlb,1995,nlds,Cincinnati Reds,3,3,1
mlb,1995,nlds,Atlanta Braves,3,4,1
mlb,2012,alds,Detroit Tigers,3,5,1
mlb,2012,alds,New York Yankees,3,5,1
mlb,2011,alds,Texas Rangers,3,4,1
mlb,2011,alds,Detroit Tigers,3,5,1
mlb,2010,alds,New York Yankees,3,3,1
mlb,2010,alds,Texas Rangers,3,5,1
mlb,2009,alds,Los Angeles Angels of Anaheim,3,3,1
mlb,2009,alds,New York Yankees,3,3,1
mlb,2008,alds,Boston Red Sox,3,4,1
mlb,2008,alds,Tampa Bay Rays,3,4,1
mlb,2007,alds,Cleveland Indians,3,4,1
mlb,2007,alds,Boston Red Sox,3,3,1
mlb,2006,alds,Oakland Athletics,3,3,1
mlb,2006,alds,Detroit Tigers,3,4,1
mlb,2005,alds,Los Angeles Angels of Anaheim,3,5,1
mlb,2005,alds,Chicago White Sox,3,3,1
mlb,2004,alds,New York Yankees,3,4,1
mlb,2004,alds,Boston Red Sox,3,3,1
mlb,2003,alds,Boston Red Sox,3,5,1
mlb,2003,alds,New York Yankees,3,4,1
mlb,2002,alds,Minnesota Twins,3,5,1
mlb,2002,alds,Anaheim Angels,3,4,1
mlb,2001,alds,New York Yankees,3,5,1
mlb,2001,alds,Seattle Mariners,3,5,1
mlb,2000,alds,Seattle Mariners,3,3,1
mlb,2000,alds,New York Yankees,3,5,1
mlb,1999,alds,Boston Red Sox,3,5,1
mlb,1999,alds,New York Yankees,3,3,1
mlb,1998,alds,New York Yankees,3,3,1
mlb,1998,alds,Cleveland Indians,3,4,1
mlb,1997,alds,Baltimore Orioles,3,4,1
mlb,1997,alds,Cleveland Indians,3,5,1
mlb,1996,alds,New York Yankees,3,4,1
mlb,1996,alds,Baltimore Orioles,3,4,1
mlb,1995,alds,Seattle Mariners,3,5,1
mlb,1995,alds,Cleveland Indians,3,3,1
mlb,2012,alcs,Detroit Tigers,4,4,1
mlb,2011,alcs,Texas Rangers,4,6,1
mlb,2010,alcs,Texas Rangers,4,6,1
mlb,2009,alcs,New York Yankees,4,6,1
mlb,2008,alcs,Tampa Bay Rays,4,7,1
mlb,2007,alcs,Boston Red Sox,4,7,1
mlb,2006,alcs,Detroit Tigers,4,4,1
mlb,2005,alcs,Chicago White Sox,4,5,1
mlb,2004,alcs,Boston Red Sox,4,7,1
mlb,2003,alcs,New York Yankees,4,7,1
mlb,2002,alcs,Anaheim Angels,4,5,1
mlb,2001,alcs,New York Yankees,4,5,1
mlb,2000,alcs,New York Yankees,4,6,1
mlb,1999,alcs,New York Yankees,4,5,1
mlb,1998,alcs,New York Yankees,4,6,1
mlb,1997,alcs,Cleveland Indians,4,6,1
mlb,1996,alcs,New York Yankees,4,5,1
mlb,1995,alcs,Cleveland Indians,4,6,1
mlb,1993,alcs,Toronto Blue Jays,4,6,1
mlb,1992,alcs,Toronto Blue Jays,4,6,1
mlb,1991,alcs,Minnesota Twins,4,5,1
mlb,1990,alcs,Oakland Athletics,4,4,1
mlb,1989,alcs,Oakland Athletics,4,5,1
mlb,1988,alcs,Oakland Athletics,4,4,1
mlb,1987,alcs,Minnesota Twins,4,5,1
mlb,1986,alcs,Boston Red Sox,4,7,1
mlb,1985,alcs,Kansas City Royals,4,7,1
mlb,1984,alcs,Detroit Tigers,3,3,1
mlb,1983,alcs,Baltimore Orioles,3,4,1
mlb,1982,alcs,Milwaukee Brewers,3,5,1
mlb,1981,alcs,New York Yankees,3,3,1
mlb,1980,alcs,Kansas City Royals,3,3,1
mlb,1979,alcs,Baltimore Orioles,3,4,1
mlb,1978,alcs,New York Yankees,3,4,1
mlb,1977,alcs,New York Yankees,3,5,1
mlb,1976,alcs,New York Yankees,3,5,1
mlb,1975,alcs,Boston Red Sox,3,3,1
mlb,1974,alcs,Oakland Athletics,3,4,1
mlb,1973,alcs,Oakland Athletics,3,5,1
mlb,1972,alcs,Oakland Athletics,3,5,1
mlb,1971,alcs,Baltimore Orioles,3,3,1
mlb,1970,alcs,Baltimore Orioles,3,3,1
mlb,1969,alcs,Baltimore Orioles,3,3,1
mlb,2012,nlcs,San Francisco Giants,4,7,1
mlb,2011,nlcs,St. Louis Cardinals,4,6,1
mlb,2010,nlcs,San Francisco Giants,4,6,1
mlb,2009,nlcs,Philadelphia Phillies,4,5,1
mlb,2008,nlcs,Philadelphia Phillies,4,5,1
mlb,2007,nlcs,Colorado Rockies,4,4,1
mlb,2006,nlcs,St. Louis Cardinals,4,7,1
mlb,2005,nlcs,Houston Astros,4,6,1
mlb,2004,nlcs,St. Louis Cardinals,4,7,1
mlb,2003,nlcs,Florida Marlins,4,7,1
mlb,2002,nlcs,San Francisco Giants,4,5,1
