race,sex,employ,region,age,income,education,records,people,percent,gov_percent
a,a,e,a,65u,75u,a,1,10517,0.014452791,0.872492156
a,a,e,a,65u,75u,cg,1,4910,0.013441955,0.853156823
a,a,e,a,65u,75u,hs,2,4790,0.010229645,0.889979123
a,a,e,a,65u,75u,no-hs,1,817,0.045287638,0.886168911
a,a,e,a,65u,a,a,1,43287,0.014761938,0.931665396
a,a,e,a,65u,a,cg,1,10945,0.012060302,0.897487437
a,a,e,a,65u,a,hs,2,24795,0.011534584,0.941601129
a,a,e,a,65u,a,no-hs,1,7547,0.029415662,0.948588843
a,a,e,a,65u,u25,a,5,12301,0.019673197,0.96268596
a,a,e,a,65u,u25,cg,5,1505,0.022591362,0.924252492
a,a,e,a,65u,u25,hs,10,7109,0.01561401,0.969334646
a,a,e,a,65u,u25,no-hs,5,3688,0.025759219,0.965563991
a,a,e,a,65u,u49,a,2,13410,0.0098434,0.959060403
a,a,e,a,65u,u49,cg,2,2604,0.001920123,0.961597542
a,a,e,a,65u,u49,hs,4,8621,0.007655724,0.960097436
a,a,e,a,65u,u49,no-hs,2,2185,0.02791762,0.952402746
a,a,e,a,65u,u74,a,1,7059,0.016007933,0.913443831
a,a,e,a,65u,u74,cg,1,1927,0.012973534,0.902957966
a,a,e,a,65u,u74,hs,2,4274,0.014038372,0.916003744
a,a,e,a,65u,u74,no-hs,1,858,0.032634033,0.924242424
a,a,e,a,a,75u,a,1,126109,0.079018944,0.162787747
a,a,e,a,a,75u,cg,1,43434,0.050237141,0.146106737
a,a,e,a,a,75u,hs,2,47735,0.10901854,0.176097203
a,a,e,a,a,75u,no-hs,1,10554,0.130377108,0.20001895
a,a,e,a,a,a,a,1,311116,0.154125792,0.326222374
a,a,e,a,a,a,cg,1,68551,0.085192047,0.211477586
a,a,e,a,a,a,hs,2,138989,0.188914231,0.318917324
a,a,e,a,a,a,no-hs,1,42483,0.249323259,0.419956218
a,a,e,a,a,u25,a,5,58328,0.248731313,0.604786723
a,a,e,a,a,u25,cg,5,5166,0.248161053,0.423344948
a,a,e,a,a,u25,hs,10,27042,0.288218327,0.541749871
a,a,e,a,a,u25,no-hs,5,13606,0.292958989,0.626194326
a,a,e,a,a,u49,a,2,69945,0.213839445,0.432511259
a,a,e,a,a,u49,cg,2,9215,0.144872491,0.372978839
a,a,e,a,a,u49,hs,4,35686,0.233761139,0.394748641
a,a,e,a,a,u49,no-hs,2,11629,0.310172844,0.440278614
a,a,e,a,a,u74,a,1,56734,0.150192125,0.272059083
a,a,e,a,a,u74,cg,1,10737,0.096768185,0.235447518
a,a,e,a,a,u74,hs,2,28527,0.172398079,0.251726435
a,a,e,a,a,u74,no-hs,1,6694,0.242455931,0.312369286
a,a,e,a,u18,75u,a,1,30192,0.04759539,0.149542925
a,a,e,a,u18,75u,cg,1,24,0,0.291666667
a,a,e,a,u18,75u,hs,2,152,0.085526316,0.223684211
a,a,e,a,u18,75u,no-hs,1,5630,0.039431616,0.143516874
a,a,e,a,u18,a,a,1,74187,0.088775662,0.391645437
a,a,e,a,u18,a,cg,1,29,0,0.275862069
a,a,e,a,u18,a,hs,2,342,0.131578947,0.280701754
a,a,e,a,u18,a,no-hs,1,12723,0.100448008,0.323901596
a,a,e,a,u18,u25,a,5,14616,0.125410509,0.776819923
a,a,e,a,u18,u25,cg,2,3,0,0.333333333
a,a,e,a,u18,u25,hs,9,49,0.224489796,0.612244898
a,a,e,a,u18,u25,no-hs,5,2048,0.18359375,0.685546875
a,a,e,a,u18,u49,a,2,16220,0.129963009,0.550123305
a,a,e,a,u18,u49,hs,4,68,0.264705882,0.264705882
a,a,e,a,u18,u49,no-hs,2,2738,0.15230095,0.472972973
a,a,e,a,u18,u74,a,1,13160,0.091793313,0.323860182
a,a,e,a,u18,u74,cg,1,2,0,0
a,a,e,a,u18,u74,hs,2,75,0.066666667,0.186666667
a,a,e,a,u18,u74,no-hs,1,2307,0.114000867,0.265713047
a,a,e,a,u34,75u,a,2,28399,0.142927568,0.084333955
a,a,e,a,u34,75u,cg,2,10340,0.087040619,0.04622824
a,a,e,a,u34,75u,hs,4,15863,0.166172855,0.100422367
a,a,e,a,u34,75u,no-hs,2,2196,0.238615665,0.147996357
a,a,e,a,u34,a,a,2,71827,0.265081376,0.165926462
a,a,e,a,u34,a,cg,2,17497,0.132365548,0.061210493
a,a,e,a,u34,a,hs,4,44675,0.285394516,0.181018467
a,a,e,a,u34,a,no-hs,2,9654,0.41185001,0.285995442
a,a,e,a,u34,u25,a,10,13001,0.427428659,0.339050842
a,a,e,a,u34,u25,cg,10,1360,0.354411765,0.115441176
a,a,e,a,u34,u25,hs,20,8505,0.423750735,0.338741917
a,a,e,a,u34,u25,no-hs,10,3135,0.468580542,0.437639553
a,a,e,a,u34,u49,a,4,16393,0.363508815,0.20331849
a,a,e,a,u34,u49,cg,4,2562,0.18462139,0.096799375
a,a,e,a,u34,u49,hs,8,11027,0.370091593,0.212569148
a,a,e,a,u34,u49,no-hs,4,2805,0.500534759,0.264884135
a,a,e,a,u34,u74,a,2,14032,0.246935576,0.126995439
a,a,e,a,u34,u74,cg,2,3234,0.142547928,0.058132344
a,a,e,a,u34,u74,hs,4,9281,0.261501993,0.137054197
a,a,e,a,u34,u74,no-hs,2,1517,0.381674357,0.212261042
a,a,e,a,u64,75u,a,4,57001,0.07571797,0.077928457
a,a,e,a,u64,75u,cg,4,28159,0.043147839,0.059412621
a,a,e,a,u64,75u,hs,8,26932,0.093049161,0.093420466
a,a,e,a,u64,75u,no-hs,4,1911,0.310832025,0.132391418
a,a,e,a,u64,a,a,4,121814,0.178017305,0.165752705
a,a,e,a,u64,a,cg,4,40080,0.084605788,0.089720559
a,a,e,a,u64,a,hs,8,69177,0.190482386,0.184974775
a,a,e,a,u64,a,no-hs,4,12559,0.407436898,0.302571861
a,a,e,a,u64,u25,a,20,18410,0.373546985,0.416784356
a,a,e,a,u64,u25,cg,20,2298,0.332898172,0.277632724
a,a,e,a,u64,u25,hs,40,11378,0.357795746,0.426261206
a,a,e,a,u64,u25,no-hs,20,4733,0.431650116,0.461229664
a,a,e,a,u64,u49,a,8,23922,0.282585068,0.21457236
a,a,e,a,u64,u49,cg,8,4050,0.211851852,0.169135802
a,a,e,a,u64,u49,hs,16,15971,0.261536535,0.215953916
a,a,e,a,u64,u49,no-hs,8,3901,0.442194309,0.256344527
a,a,e,a,u64,u74,a,4,22483,0.166081039,0.130854423
a,a,e,a,u64,u74,cg,4,5573,0.099407859,0.107482505
a,a,e,a,u64,u74,hs,8,14896,0.162929646,0.13292159
a,a,e,a,u64,u74,no-hs,4,2012,0.374254473,0.179920477
a,a,e,mw,65u,75u,a,1,2150,0.009767442,0.87627907
a,a,e,mw,65u,75u,cg,1,950,0.013684211,0.88
a,a,e,mw,65u,75u,hs,2,1087,0.003679853,0.867525299
a,a,e,mw,65u,75u,no-hs,1,114,0.035087719,0.929824561
a,a,e,mw,65u,a,a,1,9771,0.00808515,0.940128953
a,a,e,mw,65u,a,cg,1,2161,0.008792226,0.919018973
a,a,e,mw,65u,a,hs,2,6143,0.005860329,0.943350155
a,a,e,mw,65u,a,no-hs,1,1467,0.015678255,0.958418541
a,a,e,mw,65u,u25,a,5,2575,0.010873786,0.97592233
a,a,e,mw,65u,u25,cg,5,238,0.021008403,0.941176471
a,a,e,mw,65u,u25,hs,10,1618,0.008652658,0.978368356
a,a,e,mw,65u,u25,no-hs,5,719,0.015299026,0.981919332
a,a,e,mw,65u,u49,a,2,3351,0.005669949,0.956430916
a,a,e,mw,65u,u49,cg,2,565,0,0.953982301
a,a,e,mw,65u,u49,hs,4,2316,0.006908463,0.958117444
a,a,e,mw,65u,u49,no-hs,2,469,0.010660981,0.948827292
a,a,e,mw,65u,u74,a,1,1695,0.005309735,0.934513274
a,a,e,mw,65u,u74,cg,1,409,0,0.946210269
a,a,e,mw,65u,u74,hs,2,1122,0.003565062,0.935828877
a,a,e,mw,65u,u74,no-hs,1,164,0.030487805,0.902439024
a,a,e,mw,a,75u,a,1,26994,0.055641995,0.143439283
a,a,e,mw,a,75u,cg,1,8759,0.032423793,0.133691061
a,a,e,mw,a,75u,hs,2,10558,0.077476795,0.161773063
a,a,e,mw,a,75u,no-hs,1,2237,0.083594099,0.161376844
a,a,e,mw,a,a,a,1,66422,0.119493541,0.322107133
a,a,e,mw,a,a,cg,1,14020,0.061840228,0.200927247
a,a,e,mw,a,a,hs,2,31445,0.152615678,0.323898871
a,a,e,mw,a,a,no-hs,1,7942,0.175018887,0.432888441
a,a,e,mw,a,u25,a,5,11659,0.213911999,0.623123767
a,a,e,mw,a,u25,cg,5,904,0.230088496,0.402654867
a,a,e,mw,a,u25,hs,10,5931,0.260495701,0.547631091
a,a,e,mw,a,u25,no-hs,5,2401,0.224073303,0.696793003
a,a,e,mw,a,u49,a,2,15116,0.165123048,0.450317544
a,a,e,mw,a,u49,cg,2,2044,0.112035225,0.363502935
a,a,e,mw,a,u49,hs,4,8246,0.186393403,0.421416444
a,a,e,mw,a,u49,no-hs,2,2076,0.218689788,0.490847784
a,a,e,mw,a,u74,a,1,12652,0.114211192,0.272842238
a,a,e,mw,a,u74,cg,1,2313,0.063553826,0.233030696
a,a,e,mw,a,u74,hs,2,6711,0.133661153,0.261361943
a,a,e,mw,a,u74,no-hs,1,1228,0.169381107,0.312703583
a,a,e,mw,u18,75u,a,1,6867,0.035969128,0.114023591
a,a,e,mw,u18,75u,cg,1,5,0,0
a,a,e,mw,u18,75u,hs,2,25,0,0.16
a,a,e,mw,u18,75u,no-hs,1,1399,0.02501787,0.105075054
a,a,e,mw,u18,a,a,1,15881,0.067187205,0.363893961
a,a,e,mw,u18,a,cg,1,6,0,0.166666667
a,a,e,mw,u18,a,hs,2,56,0.017857143,0.25
a,a,e,mw,u18,a,no-hs,1,2803,0.065643953,0.288262576
a,a,e,mw,u18,u25,a,5,2841,0.088701162,0.805350229
a,a,e,mw,u18,u25,cg,1,1,0,1
