year,order,rank,country,group,wc,result
1998,1,1,Brazil,A,1,Lost in the Final
1998,2,2,Germany,F,3,Lost in the Quarterfinals
1998,3,3,Czech Republic,None,6,Didn't make World Cup :-(
1998,4,4,Mexico,E,4,Lost in the round of 16
1998,5,5,England,G,4,Lost in the round of 16
1998,6,6,Argentina,H,3,Lost in the Quarterfinals
1998,7,7,Norway,A,4,Lost in the round of 16
1998,8,8,Yugoslavia,F,4,Lost in the round of 16
1998,9,9,Chile,B,4,Lost in the round of 16
1998,10,10,Colombia,G,5,Lost in group play
1998,11,11,USA,F,5,Lost in group play
1998,12,12,Japan,H,5,Lost in group play
1998,13,13,Morocco,A,5,Lost in group play
1998,14,14,Italy,B,3,Lost in the Quarterfinals
1998,15,15,Spain,D,5,Lost in group play
1998,16,16,Russia,None,6,Didn't make World Cup :-(
1998,17,17,Egypt,None,6,Didn't make World Cup :-(
1998,18,18,France,C,0,Won World Cup!
1998,19,19,Croatia,H,2,Lost in the Semifinals
1998,20,20,Korea,E,5,Lost in group play
1998,21,21,Tunisia,G,5,Lost in group play
1998,22,22,Romania,G,4,Lost in the round of 16
1998,23,23,Zambia,None,6,Didn't make World Cup :-(
1998,24,24,South Africa,C,5,Lost in group play
1998,25,25,Netherlands,E,2,Lost in the Semifinals
1998,26,26,Ecuador,None,6,Didn't make World Cup :-(
1998,27,27,Denmark,C,3,Lost in the Quarterfinals
1998,28,28,Sweden,None,6,Didn't make World Cup :-(
1998,29,29,Paraguay,D,4,Lost in the round of 16
1998,30,30,Jamaica,H,5,Lost in group play
1998,31,31,Austria,B,5,Lost in group play
1998,32,32,Australia,None,6,Didn't make World Cup :-(
1998,33,33,Bolivia,None,6,Didn't make World Cup :-(
1998,34,34,Saudi Arabia,C,5,Lost in group play
1998,35,35,Bulgaria,D,5,Lost in group play
1998,36,36,Belgium,E,5,Lost in group play
1998,37,37,Peru,None,6,Didn't make World Cup :-(
1998,38,38,Uruguay,None,6,Didn't make World Cup :-(
1998,39,39,Portugal,None,6,Didn't make World Cup :-(
1998,40,40,Slovakia,None,6,Didn't make World Cup :-(
1998,41,41,Scotland,A,5,Lost in group play
1998,42,42,Iran,F,5,Lost in group play
1998,43,43,Kuwait,None,6,Didn't make World Cup :-(
1998,44,44,Cote d'Ivoire,None,6,Didn't make World Cup :-(
1998,45,45,Lithuania,None,6,Didn't make World Cup :-(
1998,46,46,Republic of Ireland,None,6,Didn't make World Cup :-(
1998,47,47,Israel,None,6,Didn't make World Cup :-(
1998,48,48,Trinidad and Tobago,None,6,Didn't make World Cup :-(
1998,49,49,Cameroon,B,5,Lost in group play
1998,50,50,Thailand,None,6,Didn't make World Cup :-(
1998,51,51,China PR,None,6,Didn't make World Cup :-(
1998,52,52,Georgia,None,6,Didn't make World Cup :-(
1998,53,53,Turkey,None,6,Didn't make World Cup :-(
1998,54,54,Poland,None,6,Didn't make World Cup :-(
1998,55,55,Greece,None,6,Didn't make World Cup :-(
1998,56,56,Angola,None,6,Didn't make World Cup :-(
1998,57,57,Algeria,None,6,Didn't make World Cup :-(
