artist,debut_year,year,years_since_debut,debut_position,debut_songs,total_hits,best_position,return_songs,best_return_position,last_year,years_since_last
"'N Sync",1998,2013,15,37,1,9,21,0,,2002,11
"'Til Tuesday",1985,2013,28,68,1,1,68,0,,1985,28
.38 Special,1989,2013,24,63,1,1,63,0,,1989,24
"10,000 Maniacs",1994,2013,19,40,1,1,40,0,,1994,19
100 Proof Aged In Soul,1970,2013,43,84,1,1,84,0,,1970,43
10cc,1975,2013,38,42,1,2,42,0,,1977,36
112,1996,2013,17,34,1,8,20,0,,2005,8
1910 Fruitgum Company,1968,2013,45,33,2,3,33,0,,1969,44
2 Chainz,2012,2013,1,27,2,4,27,0,,2013,0
2 Pistols,2008,2013,5,100,1,1,100,0,,2008,5
20 Fingers,1995,2013,18,76,1,1,76,0,,1995,18
2Pac,1993,2013,20,56,1,6,17,0,,2003,10
3 Doors Down,2000,2013,13,15,1,8,5,0,,2008,5
38 Special,1982,2013,31,53,1,1,53,0,,1982,31
3LW,2001,2013,12,69,1,1,69,0,,2001,12
3OH!3,2009,2013,4,30,1,3,30,0,,2010,3
3t,1996,2013,17,43,1,1,43,0,,1996,17
4 Non Blondes,1993,2013,20,50,1,1,50,0,,1993,20
4 P.M.,1995,2013,18,48,1,1,48,0,,1995,18
50 Cent,2003,2013,10,1,5,14,1,0,,2011,2
5th Dimension,1972,2013,41,31,1,1,31,0,,1972,41
69 Boyz,1994,2013,19,65,1,2,63,0,,1995,18
702,1997,2013,16,48,1,2,11,0,,1999,14
8th Day,1971,2013,42,64,1,1,64,0,,1971,42
95 South,1993,2013,20,44,1,1,44,0,,1993,20
98 Degrees,1997,2013,16,45,1,7,37,0,,2000,13
? and The Mysterians,1966,2013,47,5,1,1,5,0,,1966,47
A Flock Of Seagulls,1982,2013,31,67,1,1,67,0,,1982,31
A Taste Of Honey,1978,2013,35,9,1,2,9,0,,1981,32
A$AP Rocky,2013,2013,0,41,1,1,41,0,,2013,0
"A'me Lorain",1990,2013,23,95,1,1,95,0,,1990,23
ABBA,1974,2013,39,49,1,6,12,0,,1981,32
ABC,1985,2013,28,71,1,2,70,0,,1987,26
AWOLNATION,2013,2013,0,25,1,1,25,0,,2013,0
Aaliyah,1994,2013,19,24,2,11,8,0,,2003,10
Aaron Hall,1994,2013,19,57,1,1,57,0,,1994,19
Aaron Neville,1967,2013,46,76,1,3,20,0,,1991,22
Ace,1975,2013,38,57,1,1,57,0,,1975,38
Ace Cannon,1962,2013,51,40,1,1,40,0,,1962,51
Ace Frehley,1979,2013,34,60,1,1,60,0,,1979,34
Ace Hood,2013,2013,0,91,1,1,91,0,,2013,0
Ace Of Base,1993,2013,20,51,1,6,1,0,,1998,15
Ad Libs,1965,2013,48,98,1,1,98,0,,1965,48
Adam Ant,1983,2013,30,51,1,1,51,0,,1983,30
