artist,debut_year,year,years_since_debut,debut_position,debut_songs,total_hits,best_position,return_songs,best_return_position,last_year,years_since_last
"'N Sync",1998,1998,0,37,1,1,37,8,21,1998,0
"'N Sync",1998,1999,1,37,1,4,37,5,21,1999,0
"'N Sync",1998,2000,2,37,1,6,21,3,33,2000,0
"'N Sync",1998,2001,3,37,1,7,21,2,33,2001,0
"'N Sync",1998,2002,4,37,1,9,21,0,,2002,0
"'N Sync",1998,2003,5,37,1,9,21,0,,2002,1
"'N Sync",1998,2004,6,37,1,9,21,0,,2002,2
"'N Sync",1998,2005,7,37,1,9,21,0,,2002,3
"'N Sync",1998,2006,8,37,1,9,21,0,,2002,4
"'N Sync",1998,2007,9,37,1,9,21,0,,2002,5
"'N Sync",1998,2008,10,37,1,9,21,0,,2002,6
"'Til Tuesday",1985,1985,0,68,1,1,68,0,,1985,0
"'Til Tuesday",1985,1986,1,68,1,1,68,0,,1985,1
"'Til Tuesday",1985,1987,2,68,1,1,68,0,,1985,2
"'Til Tuesday",1985,1988,3,68,1,1,68,0,,1985,3
"'Til Tuesday",1985,1989,4,68,1,1,68,0,,1985,4
"'Til Tuesday",1985,1990,5,68,1,1,68,0,,1985,5
"'Til Tuesday",1985,1991,6,68,1,1,68,0,,1985,6
"'Til Tuesday",1985,1992,7,68,1,1,68,0,,1985,7
"'Til Tuesday",1985,1993,8,68,1,1,68,0,,1985,8
"'Til Tuesday",1985,1994,9,68,1,1,68,0,,1985,9
"'Til Tuesday",1985,1995,10,68,1,1,68,0,,1985,10
"'Til Tuesday",1985,1996,11,68,1,1,68,0,,1985,11
"'Til Tuesday",1985,1997,12,68,1,1,68,0,,1985,12
"'Til Tuesday",1985,1998,13,68,1,1,68,0,,1985,13
"'Til Tuesday",1985,1999,14,68,1,1,68,0,,1985,14
"'Til Tuesday",1985,2000,15,68,1,1,68,0,,1985,15
"'Til Tuesday",1985,2001,16,68,1,1,68,0,,1985,16
"'Til Tuesday",1985,2002,17,68,1,1,68,0,,1985,17
"'Til Tuesday",1985,2003,18,68,1,1,68,0,,1985,18
"'Til Tuesday",1985,2004,19,68,1,1,68,0,,1985,19
"'Til Tuesday",1985,2005,20,68,1,1,68,0,,1985,20
"'Til Tuesday",1985,2006,21,68,1,1,68,0,,1985,21
"'Til Tuesday",1985,2007,22,68,1,1,68,0,,1985,22
"'Til Tuesday",1985,2008,23,68,1,1,68,0,,1985,23
.38 Special,1989,1989,0,63,1,1,63,0,,1989,0
.38 Special,1989,1990,1,63,1,1,63,0,,1989,1
.38 Special,1989,1991,2,63,1,1,63,0,,1989,2
.38 Special,1989,1992,3,63,1,1,63,0,,1989,3
.38 Special,1989,1993,4,63,1,1,63,0,,1989,4
.38 Special,1989,1994,5,63,1,1,63,0,,1989,5
.38 Special,1989,1995,6,63,1,1,63,0,,1989,6
.38 Special,1989,1996,7,63,1,1,63,0,,1989,7
.38 Special,1989,1997,8,63,1,1,63,0,,1989,8
.38 Special,1989,1998,9,63,1,1,63,0,,1989,9
.38 Special,1989,1999,10,63,1,1,63,0,,1989,10
.38 Special,1989,2000,11,63,1,1,63,0,,1989,11
.38 Special,1989,2001,12,63,1,1,63,0,,1989,12
