school,position,county_code,conference
Boston College Eagles,wr,0,acc
Iowa Hawkeyes,wr,0,big-ten
Buffalo Bulls,wr,0,mid-american
Wyoming Cowboys,wr,0,mountain-west
Western Michigan Broncos,wr,0,mid-american
Weber State Wildcats,wr,0,big-sky
Weber State Wildcats,wr,0,big-sky
Washington State Cougars,wr,0,pac-12
Virginia Tech Hokies,wr,0,acc
Virginia Tech Hokies,wr,0,acc
Utah State Aggies,wr,0,mountain-west
USC Trojans,wr,0,pac-12
Towson Tigers,wr,0,caa
Toledo Rockets,wr,0,mid-american
Toledo Rockets,wr,0,mid-american
Texas State Bobcats,wr,0,sun-belt
Tennessee State Tigers,wr,0,ohio-valley
Stetson Hatters,wr,0,pioneer
Southern Methodist Mustangs,wr,0,american-athletic
South Dakota State Jackrabbits,wr,0,missouri-valley
South Dakota Coyotes,wr,0,missouri-valley
Penn State Nittany Lions,wr,0,big-ten
Oregon Ducks,wr,0,pac-12
Oklahoma Sooners,wr,0,big-12
Northern Illinois Huskies,wr,0,mid-american
Northern Colorado Bears,wr,0,big-sky
North Dakota State Bison,wr,0,missouri-valley
North Carolina State Wolfpack,wr,0,acc
Norfolk State Spartans,wr,0,meac
New Hampshire Wildcats,wr,0,caa
Nevada Wolf Pack,wr,0,mountain-west
Nevada Wolf Pack,wr,0,mountain-west
Nevada Wolf Pack,wr,0,mountain-west
Murray State Racers,wr,0,ohio-valley
Michigan State Spartans,wr,0,big-ten
Michigan State Spartans,wr,0,big-ten
Michigan State Spartans,wr,0,big-ten
Miami (FL) Hurricanes,wr,0,acc
Mercer Bears,wr,0,pioneer
Memphis Tigers,wr,0,american-athletic
Maryland Terrapins,wr,0,acc
Maryland Terrapins,wr,0,acc
LSU Tigers,wr,0,sec
Lafayette Leopards,wr,0,patriot-league
Lafayette Leopards,wr,0,patriot-league
Jacksonville Dolphins,wr,0,pioneer
Iowa State Cyclones,wr,0,big-12
Indiana Hoosiers,wr,0,big-ten
Indiana Hoosiers,wr,0,big-ten
Illinois Fighting Illini,wr,0,big-ten
Houston Baptist Huskies,wr,0,fcs-independents
Houston Baptist Huskies,wr,0,fcs-independents
Houston Baptist Huskies,wr,0,fcs-independents
Hawaii Warriors,wr,0,mountain-west
Harvard Crimson,wr,0,ivy
Hampton Pirates,wr,0,meac
Grambling State Tigers,wr,0,swac
Grambling State Tigers,wr,0,swac
Grambling State Tigers,wr,0,swac
Grambling State Tigers,wr,0,swac
Fresno State Bulldogs,wr,0,mountain-west
Fordham Rams,wr,0,patriot-league
Florida International Golden Panthers,wr,0,conference-usa
Florida A&M Rattlers,wr,0,meac
Florida A&M Rattlers,wr,0,meac
Duquesne Dukes,wr,0,northeast
Davidson Wildcats,wr,0,pioneer
Connecticut Huskies,wr,0,american-athletic
Connecticut Huskies,wr,0,american-athletic
Connecticut Huskies,wr,0,american-athletic
Columbia Lions,wr,0,ivy
Columbia Lions,wr,0,ivy
Columbia Lions,wr,0,ivy
Columbia Lions,wr,0,ivy
Colorado State Rams,wr,0,mountain-west
Citadel Bulldogs,wr,0,southern
Charlotte 49ers,wr,0,fcs-independents
Charleston Southern Buccaneers,wr,0,big-south
Central Michigan Chippewas,wr,0,mid-american
Bryant Bulldogs,wr,0,northeast
Boise State Broncos,wr,0,mountain-west
Boise State Broncos,wr,0,mountain-west
Boise State Broncos,wr,0,mountain-west
Bethune-Cookman Wildcats,wr,0,meac
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Ball State Cardinals,wr,0,mid-american
Arkansas Razorbacks,wr,0,sec
Arizona Wildcats,wr,0,pac-12
Alcorn State Braves,wr,0,swac
Alabama State Hornets,wr,0,swac
Air Force Falcons,wr,0,mountain-west
Air Force Falcons,wr,0,mountain-west
Abilene Christian Wildcats,wr,0,fcs-independents
Youngstown State Penguins,unknown,0,missouri-valley
Tulane Green Wave,unknown,0,conference-usa
Tulane Green Wave,unknown,0,conference-usa
Temple Owls,unknown,0,american-athletic
Stetson Hatters,unknown,0,pioneer
South Dakota Coyotes,unknown,0,missouri-valley
Jackson State Tigers,unknown,0,swac
Holy Cross Crusaders,unknown,0,patriot-league
Georgia State Panthers,unknown,0,sun-belt
Alabama A&M Bulldogs,unknown,0,swac
Air Force Falcons,unknown,0,mountain-west
Air Force Falcons,unknown,0,mountain-west
Air Force Falcons,unknown,0,mountain-west
Georgetown Hoyas,te,0,patriot-league
Stanford Cardinal,te,0,pac-12
Robert Morris Colonials,te,0,northeast
Yale Bulldogs,te,0,ivy
UAB Blazers,te,0,conference-usa
Troy Trojans,te,0,sun-belt
San Jose State Spartans,te,0,mountain-west
