division,conference,school_name,roster_url
FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132
FBS (Division I-A Teams),American Athletic,Connecticut,http://espn.go.com/ncf/teams/roster?teamId=41
FBS (Division I-A Teams),American Athletic,Houston,http://espn.go.com/ncf/teams/roster?teamId=248
FBS (Division I-A Teams),American Athletic,Louisville,http://espn.go.com/ncf/teams/roster?teamId=97
FBS (Division I-A Teams),American Athletic,Memphis,http://espn.go.com/ncf/teams/roster?teamId=235
FBS (Division I-A Teams),American Athletic,Rutgers,http://espn.go.com/ncf/teams/roster?teamId=164
FBS (Division I-A Teams),American Athletic,South Florida,http://espn.go.com/ncf/teams/roster?teamId=58
FBS (Division I-A Teams),American Athletic,Southern Methodist,http://espn.go.com/ncf/teams/roster?teamId=2567
FBS (Division I-A Teams),American Athletic,Temple,http://espn.go.com/ncf/teams/roster?teamId=218
FBS (Division I-A Teams),American Athletic,UCF,http://espn.go.com/ncf/teams/roster?teamId=2116
FBS (Division I-A Teams),ACC,Boston College,http://espn.go.com/ncf/teams/roster?teamId=103
FBS (Division I-A Teams),ACC,Clemson,http://espn.go.com/ncf/teams/roster?teamId=228
FBS (Division I-A Teams),ACC,Duke,http://espn.go.com/ncf/teams/roster?teamId=150
FBS (Division I-A Teams),ACC,Florida State,http://espn.go.com/ncf/teams/roster?teamId=52
FBS (Division I-A Teams),ACC,Georgia Tech,http://espn.go.com/ncf/teams/roster?teamId=59
FBS (Division I-A Teams),ACC,Maryland,http://espn.go.com/ncf/teams/roster?teamId=120
FBS (Division I-A Teams),ACC,Miami (FL),http://espn.go.com/ncf/teams/roster?teamId=2390
FBS (Division I-A Teams),ACC,North Carolina,http://espn.go.com/ncf/teams/roster?teamId=153
FBS (Division I-A Teams),ACC,North Carolina State,http://espn.go.com/ncf/teams/roster?teamId=152
FBS (Division I-A Teams),ACC,Pittsburgh,http://espn.go.com/ncf/teams/roster?teamId=221
FBS (Division I-A Teams),ACC,Syracuse,http://espn.go.com/ncf/teams/roster?teamId=183
FBS (Division I-A Teams),ACC,Virginia,http://espn.go.com/ncf/teams/roster?teamId=258
FBS (Division I-A Teams),ACC,Virginia Tech,http://espn.go.com/ncf/teams/roster?teamId=259
FBS (Division I-A Teams),ACC,Wake Forest,http://espn.go.com/ncf/teams/roster?teamId=154
FBS (Division I-A Teams),Big 12,Baylor,http://espn.go.com/ncf/teams/roster?teamId=239
FBS (Division I-A Teams),Big 12,Iowa State,http://espn.go.com/ncf/teams/roster?teamId=66
FBS (Division I-A Teams),Big 12,Kansas,http://espn.go.com/ncf/teams/roster?teamId=2305
FBS (Division I-A Teams),Big 12,Kansas State,http://espn.go.com/ncf/teams/roster?teamId=2306
FBS (Division I-A Teams),Big 12,Oklahoma,http://espn.go.com/ncf/teams/roster?teamId=201
FBS (Division I-A Teams),Big 12,Oklahoma State,http://espn.go.com/ncf/teams/roster?teamId=197
FBS (Division I-A Teams),Big 12,TCU,http://espn.go.com/ncf/teams/roster?teamId=2628
FBS (Division I-A Teams),Big 12,Texas,http://espn.go.com/ncf/teams/roster?teamId=251
FBS (Division I-A Teams),Big 12,Texas Tech,http://espn.go.com/ncf/teams/roster?teamId=2641
FBS (Division I-A Teams),Big 12,West Virginia,http://espn.go.com/ncf/teams/roster?teamId=277
FBS (Division I-A Teams),Big Ten,Illinois,http://espn.go.com/ncf/teams/roster?teamId=356
FBS (Division I-A Teams),Big Ten,Indiana,http://espn.go.com/ncf/teams/roster?teamId=84
FBS (Division I-A Teams),Big Ten,Iowa,http://espn.go.com/ncf/teams/roster?teamId=2294
FBS (Division I-A Teams),Big Ten,Michigan,http://espn.go.com/ncf/teams/roster?teamId=130
FBS (Division I-A Teams),Big Ten,Michigan State,http://espn.go.com/ncf/teams/roster?teamId=127
FBS (Division I-A Teams),Big Ten,Minnesota,http://espn.go.com/ncf/teams/roster?teamId=135
FBS (Division I-A Teams),Big Ten,Nebraska,http://espn.go.com/ncf/teams/roster?teamId=158
FBS (Division I-A Teams),Big Ten,Northwestern,http://espn.go.com/ncf/teams/roster?teamId=77
FBS (Division I-A Teams),Big Ten,Ohio State,http://espn.go.com/ncf/teams/roster?teamId=194
FBS (Division I-A Teams),Big Ten,Penn State,http://espn.go.com/ncf/teams/roster?teamId=213
FBS (Division I-A Teams),Big Ten,Purdue,http://espn.go.com/ncf/teams/roster?teamId=2509
FBS (Division I-A Teams),Big Ten,Wisconsin,http://espn.go.com/ncf/teams/roster?teamId=275
FBS (Division I-A Teams),Conference USA,East Carolina,http://espn.go.com/ncf/teams/roster?teamId=151
FBS (Division I-A Teams),Conference USA,Florida Atlantic,http://espn.go.com/ncf/teams/roster?teamId=2226
FBS (Division I-A Teams),Conference USA,Florida International,http://espn.go.com/ncf/teams/roster?teamId=2229
FBS (Division I-A Teams),Conference USA,Louisiana Tech,http://espn.go.com/ncf/teams/roster?teamId=2348
FBS (Division I-A Teams),Conference USA,Marshall,http://espn.go.com/ncf/teams/roster?teamId=276
FBS (Division I-A Teams),Conference USA,Middle Tennessee,http://espn.go.com/ncf/teams/roster?teamId=2393
FBS (Division I-A Teams),Conference USA,North Texas,http://espn.go.com/ncf/teams/roster?teamId=249
FBS (Division I-A Teams),Conference USA,Rice,http://espn.go.com/ncf/teams/roster?teamId=242
FBS (Division I-A Teams),Conference USA,Southern Miss,http://espn.go.com/ncf/teams/roster?teamId=2572
FBS (Division I-A Teams),Conference USA,Tulane,http://espn.go.com/ncf/teams/roster?teamId=2655
FBS (Division I-A Teams),Conference USA,Tulsa,http://espn.go.com/ncf/teams/roster?teamId=202
FBS (Division I-A Teams),Conference USA,UAB,http://espn.go.com/ncf/teams/roster?teamId=5
FBS (Division I-A Teams),Conference USA,UTEP,http://espn.go.com/ncf/teams/roster?teamId=2638
FBS (Division I-A Teams),Conference USA,UTSA,http://espn.go.com/ncf/teams/roster?teamId=2636
FBS (Division I-A Teams),FBS Independents,Army,http://espn.go.com/ncf/teams/roster?teamId=349
FBS (Division I-A Teams),FBS Independents,Brigham Young,http://espn.go.com/ncf/teams/roster?teamId=252
FBS (Division I-A Teams),FBS Independents,Idaho,http://espn.go.com/ncf/teams/roster?teamId=70
FBS (Division I-A Teams),FBS Independents,Navy,http://espn.go.com/ncf/teams/roster?teamId=2426
FBS (Division I-A Teams),FBS Independents,New Mexico State,http://espn.go.com/ncf/teams/roster?teamId=166
FBS (Division I-A Teams),FBS Independents,Notre Dame,http://espn.go.com/ncf/teams/roster?teamId=87
FBS (Division I-A Teams),FBS Independents,Old Dominion,http://espn.go.com/ncf/teams/roster?teamId=295
FBS (Division I-A Teams),Mid-American,Akron,http://espn.go.com/ncf/teams/roster?teamId=2006
FBS (Division I-A Teams),Mid-American,Ball State,http://espn.go.com/ncf/teams/roster?teamId=2050
FBS (Division I-A Teams),Mid-American,Bowling Green,http://espn.go.com/ncf/teams/roster?teamId=189
FBS (Division I-A Teams),Mid-American,Buffalo,http://espn.go.com/ncf/teams/roster?teamId=2084
FBS (Division I-A Teams),Mid-American,Central Michigan,http://espn.go.com/ncf/teams/roster?teamId=2117
FBS (Division I-A Teams),Mid-American,Eastern Michigan,http://espn.go.com/ncf/teams/roster?teamId=2199
FBS (Division I-A Teams),Mid-American,Kent State,http://espn.go.com/ncf/teams/roster?teamId=2309
FBS (Division I-A Teams),Mid-American,Massachusetts,http://espn.go.com/ncf/teams/roster?teamId=113
FBS (Division I-A Teams),Mid-American,Miami (OH),http://espn.go.com/ncf/teams/roster?teamId=193
FBS (Division I-A Teams),Mid-American,Northern Illinois,http://espn.go.com/ncf/teams/roster?teamId=2459
FBS (Division I-A Teams),Mid-American,Ohio,http://espn.go.com/ncf/teams/roster?teamId=195
FBS (Division I-A Teams),Mid-American,Toledo,http://espn.go.com/ncf/teams/roster?teamId=2649
FBS (Division I-A Teams),Mid-American,Western Michigan,http://espn.go.com/ncf/teams/roster?teamId=2711
FBS (Division I-A Teams),Mountain West,Air Force,http://espn.go.com/ncf/teams/roster?teamId=2005
FBS (Division I-A Teams),Mountain West,Boise State,http://espn.go.com/ncf/teams/roster?teamId=68
FBS (Division I-A Teams),Mountain West,Colorado State,http://espn.go.com/ncf/teams/roster?teamId=36
FBS (Division I-A Teams),Mountain West,Fresno State,http://espn.go.com/ncf/teams/roster?teamId=278
FBS (Division I-A Teams),Mountain West,Hawaii,http://espn.go.com/ncf/teams/roster?teamId=62
FBS (Division I-A Teams),Mountain West,Nevada,http://espn.go.com/ncf/teams/roster?teamId=2440
FBS (Division I-A Teams),Mountain West,New Mexico,http://espn.go.com/ncf/teams/roster?teamId=167
FBS (Division I-A Teams),Mountain West,San Diego State,http://espn.go.com/ncf/teams/roster?teamId=21
FBS (Division I-A Teams),Mountain West,San Jose State,http://espn.go.com/ncf/teams/roster?teamId=23
FBS (Division I-A Teams),Mountain West,UNLV,http://espn.go.com/ncf/teams/roster?teamId=2439
FBS (Division I-A Teams),Mountain West,Utah State,http://espn.go.com/ncf/teams/roster?teamId=328
FBS (Division I-A Teams),Mountain West,Wyoming,http://espn.go.com/ncf/teams/roster?teamId=2751
FBS (Division I-A Teams),Pac-12,Arizona,http://espn.go.com/ncf/teams/roster?teamId=12
FBS (Division I-A Teams),Pac-12,Arizona State,http://espn.go.com/ncf/teams/roster?teamId=9
FBS (Division I-A Teams),Pac-12,California,http://espn.go.com/ncf/teams/roster?teamId=25
FBS (Division I-A Teams),Pac-12,Colorado,http://espn.go.com/ncf/teams/roster?teamId=38
FBS (Division I-A Teams),Pac-12,Oregon,http://espn.go.com/ncf/teams/roster?teamId=2483
FBS (Division I-A Teams),Pac-12,Oregon State,http://espn.go.com/ncf/teams/roster?teamId=204
FBS (Division I-A Teams),Pac-12,Stanford,http://espn.go.com/ncf/teams/roster?teamId=24
FBS (Division I-A Teams),Pac-12,UCLA,http://espn.go.com/ncf/teams/roster?teamId=26
FBS (Division I-A Teams),Pac-12,USC,http://espn.go.com/ncf/teams/roster?teamId=30
FBS (Division I-A Teams),Pac-12,Utah,http://espn.go.com/ncf/teams/roster?teamId=254
FBS (Division I-A Teams),Pac-12,Washington,http://espn.go.com/ncf/teams/roster?teamId=264
FBS (Division I-A Teams),Pac-12,Washington State,http://espn.go.com/ncf/teams/roster?teamId=265
FBS (Division I-A Teams),SEC,Alabama,http://espn.go.com/ncf/teams/roster?teamId=333
FBS (Division I-A Teams),SEC,Arkansas,http://espn.go.com/ncf/teams/roster?teamId=8
FBS (Division I-A Teams),SEC,Auburn,http://espn.go.com/ncf/teams/roster?teamId=2
FBS (Division I-A Teams),SEC,Florida,http://espn.go.com/ncf/teams/roster?teamId=57
FBS (Division I-A Teams),SEC,Georgia,http://espn.go.com/ncf/teams/roster?teamId=61
FBS (Division I-A Teams),SEC,Kentucky,http://espn.go.com/ncf/teams/roster?teamId=96
FBS (Division I-A Teams),SEC,LSU,http://espn.go.com/ncf/teams/roster?teamId=99
FBS (Division I-A Teams),SEC,Mississippi State,http://espn.go.com/ncf/teams/roster?teamId=344
FBS (Division I-A Teams),SEC,Missouri,http://espn.go.com/ncf/teams/roster?teamId=142
FBS (Division I-A Teams),SEC,Ole Miss,http://espn.go.com/ncf/teams/roster?teamId=145
FBS (Division I-A Teams),SEC,South Carolina,http://espn.go.com/ncf/teams/roster?teamId=2579
FBS (Division I-A Teams),SEC,Tennessee,http://espn.go.com/ncf/teams/roster?teamId=2633
FBS (Division I-A Teams),SEC,Texas A&M,http://espn.go.com/ncf/teams/roster?teamId=245
FBS (Division I-A Teams),SEC,Vanderbilt,http://espn.go.com/ncf/teams/roster?teamId=238
FBS (Division I-A Teams),Sun Belt,Arkansas State,http://espn.go.com/ncf/teams/roster?teamId=2032
FBS (Division I-A Teams),Sun Belt,Georgia State,http://espn.go.com/ncf/teams/roster?teamId=2247
FBS (Division I-A Teams),Sun Belt,Louisiana-Lafayette,http://espn.go.com/ncf/teams/roster?teamId=309
FBS (Division I-A Teams),Sun Belt,Louisiana-Monroe,http://espn.go.com/ncf/teams/roster?teamId=2433
FBS (Division I-A Teams),Sun Belt,South Alabama,http://espn.go.com/ncf/teams/roster?teamId=6
FBS (Division I-A Teams),Sun Belt,Texas State,http://espn.go.com/ncf/teams/roster?teamId=326
FBS (Division I-A Teams),Sun Belt,Troy,http://espn.go.com/ncf/teams/roster?teamId=2653
FBS (Division I-A Teams),Sun Belt,Western Kentucky,http://espn.go.com/ncf/teams/roster?teamId=98
