id,name,male_18_to_24,lat,long,,
1049,"DeKalb County, Alabama",3061,,,,
1115,"St. Clair County, Alabama",3422,,,,
2013,"Aleutians East Borough, Alaska",219,,,,
2016,"Aleutians West Census Area, Alaska",306,,,,
2020,"Anchorage Municipality, Alaska",17850,,,,
2050,"Bethel Census Area, Alaska",1036,,,,
2060,"Bristol Bay Borough, Alaska",39,,,,
2068,"Denali Borough, Alaska",56,,,,
2070,"Dillingham Census Area, Alaska",290,,,,
2090,"Fairbanks North Star Borough, Alaska",7643,,,,
2100,"Haines Borough, Alaska",61,,,,
2105,"Hoonah-Angoon Census Area, Alaska",88,,,,
2110,"Juneau City and Borough, Alaska",1453,,,,
2122,"Kenai Peninsula Borough, Alaska",2616,,,,
2130,"Ketchikan Gateway Borough, Alaska",619,,,,
2150,"Kodiak Island Borough, Alaska",798,,,,
2164,"Lake and Peninsula Borough, Alaska",91,,,,
2170,"Matanuska-Susitna Borough, Alaska",4249,,,,
2180,"Nome Census Area, Alaska",600,,,,
2185,"North Slope Borough, Alaska",555,,,,
2188,"Northwest Arctic Borough, Alaska",585,,,,
2195,"Petersburg Census Area, Alaska",155,,,,
2198,"Prince of Wales-Hyder Census Area, Alaska",243,,,,
2220,"Sitka City and Borough, Alaska",329,,,,
2230,"Skagway Municipality, Alaska",20,,,,
2240,"Southeast Fairbanks Census Area, Alaska",306,,,,
2261,"Valdez-Cordova Census Area, Alaska",451,,,,
2270,"Wade Hampton Census Area, Alaska",579,,,,
2275,"Wrangell City and Borough, Alaska",94,,,,
2282,"Yakutat City and Borough, Alaska",27,,,,
2290,"Yukon-Koyukuk Census Area, Alaska",335,,,,
5123,"St. Francis County, Arkansas",1250,,,,
8014,"Broomfield County, Colorado",2492,,,,
11001,"District of Columbia, District of Columbia",38013,,,,
12027,"DeSoto County, Florida",2385,,,,
12109,"St. Johns County, Florida",7609,,,,
12111,"St. Lucie County, Florida",11051,,,,
15005,"Kalawao County, Hawaii",1,,,,
17037,"DeKalb County, Illinois",11288,,,,
17039,"De Witt County, Illinois",625,,,,
17043,"DuPage County, Illinois",40570,,,,
17099,"LaSalle County, Illinois",4965,,,,
17163,"St. Clair County, Illinois",12477,,,,
18033,"DeKalb County, Indiana",1736,,,,
18091,"LaPorte County, Indiana",5354,,,,
18141,"St. Joseph County, Indiana",14480,,,,
19141,"O'Brien County, Iowa",515,,,,
22001,"Acadia Parish, Louisiana",2967,,,,
22003,"Allen Parish, Louisiana",1252,,,,
22005,"Ascension Parish, Louisiana",4697,,,,
22007,"Assumption Parish, Louisiana",1070,,,,
22009,"Avoyelles Parish, Louisiana",1971,,,,
22011,"Beauregard Parish, Louisiana",1655,,,,
22013,"Bienville Parish, Louisiana",676,,,,
22015,"Bossier Parish, Louisiana",5821,,,,
22017,"Caddo Parish, Louisiana",12506,,,,
22019,"Calcasieu Parish, Louisiana",9727,,,,
22021,"Caldwell Parish, Louisiana",496,,,,
22023,"Cameron Parish, Louisiana",292,,,,
22025,"Catahoula Parish, Louisiana",560,,,,
22027,"Claiborne Parish, Louisiana",943,,,,
22029,"Concordia Parish, Louisiana",1023,,,,
22031,"De Soto Parish, Louisiana",1115,,,,
22033,"East Baton Rouge Parish, Louisiana",32837,,,,
22035,"East Carroll Parish, Louisiana",469,,,,
22037,"East Feliciana Parish, Louisiana",1025,,,,
22039,"Evangeline Parish, Louisiana",1805,,,,
22041,"Franklin Parish, Louisiana",885,,,,
22043,"Grant Parish, Louisiana",986,,,,
22045,"Iberia Parish, Louisiana",3519,,,,
22047,"Iberville Parish, Louisiana",1772,,,,
22049,"Jackson Parish, Louisiana",776,,,,
22051,"Jefferson Parish, Louisiana",19342,,,,
22053,"Jefferson Davis Parish, Louisiana",1346,,,,
22055,"Lafayette Parish, Louisiana",13154,,,,
22057,"Lafourche Parish, Louisiana",4889,,,,
22059,"La Salle Parish, Louisiana",782,,,,
22061,"Lincoln Parish, Louisiana",6178,,,,
22063,"Livingston Parish, Louisiana",5761,,,,
22065,"Madison Parish, Louisiana",626,,,,
22067,"Morehouse Parish, Louisiana",1220,,,,
22069,"Natchitoches Parish, Louisiana",2981,,,,
22071,"Orleans Parish, Louisiana",20050,,,,
22073,"Ouachita Parish, Louisiana",8379,,,,
22075,"Plaquemines Parish, Louisiana",1043,,,,
22077,"Pointe Coupee Parish, Louisiana",897,,,,
22079,"Rapides Parish, Louisiana",6056,,,,
22081,"Red River Parish, Louisiana",389,,,,
22083,"Richland Parish, Louisiana",955,,,,
22085,"Sabine Parish, Louisiana",1037,,,,
22087,"St. Bernard Parish, Louisiana",2188,,,,
22089,"St. Charles Parish, Louisiana",2329,,,,
22091,"St. Helena Parish, Louisiana",500,,,,
22093,"St. James Parish, Louisiana",1061,,,,
22095,"St. John the Baptist Parish, Louisiana",2160,,,,
22097,"St. Landry Parish, Louisiana",3707,,,,
22099,"St. Martin Parish, Louisiana",2493,,,,
22101,"St. Mary Parish, Louisiana",2645,,,,
22103,"St. Tammany Parish, Louisiana",8922,,,,
22105,"Tangipahoa Parish, Louisiana",7190,,,,
22107,"Tensas Parish, Louisiana",177,,,,
22109,"Terrebonne Parish, Louisiana",5585,,,,
22111,"Union Parish, Louisiana",974,,,,
22113,"Vermilion Parish, Louisiana",2428,,,,
22115,"Vernon Parish, Louisiana",3782,,,,
22117,"Washington Parish, Louisiana",1943,,,,
22119,"Webster Parish, Louisiana",1781,,,,
22121,"West Baton Rouge Parish, Louisiana",1222,,,,
22123,"West Carroll Parish, Louisiana",532,,,,
22125,"West Feliciana Parish, Louisiana",476,,,,
22127,"Winn Parish, Louisiana",717,,,,
24033,"Prince George's County, Maryland",52418,,,,
24035,"Queen Anne's County, Maryland",1837,,,,
24037,"St. Mary's County, Maryland",5334,,,,
24510,"Baltimore city, Maryland",35980,,,,
26147,"St. Clair County, Michigan",6754,,,,
26149,"St. Joseph County, Michigan",2583,,,,
27137,"St. Louis County, Minnesota",13589,,,,
28033,"DeSoto County, Mississippi",6855,,,,
29183,"St. Charles County, Missouri",16041,,,,
29185,"St. Clair County, Missouri",360,,,,
29186,"Ste. Genevieve County, Missouri",739,,,,
29187,"St. Francois County, Missouri",3553,,,,
29189,"St. Louis County, Missouri",42961,,,,
29510,"St. Louis city, Missouri",18165,,,,
32510,"Carson City, Nevada",2516,,,,
36089,"St. Lawrence County, New York",8976,,,,
48123,"DeWitt County, Texas",752,,,,
51510,"Alexandria city, Virginia",4621,,,,
51515,"Bedford city, Virginia",279,,,,
51520,"Bristol city, Virginia",800,,,,
51530,"Buena Vista city, Virginia",450,,,,
51540,"Charlottesville city, Virginia",5911,,,,
51550,"Chesapeake city, Virginia",10877,,,,
51570,"Colonial Heights city, Virginia",746,,,,
51580,"Covington city, Virginia",265,,,,
51590,"Danville city, Virginia",2042,,,,
51595,"Emporia city, Virginia",289,,,,
51600,"Fairfax city, Virginia",1376,,,,
51610,"Falls Church city, Virginia",463,,,,
51620,"Franklin city, Virginia",375,,,,
51630,"Fredericksburg city, Virginia",2161,,,,
51640,"Galax city, Virginia",266,,,,
51650,"Hampton city, Virginia",8538,,,,
51660,"Harrisonburg city, Virginia",9017,,,,
51670,"Hopewell city, Virginia",1029,,,,
51678,"Lexington city, Virginia",2231,,,,
51680,"Lynchburg city, Virginia",7970,,,,
51683,"Manassas city, Virginia",1947,,,,
51685,"Manassas Park city, Virginia",736,,,,
51690,"Martinsville city, Virginia",486,,,,
51700,"Newport News city, Virginia",12046,,,,
51710,"Norfolk city, Virginia",28270,,,,
51720,"Norton city, Virginia",201,,,,
51730,"Petersburg city, Virginia",1654,,,,
51735,"Poquoson city, Virginia",514,,,,
51740,"Portsmouth city, Virginia",5273,,,,
51750,"Radford city, Virginia",3573,,,,
51760,"Richmond city, Virginia",15870,,,,
51770,"Roanoke city, Virginia",4007,,,,
51775,"Salem city, Virginia",1601,,,,
51790,"Staunton city, Virginia",804,,,,
51800,"Suffolk city, Virginia",3539,,,,
51810,"Virginia Beach city, Virginia",25229,,,,
51820,"Waynesboro city, Virginia",856,,,,
51830,"Williamsburg city, Virginia",2699,,,,
51840,"Winchester city, Virginia",1624,,,,
55109,"St. Croix County, Wisconsin",2969,,,,
38023,"Divide County, North Dakota",66,48.871632,-103.3255778,,
53073,"Whatcom County, Washington",15311,48.84509012,-122.3565141,,
38013,"Burke County, North Dakota",65,48.83299483,-102.5287273,,
27077,"Lake of the Woods County, Minnesota",117,48.830411,-94.8876835,,
53019,"Ferry County, Washington",396,48.79904533,-118.399775,,
38079,"Rolette County, North Dakota",703,48.79782643,-99.83340871,,
27135,"Roseau County, Minnesota",556,48.78231411,-95.81781633,,
30019,"Daniels County, Montana",54,48.7797525,-105.5363498,,
30101,"Toole County, Montana",266,48.77516543,-111.6841356,,
38009,"Bottineau County, North Dakota",317,48.764928,-100.8834027,,
38067,"Pembina County, North Dakota",212,48.76275342,-97.55776842,,
38075,"Renville County, North Dakota",94,48.74920775,-101.6947775,,
27069,"Kittson County, Minnesota",137,48.7487126,-96.8359255,,
38019,"Cavalier County, North Dakota",114,48.74746818,-98.44361645,,
16021,"Boundary County, Idaho",360,48.7412212,-116.4178416,,
38095,"Towner County, North Dakota",71,48.70672183,-99.2860145,,
30091,"Sheridan County, Montana",105,48.70141678,-104.5235512,,
30035,"Glacier County, Montana",683,48.6614856,-113.0735736,,
30053,"Lincoln County, Montana",592,48.60112071,-115.3168613,,
53055,"San Juan County, Washington",421,48.56979289,-122.9564168,,
30051,"Liberty County, Montana",88,48.54870325,-111.1854348,,
30041,"Hill County, Montana",969,48.52985229,-110.1769783,,
53051,"Pend Oreille County, Washington",389,48.52718067,-117.309281,,
53057,"Skagit County, Washington",5164,48.47453429,-122.1303191,,
53047,"Okanogan County, Washington",1601,48.44337705,-119.6476043,,
30005,"Blaine County, Montana",307,48.42077771,-108.9356336,,
30105,"Valley County, Montana",212,48.41996136,-106.4218871,,
38105,"Williams County, North Dakota",1286,48.38375818,-103.4477394,,
38099,"Walsh County, North Dakota",408,48.34910658,-97.722195,,
27089,"Marshall County, Minnesota",331,48.33549482,-96.63541864,,
38071,"Ramsey County, North Dakota",520,48.3123126,-98.7040032,,
27071,"Koochiching County, Minnesota",492,48.29740045,-93.76612918,,
16017,"Bonner County, Idaho",1307,48.29694756,-116.6208583,,
30029,"Flathead County, Montana",3355,48.29023679,-114.2281822,,
53065,"Stevens County, Washington",1535,48.289588,-117.8890974,,
30071,"Phillips County, Montana",136,48.27515417,-107.9130948,,
38101,"Ward County, North Dakota",4973,48.23653335,-101.5317849,,
38069,"Pierce County, North Dakota",180,48.228375,-99.94802375,,
30085,"Roosevelt County, Montana",585,48.22529625,-104.7741643,,
30073,"Pondera County, Montana",216,48.212557,-112.1902962,,
38049,"McHenry County, North Dakota",185,48.17561777,-100.6453878,,
38061,"Mountrail County, North Dakota",538,48.16936457,-102.3713034,,
53029,"Island County, Washington",3899,48.13259129,-122.563718,,
53009,"Clallam County, Washington",2970,48.11316436,-124.0785116,,
38005,"Benson County, North Dakota",313,48.10509992,-99.30900475,,
27113,"Pennington County, Minnesota",666,48.07848667,-96.05560633,,
38035,"Grand Forks County, North Dakota",8064,47.94211432,-97.44176768,,
38063,"Nelson County, North Dakota",109,47.92896675,-98.17436225,,
53061,"Snohomish County, Washington",33296,47.92621415,-122.0211906,,
53031,"Jefferson County, Washington",886,47.91223271,-122.80572,,
27007,"Beltrami County, Minnesota",3290,47.86900857,-94.87136886,,
30015,"Chouteau County, Montana",240,47.85369357,-110.4194733,,
30099,"Teton County, Montana",185,47.85041683,-112.1229283,,
27125,"Red Lake County, Minnesota",140,47.8500035,-96.05619375,,
38053,"McKenzie County, North Dakota",358,47.75683257,-103.3139289,,
27031,"Cook County, Minnesota",149,47.753344,-90.45172783,,
27119,"Polk County, Minnesota",1752,47.74301141,-96.35440859,,
38027,"Eddy County, North Dakota",74,47.739316,-98.9043315,,
16055,"Kootenai County, Idaho",6207,47.72596607,-116.7287046,,
30089,"Sanders County, Montana",338,47.70228389,-115.1327846,,
53007,"Chelan County, Washington",3255,47.69038279,-120.3658719,,
30083,"Richland County, Montana",441,47.685009,-104.2844212,,
53063,"Spokane County, Washington",26630,47.65467261,-117.3833189,,
53035,"Kitsap County, Washington",15953,47.64519996,-122.6314262,,
30047,"Lake County, Montana",1160,47.62692917,-114.1927916,,
27029,"Clearwater County, Minnesota",323,47.6058588,-95.4043566,,
53017,"Douglas County, Washington",1767,47.602796,-119.9351733,,
53043,"Lincoln County, Washington",331,47.57559083,-118.3454706,,
38055,"McLean County, North Dakota",263,47.57037338,-101.1367422,,
38083,"Sheridan County, North Dakota",26,47.5584785,-100.2619418,,
38103,"Wells County, North Dakota",117,47.55827022,-99.65238578,,
30055,"McCone County, Montana",46,47.536087,-105.7335353,,
53033,"King County, Washington",90627,47.48007867,-121.8964293,,
38097,"Traill County, North Dakota",438,47.4783633,-97.2223543,,
16079,"Shoshone County, Idaho",429,47.46978342,-115.9493246,,
38031,"Foster County, North Dakota",140,47.469765,-98.72873975,,
38091,"Steele County, North Dakota",47,47.436774,-97.74708775,,
38039,"Griggs County, North Dakota",65,47.4181108,-98.3380082,,
30013,"Cascade County, Montana",4443,47.400979,-111.3742663,,
30033,"Garfield County, Montana",25,47.3964346,-107.0107262,,
27061,"Itasca County, Minnesota",1725,47.395458,-93.55779392,,
38025,"Dunn County, North Dakota",179,47.38749317,-102.5252135,,
53045,"Mason County, Washington",2620,47.37333867,-123.0944427,,
26083,"Keweenaw County, Michigan",58,47.351352,-88.25944725,,
30021,"Dawson County, Montana",440,47.32703925,-104.9737783,,
38057,"Mercer County, North Dakota",267,47.323376,-101.7988908,,
27075,"Lake County, Minnesota",333,47.31013333,-91.45331017,,
53025,"Grant County, Washington",4888,47.29846056,-119.3877408,,
27107,"Norman County, Minnesota",210,47.28985667,-96.55528067,,
27087,"Mahnomen County, Minnesota",194,47.280657,-95.87444875,,
30061,"Mineral County, Montana",134,47.2714805,-115.1222008,,
30027,"Fergus County, Montana",377,47.23039045,-109.3618652,,
16009,"Benewah County, Idaho",337,47.18057733,-116.7170045,,
38065,"Oliver County, North Dakota",59,47.145874,-101.159363,,
53053,"Pierce County, Washington",44672,47.13636813,-122.3374465,,
53027,"Grays Harbor County, Washington",3368,47.11449157,-123.816483,,
53037,"Kittitas County, Washington",5111,47.11174867,-120.7373656,,
30045,"Judith Basin County, Montana",63,47.1005466,-110.1540506,,
30069,"Petroleum County, Montana",16,47.087847,-108.2019515,,
27057,"Hubbard County, Minnesota",660,47.04002117,-94.90550983,,
26061,"Houghton County, Michigan",5277,47.03797506,-88.60357994,,
27021,"Cass County, Minnesota",942,46.995887,-94.33284383,,
30063,"Missoula County, Montana",8606,46.98919718,-113.9441324,,
38093,"Stutsman County, North Dakota",1117,46.96861179,-98.89036571,,
53067,"Thurston County, Washington",11941,46.9671036,-122.8173401,,
38043,"Kidder County, North Dakota",83,46.95911733,-99.7349335,,
38007,"Billings County, North Dakota",38,46.9503125,-103.4297765,,
38015,"Burleigh County, North Dakota",4196,46.92459821,-100.4726094,,
38017,"Cass County, North Dakota",12919,46.92260053,-97.16193422,,
27005,"Becker County, Minnesota",1146,46.92025838,-95.69714431,,
53075,"Whitman County, Washington",9016,46.9086955,-117.4690365,,
27027,"Clay County, Minnesota",5126,46.8942568,-96.4900744,,
38003,"Barnes County, North Dakota",622,46.88595725,-98.09558417,,
53001,"Adams County, Washington",1032,46.87399657,-118.6133384,,
30049,"Lewis and Clark County, Montana",2787,46.86132787,-112.1878197,,
30079,"Prairie County, Montana",20,46.83708333,-105.3343737,,
