school,concentration_score
UC Davis Aggies,0.979594006
Houston Baptist Huskies,0.970156107
Stephen F. Austin Lumberjacks,0.905413444
Incarnate Word Cardinals,0.87594518
Sam Houston State Bearkats,0.875236295
Cal Poly Mustangs,0.861834414
Sacramento State Hornets,0.851851852
Texas Longhorns,0.8426337
Lamar Cardinals,0.82879298
North Texas Mean Green,0.823740065
San Jose State Spartans,0.805351474
Baylor Bears,0.780661284
Jacksonville Dolphins,0.771523546
Abilene Christian Wildcats,0.771071483
Rice Owls,0.767196746
UTSA Roadrunners,0.759105599
Fresno State Bulldogs,0.718992454
Texas A&M Aggies,0.682716837
South Florida Bulls,0.678141571
Florida International Golden Panthers,0.676359555
San Diego Toreros,0.671745152
Florida A&M Rattlers,0.66834324
Charlotte 49ers,0.662743323
Texas State Bobcats,0.644859813
Georgia State Panthers,0.642832647
San Diego State Aztecs,0.624314129
Bethune-Cookman Wildcats,0.617090319
Houston Cougars,0.616345878
Georgia Southern Eagles,0.614275543
Texas Tech Red Raiders,0.603265306
Nevada Wolf Pack,0.588619762
Savannah State Tigers,0.582771832
Mercer Bears,0.581717452
Florida State Seminoles,0.575866835
Nicholls State Colonels,0.570526316
Florida Atlantic Owls,0.568047337
UCF Knights,0.54604307
Georgia Bulldogs,0.543307087
Norfolk State Spartans,0.538317368
James Madison Dukes,0.534090909
California Golden Bears,0.532942589
Virginia Tech Hokies,0.52306367
TCU Horned Frogs,0.518098248
McNeese State Cowboys,0.511996378
Campbell Fighting Camels,0.511398375
Austin Peay Governors,0.511141869
North Carolina A&T Aggies,0.510034602
UTEP Miners,0.501966203
Florida Gators,0.494380165
Central Michigan Chippewas,0.491337868
Eastern Washington Eagles,0.484168219
Ohio State Buckeyes,0.470344388
Tennessee Tech Golden Eagles,0.46828143
Southern Methodist Mustangs,0.46493414
USC Trojans,0.448685475
Georgia Tech Yellow Jackets,0.432902432
Central Connecticut State Blue Devils,0.429421309
Northern Iowa Panthers,0.420434318
Northwestern State Demons,0.416128039
Prairie View A&M Panthers,0.412098765
Kent State Golden Flashes,0.411896745
Northern Arizona Lumberjacks,0.406315789
Louisiana-Lafayette Ragin' Cajuns,0.403200985
LSU Tigers,0.402867029
Chattanooga Mocs,0.39654321
Monmouth Hawks,0.386005383
East Carolina Pirates,0.381111111
Virginia Cavaliers,0.379115226
Western Carolina Catamounts,0.377387153
Jacksonville State Gamecocks,0.3734
Oklahoma State Cowboys,0.373221802
Albany Great Danes,0.372612847
UCLA Bruins,0.370854592
Washington Huskies,0.370626682
UAB Blazers,0.368484225
Appalachian State Mountaineers,0.367455418
South Carolina State Bulldogs,0.367252066
Mississippi Valley State Delta Devils,0.362528345
Tulane Green Wave,0.3578
Pittsburgh Panthers,0.357767597
Mississippi State Bulldogs,0.356450345
North Carolina Tar Heels,0.354749157
