"NASHVILLE, TN",Davidson,Davidson
"SAINT CLAIR, MO",Franklin,Franklin
"CAMDEN, NJ",Camden,Camden
"BRUNSWICK, MD",Frederick,Frederick
"STAHLSTOWN, PA",Westmoreland,Westmoreland
"ANDOVER, MN",Anoka,Anoka
"LARKSVILLE, PA",Luzerne,Luzerne
"SALEM, OR",Marion County,Marion County
"MONTPELIER, VA",Hanover,Hanover
"BELLWOOD, IL",Cook,Cook
"ANDOVER, MA",Essex,Essex
"BRISTOL, RI",Bristol,Bristol
"FLORENCE, MT",Ravalli,Ravalli
"TARPON SPRINGS, FL",Pinellas,Pinellas
"LEANDER, TX",Williamson,Williamson
"AURORA, CO",Arapahoe,Arapahoe
"EVERGREEN, CO",Jefferson,Jefferson
"CHARLOTTE, MI",Eaton,Eaton
"GASTON, SC",Lexington,Lexington
"LEWISTON, ID",Nez Perce,Nez Perce
"THE WOODLANDS, TX",Montgomery,Montgomery
"RONKONKOMA, NY",Suffolk,Suffolk
"MODESTO, CA",Stanislaus County,Stanislaus County
"SENOIA, GA",Coweta,Coweta
"ROBBINSDALE, MN",Hennepin,Hennepin
"VERO BEACH, FL",Indian River,Indian River
"EMMETSBURG, IA",Palo Alto,Palo Alto
"MONTGOMERY, TX",Montgomery,Montgomery
"LYNDON, KS",Osage,Osage
"STERLING, CO",Logan,Logan
"RICHARDSON, TX",Dallas,Dallas
"TEMPE, AZ",Maricopa,Maricopa
"MEDFORD, WI",Taylor,Taylor
"ELMIRA, NY",Chemung,Chemung
"BESSEMER, AL",Jefferson,Jefferson
"SPRINGVILLE, NY",Erie,Erie
"VADNAIS HEIGHTS, MN",Ramsey,Ramsey
"DARIEN, GA",McIntosh,McIntosh
"DUNN, NC",Harnett,Harnett
"DALEVILLE, VA",Botetourt,Botetourt
"ESSEX JUNCTION, VT",Chittenden,Chittenden
"WOODLAND HILLS, CA",Los Angeles County,Los Angeles County
"LAMONI, IA",Decatur,Decatur
"LANGHORNE, PA",Bucks,Bucks
"MIDDLEBURG, FL",Clay,Clay
"CORAL SPRINGS, FL",Broward,Broward
"GLENSHAW, PA",Allegheny,Allegheny
"LAKE CITY, SC",Florence,Florence
"LONG BEACH, NY",Nassau,Nassau
"SEWICKLEY, PA",Allegheny,Allegheny
"MARSHALL, MN",Lyon,Lyon
"EAST BERNARD, TX",Wharton,Wharton
"TUSTIN, CA",Orange County,Orange County
"FALL CITY, WA",King County,King County
"JASPER, AL",Walker,Walker
"CROSSVILLE, TN",Cumberland,Cumberland
"CRESSON, TX",Hood,Hood
"DRY PRONG, LA",Grant,Grant
"OAKDALE, PA",Allegheny,Allegheny
"SHILLINGTON, PA",Berks,Berks
"HIGHSPIRE, PA",Dauphin,Dauphin
"WESTBROOK, ME",Cumberland,Cumberland
"SPERRY, OK",Tulsa,Tulsa
"WEST HEMPSTEAD, NY",Nassau,Nassau
"PHOENIXVILLE, PA",Chester,Chester
"WAUCHULA, FL",Hardee,Hardee
"HASTINGS, NE",Adams,Adams
"MANTECA, CA",San Joaquin County,San Joaquin County
"LA QUINTA, CA",Riverside County,Riverside County
"CROFTON, MD",Anne Arundel,Anne Arundel
"KECHI, KS",Sedgwick,Sedgwick
"ITHACA, MI",Gratiot,Gratiot
"MOUNT DORA, FL",Lake,Lake
"REIDSVILLE, GA",Tattnall,Tattnall
"SAINT GABRIEL, LA",Iberville,Iberville
"LAURA, OH",Miami,Miami
"LAS VEGAS, NV",Clark County,Clark County
"HARRODSBURG, KY",Mercer,Mercer
