school,concentration_score
Princeton Tigers,0.074792243767313
Yale Bulldogs,0.0865051903114187
Elon Phoenix,0.0865051903114187
Cornell Big Red,0.0865051903114187
Missouri Tigers,0.0887573964497042
Lehigh Mountain Hawks,0.0933333333333334
Pennsylvania Quakers,0.1
Colgate Raiders,0.100346020761246
"Gardner-Webb Runnin' Bulldogs",0.1015625
Tulsa Golden Hurricane,0.1015625
Georgetown Hoyas,0.102040816326531
Army Black Knights,0.104166666666667
Delaware Fightin Blue Hens,0.111111111111111
Duke Blue Devils,0.112244897959184
Houston Baptist Huskies,0.112244897959184
Marshall Thundering Herd,0.112244897959184
Towson Tigers,0.1171875
Creighton Bluejays,0.12
Harvard Crimson,0.12
Kansas Jayhawks,0.121107266435986
Bucknell Bison,0.122448979591837
Louisville Cardinals,0.122448979591837
Northeastern Huskies,0.124260355029586
Arkansas State Red Wolves,0.125
Buffalo Bulls,0.125
Holy Cross Crusaders,0.125
Massachusetts Minutemen,0.125
North Carolina Central Eagles,0.125
North Carolina-Wilmington Seahawks,0.125
Providence Friars,0.125
Syracuse Orange,0.125
Wichita State Shockers,0.125
Youngstown State Penguins,0.1280276816609
UMKC Kangaroos,0.1280276816609
Lafayette Leopards,0.128888888888889
Jacksonville State Gamecocks,0.12962962962963
Mississippi Valley State Delta Devils,0.130193905817174
Cincinnati Bearcats,0.13265306122449
Drexel Dragons,0.13265306122449
Stony Brook Seawolves,0.13265306122449
William & Mary Tribe,0.13265306122449
Boston University Terriers,0.1328125
Hampton Pirates,0.1328125
Morehead State Eagles,0.1328125
Samford Bulldogs,0.1328125
American University Eagles,0.134948096885813
Boston College Eagles,0.134948096885813
Davidson Wildcats,0.134948096885813
Eastern Kentucky Colonels,0.134948096885813
Iowa State Cyclones,0.137777777777778
Troy Trojans,0.137777777777778
Murray State Racers,0.138888888888889
Wagner Seahawks,0.138888888888889
Navy Midshipmen,0.14
Vanderbilt Commodores,0.14
Bryant University Bulldogs,0.140625
Tennessee Tech Golden Eagles,0.140625
Wyoming Cowboys,0.140625
Stanford Cardinal,0.141274238227147
Mercer Bears,0.141868512110727
"St. John's Red Storm",0.141975308641975
Austin Peay Governors,0.142857142857143
Minnesota Golden Gophers,0.142857142857143
West Virginia Mountaineers,0.142857142857143
Jacksonville Dolphins,0.142857142857143
Montana State Bobcats,0.142857142857143
UAB Blazers,0.142857142857143
Auburn Tigers,0.146666666666667
Chattanooga Mocs,0.146666666666667
LIU Brooklyn Blackbirds,0.146666666666667
Rice Owls,0.146666666666667
Western Kentucky Hilltoppers,0.146666666666667
Duquesne Dukes,0.146666666666667
Boise State Broncos,0.1484375
Cal State Bakersfield Roadrunners,0.1484375
Louisiana-Monroe Warhawks,0.1484375
Fairleigh Dickinson Knights,0.152777777777778
Ohio State Buckeyes,0.152777777777778
Central Connecticut State Blue Devils,0.153061224489796
New Hampshire Wildcats,0.153061224489796
Miami (FL) Hurricanes,0.153061224489796
Liberty Flames,0.155555555555556
"Saint Joseph's Hawks",0.155555555555556
South Dakota Coyotes,0.155555555555556
Brown Bears,0.155709342560554
Maryland-Eastern Shore Hawks,0.155709342560554
UNC Greensboro Spartans,0.155709342560554
Kent State Golden Flashes,0.15625
Marquette Golden Eagles,0.159763313609467
South Alabama Jaguars,0.159763313609467
Winthrop Eagles,0.160493827160494
Montana Grizzlies,0.163265306122449
Norfolk State Spartans,0.163265306122449
