school,school_short,name,position,weight,height,year,hometown,state,conference,county_code,state_code
Albany Great Danes,Albany,Levan Shengelia,F,81,250,JR,--,--,America East,0,0
Albany Great Danes,Albany,Anders Haas,G,73,175,SO,"Copenhagen, Denmark",Denmark,America East,0,0
Albany Great Danes,Albany,Michael Rowley,F,80,230,FR,--,--,America East,0,0
Albany Great Danes,Albany,Luke Devlin,F,80,235,SR,--,--,America East,0,0
Albany Great Danes,Albany,Peter Hooley,G,76,200,SO,--,--,America East,0,0
Albany Great Danes,Albany,Sam Rowley,F,78,230,JR,--,--,America East,0,0
Binghamton Bearcats,Binghamton,Rayner Moquete,G,73,195,SR,"Santo Domingo, Dominican Republic",Dominican Republic,America East,0,0
Binghamton Bearcats,Binghamton,Nick Madray,F,81,215,FR,"Mississauga, ON",ON,America East,0,0
Hartford Hawks,Hartford,Corban Wroe,G,74,195,JR,--,--,America East,0,0
Hartford Hawks,Hartford,Taylor Dyson,G,76,185,SO,"Sunbury, VIC",VIC,America East,0,0
Hartford Hawks,Hartford,Yasin Kolo,C,82,245,SO,--,--,America East,0,0
Hartford Hawks,Hartford,Dougal Weir,C,81,240,FR,--,--,America East,0,0
Maine Black Bears,Maine,Christian Ejiga,F,80,225,FR,"Lagos, Nigeria",Nigeria,America East,0,0
Maine Black Bears,Maine,Marko Pirovic,F,79,205,FR,--,--,America East,0,0
Maine Black Bears,Maine,Zarko Valjarevic,G,76,210,JR,--,--,America East,0,0
Maine Black Bears,Maine,Erik Nissen,F,81,215,FR,"Quispamsis, NB",NB,America East,0,0
Maine Black Bears,Maine,Stefan Micovic,F,81,210,SO,--,--,America East,0,0
Maine Black Bears,Maine,Kilian Cato,F,79,225,JR,"Espoo, Finland",Finland,America East,0,0
Maine Black Bears,Maine,Till Gloger,F,80,220,SO,"Bochum, Germany",Germany,America East,0,0
Maine Black Bears,Maine,Troy Reid-Knight,G,72,190,FR,--,--,America East,0,0
Maine Black Bears,Maine,Aurturas Besevicius,G,76,209,FR,--,--,America East,0,0
Maine Black Bears,Maine,Garet Beal,G-F,78,215,FR,--,--,America East,0,0
Massachusetts Lowell River Hawks,UMass Lowell,Mark Cornelius,G,74,180,JR,--,--,America East,0,0
New Hampshire Wildcats,New Hampshire,Williams Gabriel,F,80,215,FR,"Lagos, Nigeria",Nigeria,America East,0,0
Stony Brook Seawolves,Stony Brook,Roland Nyama,G-F,78,200,FR,"Frankfurt, Germany",Germany,America East,0,0
Vermont Catamounts,Vermont,Ryan Pierson,F-C,82,240,JR,--,--,America East,0,0
Vermont Catamounts,Vermont,Ethan O'Day,F,81,205,SO,--,--,America East,0,0
Vermont Catamounts,Vermont,Kurt Steidl,F,0,0,FR,--,--,America East,0,0
Cincinnati Bearcats,Cincinnati,David Nyarsuk,C,85,250,SR,--,--,American,0,0
Connecticut Huskies,Connecticut,Niels Giffey,G-F,79,204,SR,"Berlin, Germany",Germany,American,0,0
Connecticut Huskies,Connecticut,Tyler Olander,F,82,230,SR,--,--,American,0,0
Connecticut Huskies,Connecticut,Kentan Facey,F,81,200,FR,--,--,American,0,0
Connecticut Huskies,Connecticut,Leon Tolksdorf,F,80,218,SO,"Berlin, Germany",Germany,American,0,0
Connecticut Huskies,Connecticut,Amida Brimah,C,84,217,FR,"Accra, Ghana",Ghana,American,0,0
Connecticut Huskies,Connecticut,Nielss Giffey,NA,0,0, -- ,--,--,American,0,0
Houston Cougars,Houston,Ahmed Hamdy,F-C,81,255,FR,--,--,American,0,0
Louisville Cardinals,Louisville,Mangok Mathiang,F-C,82,210,FR,--,--,American,0,0
Memphis Tigers,Memphis,Hippolyte Tsafack,F,80,242,JR,"Yaounde, Cameroon",Cameroon,American,0,0
Rutgers Scarlet Knights,Rutgers,Malick Kone,G-F,77,200,JR,"Conakry, Guinea",Guinea,American,0,0
South Florida Bulls,South Florida,Corey Allen Jr.,G,73,152,JR,--,--,American,0,0
South Florida Bulls,South Florida,John Egbunu,C,82,245,FR,--,--,American,0,0
South Florida Bulls,South Florida,Jordan Omogbehin,C,87,315,SO,"Lagos, Nigeria",Nigeria,American,0,0
Southern Methodist Mustangs,SMU,Yanick Moreira,C,83,220,JR,--,--,American,0,0
UCF Knights,UCF,Craig Brown,NA,0,0, -- ,--,--,American,0,0
UCF Knights,UCF,D'Von Campbell,NA,0,0, -- ,--,--,American,0,0
UCF Knights,UCF,Kadeem Jack,NA,0,0, -- ,--,--,American,0,0
UCF Knights,UCF,Wally Judge,NA,0,0, -- ,--,--,American,0,0
UCF Knights,UCF,Malick Kone,NA,0,0, -- ,--,--,American,0,0
UCF Knights,UCF,Greg Lewis,NA,0,0, -- ,--,--,American,0,0
UCF Knights,UCF,Myles Mack,NA,0,0, -- ,--,--,American,0,0
UCF Knights,UCF,Jj Moore,NA,0,0, -- ,--,--,American,0,0
Dayton Flyers,Dayton,Dyshawn Pierre,F,78,210,SO,"Whitby, ON",ON,Atlantic 10,0,0
Dayton Flyers,Dayton,Alex Gavrilovic,F,81,246,JR,"Strasbourg, France",France,Atlantic 10,0,0
Duquesne Dukes,Duquesne,Isaiah Watkins,F,79,220,FR,"Toronto, ON",ON,Atlantic 10,0,0
Duquesne Dukes,Duquesne,Nick Foschia,F,76,215,SO,--,--,Atlantic 10,0,0
Duquesne Dukes,Duquesne,Jordan Robinson,F,80,255,FR,"Toronto, ON",ON,Atlantic 10,0,0
Duquesne Dukes,Duquesne,Ovie Soko,F,80,225,SR,"London, England",England,Atlantic 10,0,0
Fordham Rams,Fordham,Jake Fay,G,77,175,FR,--,--,Atlantic 10,0,0
Fordham Rams,Fordham,Jermaine Myers,G,72,180,SO,"Ajax, ON",ON,Atlantic 10,0,0
Fordham Rams,Fordham,Ryan Rhoomes,F,80,235,SO,--,--,Atlantic 10,0,0
Fordham Rams,Fordham,Victor Ieronymides,G-F,78,208,FR,--,--,Atlantic 10,0,0
George Mason Patriots,George Mason,Corey Edwards,G,71,174,JR,--,--,Atlantic 10,0,0
George Mason Patriots,George Mason,Marko Gujanicic,F,80,224,SO,--,--,Atlantic 10,0,0
George Mason Patriots,George Mason,Tate Myles,G,0,0, -- ,--,--,Atlantic 10,0,0
George Washington Colonials,G. Washington,Miguel Cartagena,G,72,170,FR,"Aibonito, Puerto Rico",Puerto Rico,Atlantic 10,0,0
George Washington Colonials,G. Washington,Patricio Garino,G-F,78,211,SO,"Mar Del Plata, Argentina",Argentina,Atlantic 10,0,0
George Washington Colonials,G. Washington,Kevin Larsen,F,82,247,SO,"Copenhagen, Denmark",Denmark,Atlantic 10,0,0
