Albany Great Danes,Albany,Evan Singletary,G,73,195,JR,"Baltimore, MD",MD
Albany Great Danes,Albany,Ray Sanders,G-F,76,210,JR,"Tuscaloosa, AL",AL
Albany Great Danes,Albany,Tre Green,G,75,190,SO,"Chicago, IL",IL
Albany Great Danes,Albany,Mike Rowley,F,80,230,SO,"Sydney, NSW",NSW
Albany Great Danes,Albany,Mike Wells,G,70,170,FR,"Delaware, OH",OH
Albany Great Danes,Albany,Peter Hooley,G,76,200,JR,"Adelaide, SA",SA
Albany Great Danes,Albany,Reece Williams,G,73,200,JR,"White Plains, NY",NY
Albany Great Danes,Albany,Sam Rowley,F,78,230,SR,"Sydney, NSW",NSW
Albany Great Danes,Albany,Ede Egharevba,F,78,210,JR,"Queens, NY",NY
Albany Great Danes,Albany,Max Twyman,G,77,200,FR,"Rye, NY",NY
Albany Great Danes,Albany,Richard Peters,C,83,275,SO,"Pickering, ON",ON
Albany Great Danes,Albany,Dallas Ennema,F,78,210,SO,"Sheldon, IA",IA
Albany Great Danes,Albany,Wheeler Baker,G,74,175,FR,"Minneapolis, MN",MN
Albany Great Danes,Albany,Geremy McKay,F,79,225,FR,"Melbourne, VIC",VIC
Albany Great Danes,Albany,Greig Stire,F,79,225,FR,"Schenectady, NY",NY
Binghamton Bearcats,Binghamton,Marlon Beck II,G,71,175,SO,"Bowie, MD",MD
Binghamton Bearcats,Binghamton,Jordan Reed,G,76,210,JR,"Philadelphia, PA",PA
Binghamton Bearcats,Binghamton,Magnus Richards,F,79,215,SO,"Silver Spring, MD",MD
Binghamton Bearcats,Binghamton,Yosef Yacob,G,72,175,SO,"Chester, PA",PA
Binghamton Bearcats,Binghamton,Romello Walker,G,79,190,FR,"Fort Lauderdale, FL",FL
Binghamton Bearcats,Binghamton,John Rinaldi,G,74,190,SO,"Dunmore, PA",PA
Binghamton Bearcats,Binghamton,Jordan McRae,F,78,190,FR,"Dix Hills, NY",NY
Binghamton Bearcats,Binghamton,Bobby Ahearn,F,78,225,FR,"Marshfield, MA",MA
