id,name,male_pop,male_age_per,male_18_to_24
1,Alabama,2336291,10.6,247646.846
2,Alaska,381094,11.8,44969.092
4,Arizona,3260687,10.4,339111.448
5,Arkansas,1449265,10.1,146375.765
6,California,18917773,11,2080955.03
8,Colorado,2601370,10.2,265339.74
9,Connecticut,1749806,10,174980.6
10,Delaware,444691,10.6,47137.246
11,District of Columbia,299036,12.8,38276.608
12,Florida,9441001,9.8,925218.098
13,Georgia,4851053,10.8,523913.724
15,Hawaii,701196,10.8,75729.168
16,Idaho,798712,10,79871.2
17,Illinois,6316653,10.1,637981.953
18,Indiana,3217145,10.6,341017.37
19,Iowa,1524107,10.6,161555.342
20,Kansas,1434617,11,157807.87
21,Kentucky,2154939,10.1,217648.839
22,Louisiana,2248888,10.7,240631.016
23,Maine,650714,9,58564.26
24,Maryland,2849291,10.3,293476.973
25,Massachusetts,3219753,10.7,344513.571
26,Michigan,4851429,10.4,504548.616
27,Minnesota,2670741,9.5,253720.395
28,Mississippi,1442072,11.3,162954.136
29,Missouri,2953591,10.2,301266.282
30,Montana,503458,10.1,50849.258
31,Nebraska,923099,10.3,95079.197
32,Nevada,1391864,9.4,130835.216
33,New Hampshire,648288,9.6,62235.648
34,New Jersey,4321436,9.5,410536.42
35,New Mexico,1034877,10.4,107627.208
36,New York,9485872,10.7,1014988.304
37,North Carolina,4751047,10.5,498859.935
38,North Dakota,357591,13.3,47559.603
39,Ohio,5642634,10,564263.4
40,Oklahoma,1889807,10.7,202209.349
41,Oregon,1932789,9.7,187480.533
42,Pennsylvania,6229333,10.3,641621.299
44,Rhode Island,506835,11.9,60313.365
45,South Carolina,2295781,11,252535.91
46,South Dakota,417803,10.5,43869.315
47,Tennessee,3144756,10,314475.6
48,Texas,12945218,10.7,1385138.326
49,Utah,1435028,11.5,165028.22
50,Vermont,309184,11.1,34319.424
51,Virginia,4015045,10.6,425594.77
53,Washington,3441429,10,344142.9
54,West Virginia,911681,9.7,88433.057
55,Wisconsin,2842737,9.9,281430.963
56,Wyoming,292736,10.5,30737.28
72,Puerto Rico,1757273,11.1,195057.303
