school,year,conference
Air Force,1965,independent
Air Force,1966,independent
Air Force,1967,independent
Air Force,1968,independent
Air Force,1969,independent
Air Force,1970,independent
Air Force,1971,independent
Air Force,1972,independent
Air Force,1973,independent
Air Force,1974,independent
Air Force,1975,independent
Air Force,1976,independent
Air Force,1977,independent
Air Force,1978,independent
Air Force,1979,independent
Air Force,1980,wac
Air Force,1981,wac
Air Force,1982,wac
Air Force,1983,wac
Air Force,1984,wac
Air Force,1985,wac
Air Force,1986,wac
Air Force,1987,wac
Air Force,1988,wac
Air Force,1989,wac
Air Force,1990,wac
Air Force,1991,wac
Air Force,1992,wac
Air Force,1993,wac
Air Force,1994,wac
Air Force,1995,wac
Air Force,1996,wac
Air Force,1997,wac
Air Force,1998,wac
Air Force,1999,mwc
Air Force,2000,mwc
Air Force,2001,mwc
Air Force,2002,mwc
Air Force,2003,mwc
Air Force,2004,mwc
Air Force,2005,mwc
Air Force,2006,mwc
Air Force,2007,mwc
Air Force,2008,mwc
Air Force,2009,mwc
Air Force,2010,mwc
Air Force,2011,mwc
Air Force,2012,mwc
Air Force,2013,mwc
Air Force,2014,mwc
Air Force,2015,mwc
Akron,1965,none
Akron,1966,none
Akron,1967,none
Akron,1968,none
Akron,1969,none
Akron,1970,none
Akron,1971,none
Akron,1972,none
Akron,1973,none
Akron,1974,none
Akron,1975,independent
Akron,1976,none
Akron,1977,none
Akron,1978,none
Akron,1979,none
Akron,1980,none
Akron,1981,none
Akron,1982,none
Akron,1983,none
Akron,1984,none
Akron,1985,none
Akron,1986,none
Akron,1987,independent
Akron,1988,independent
Akron,1989,independent
Akron,1990,independent
Akron,1991,independent
Akron,1992,mac
Akron,1993,mac
Akron,1994,mac
Akron,1995,mac
Akron,1996,mac
Akron,1997,mac
Akron,1998,mac
Akron,1999,mac
Akron,2000,mac
Akron,2001,mac
Akron,2002,mac
Akron,2003,mac
Akron,2004,mac
Akron,2005,mac
Akron,2006,mac
Akron,2007,mac
Akron,2008,mac
Akron,2009,mac
Akron,2010,mac
Akron,2011,mac
Akron,2012,mac
Akron,2013,mac
Akron,2014,mac
Akron,2015,mac
Alabama,1965,sec
Alabama,1966,sec
Alabama,1967,sec
Alabama,1968,sec
Alabama,1969,sec
Alabama,1970,sec
Alabama,1971,sec
Alabama,1972,sec
Alabama,1973,sec
Alabama,1974,sec
Alabama,1975,sec
Alabama,1976,sec
Alabama,1977,sec
Alabama,1978,sec
Alabama,1979,sec
Alabama,1980,sec
Alabama,1981,sec
Alabama,1982,sec
Alabama,1983,sec
Alabama,1984,sec
Alabama,1985,sec
Alabama,1986,sec
Alabama,1987,sec
Alabama,1988,sec
Alabama,1989,sec
Alabama,1990,sec
Alabama,1991,sec
Alabama,1992,sec
Alabama,1993,sec
Alabama,1994,sec
Alabama,1995,sec
Alabama,1996,sec
Alabama,1997,sec
Alabama,1998,sec
Alabama,1999,sec
Alabama,2000,sec
