source,school,current_conf,historic_conf,county,name,recruit_year,hometown,state
dbf,Notre Dame,acc,independent,54107,"Lopienski, Tom",1999,Parkersburg,WV
dbf,Rutgers,big-ten,big-east,54049,"Kent, Rashod",1999,Fairmont,WV
dbf,Washington,pac-12,pac-12,53053,"Pittman, Bryan",1999,Tacoma,WA
dbf,Brigham Young,independent,mwc,53053,"Nead, Spencer",1999,Tacoma,WA
dbf,Virginia Tech,acc,big-east,51770,"Suggs, Lee",1999,Roanoke,VA
dbf,Virginia,acc,acc,51760,"Mcmullen, Billy",1999,Richmond,VA
dbf,Virginia Tech,acc,big-east,51710,"Whitaker, Ronyell",1999,Norfolk,VA
dbf,North Carolina State,acc,acc,51095,"Martin, Terrance",1999,Toano,VA
dbf,Arizona State,pac-12,pac-12,49057,"Unck, Mason",1999,Ogden,UT
dbf,West Texas A&M,none,none,48449,"Thompson, Chaun",1999,Mount Pleasant,TX
dbf,Kansas State,big-12,big-12,48439,"Allen, David",1999,Euless,TX
dbf,Kansas State,big-12,big-12,48439,"Pierce, Terry",1999,Fort Worth,TX
dbf,Georgia,sec,sec,48439,"Breedlove, Kevin",1999,Arlington,TX
dbf,Texas A&M,sec,big-12,48349,"Johnson, Bethel",1999,Corsicana,TX
dbf,Oklahoma State,big-12,big-12,48245,"Lewis, John",1999,Port Arthur,TX
dbf,Texas A&M,sec,big-12,48201,"Davis, Sammy",1999,Humble,TX
dbf,Texas,big-12,big-12,48201,"Babers, Rod",1999,Houston,TX
dbf,Oklahoma,big-12,big-12,48201,"Griffin, Quentin",1999,Houston,TX
dbf,Notre Dame,acc,independent,48201,"Sapp, Gerome",1999,Houston,TX
dbf,Houston,american,cusa,48201,"Reynolds, Joffrey",1999,Houston,TX
dbf,Texas Christian,big-12,cusa,48121,"Dunbar, La tarence",1999,Dallas,TX
dbf,Memphis,american,cusa,48121,"Smith, Wade",1999,Dallas,TX
dbf,Texas Christian,big-12,cusa,48113,"Madise, Adrian",1999,Lancaster,TX
dbf,Iowa State,big-12,big-12,48063,"Loyd, Jeremy",1999,Pittsburg,TX
dbf,Southern Methodist,american,wac,48061,"Garrett, Kevin",1999,San Benito,TX
dbf,Texas A&M,sec,big-12,48041,"Warren, Ty",1999,Bryan,TX
dbf,Texas A&M,sec,big-12,48005,"Kiel, Terrence",1999,Lufkin,TX
dbf,Oregon,pac-12,pac-12,47157,"Wrighster, George",1999,Memphis,TN
dbf,Kentucky,sec,sec,47157,"Robertson, Dewayne",1999,Memphis,TN
dbf,Alabama,sec,sec,47157,"Moorehead, Kindal",1999,Memphis,TN
dbf,Tennessee,sec,sec,47065,"Sands, Terdell",1999,Chattanooga,TN
dbf,Chattanooga,none,none,47065,"Sands, Terdell",1999,Chattanooga,TN
dbf,South Carolina,sec,sec,45085,"Pinkney, Cleveland",1999,Sumter,SC
dbf,South Carolina,sec,sec,45079,"Jenkins, Corey",1999,Columbia,SC
dbf,Georgia Southern,sun-belt,none,45079,"Young, David",1999,Columbia,SC
dbf,Florida,sec,sec,45045,"Scott, Ian",1999,Greenville,SC
dbf,Tennessee,sec,sec,42101,"Hand, Omari",1999,Philadelphia,PA
dbf,Princeton,none,none,42101,"Norman, Dennis",1999,Philadelphia,PA
dbf,Virginia,acc,acc,42045,"Harris, Arlen",1999,Chester,PA
dbf,Marshall,cusa,mac,42003,"Sciullo, Steve",1999,Pittsburgh,PA
dbf,Akron,mac,mac,42003,"Schifino, Jake",1999,Pittsburgh,PA
dbf,Tulsa,american,wac,40143,"Ponder, Willie",1999,Tulsa,OK
dbf,Oklahoma,big-12,big-12,40143,"Duncan, Tim",1999,Tulsa,OK
dbf,Notre Dame,acc,independent,40143,"Mahan, Sean",1999,Tulsa,OK
dbf,Kansas State,big-12,big-12,40109,"Scobey, Josh",1999,Oklahoma City,OK
dbf,Tulsa,american,wac,40051,"Rayburn, Sam",1999,Chickasha,OK
dbf,Ohio State,big-ten,big-ten,39157,"Grant, Cie",1999,Dover,OH
dbf,Ohio State,big-ten,big-ten,39151,"Doss, Mike",1999,Canton,OH
dbf,Ohio State,big-ten,big-ten,39151,"Martin, Jamar",1999,Canton,OH
dbf,Ohio State,big-ten,big-ten,39151,"Peterson, Kenny",1999,Canton,OH
dbf,Louisville,acc,cusa,39091,"Ragone, Dave",1999,Middleburg,OH
dbf,Michigan,big-ten,big-ten,39061,"Askew, B.J.",1999,Colerain,OH
dbf,Cincinnati,american,cusa,39061,"Peek, Antwan",1999,Cincinnati,OH
dbf,Ohio State,big-ten,big-ten,39049,"Furrey, Mike",1999,Grove City,OH
dbf,Nebraska,big-ten,big-12,39035,"Groce, Dejuan",1999,Garfield Heights,OH
dbf,Auburn,sec,sec,39035,"Pucillo, Mike",1999,Cleveland,OH
dbf,North Carolina State,acc,acc,37183,"Kooistra, Scott",1999,Cary,NC
dbf,Tennessee,sec,sec,37161,"Whiteside, Keyon",1999,Forest City,NC
dbf,UCLA,pac-12,pac-12,37119,"Foster, De shaun",1999,Charlotte,NC
dbf,North Carolina State,acc,acc,37081,"Holt, Terrence",1999,Greensboro,NC
dbf,Florida State,acc,acc,37045,"Maddox, Nick",1999,Shelby,NC
dbf,Cincinnati,american,cusa,36103,"Isom, Jasen",1999,Wheatley Heights,NY
dbf,Auburn,sec,sec,34031,"Brown, Mark",1999,Paterson,NJ
dbf,Temple,american,big-east,34025,"Klecko, Dan",1999,Colts Neck,NJ
dbf,Rutgers,big-ten,big-east,34023,"Smith, L.j.",1999,New Brunswick,NJ
dbf,Syracuse,acc,big-east,34013,"Tyree, David",1999,Livingston,NJ
dbf,Michigan,big-ten,big-ten,34005,"Hobson, Victor",1999,Mount Laurel,NJ
dbf,Utah State,mwc,sun-belt,31153,"Newton, Jim",1999,Omaha,NE
dbf,Kansas State,big-12,big-12,29510,"Williams, Melvin",1999,St. Louis,MO
dbf,Mississippi State,sec,sec,28127,"Griffith, Justin",1999,Magee,MS
dbf,Mississippi State,sec,sec,28011,"Davis, Dorsett",1999,Shelby,MS
dbf,Iowa,big-ten,big-ten,27163,"Sobieski, Ben",1999,Mahtomedi,MN
dbf,Minnesota,big-ten,big-ten,27053,"Lehan, Michael",1999,Hopkins,MN
dbf,Colorado State,mwc,mwc,27053,"Nelson, Rhett",1999,Minneapolis,MN
dbf,Wyoming,mwc,mwc,27019,"Elling, Aaron",1999,Waconia,MN
dbf,Michigan,big-ten,big-ten,26163,"Orr, Shantee",1999,Detroit,MI
dbf,Michigan State,big-ten,big-ten,26145,"Rogers, Charles",1999,Saginaw,MI
dbf,Eastern Michigan,mac,mac,26049,"Dach, Carson",1999,Grand Blanc,MI
dbf,Northwestern,big-ten,big-ten,25009,"Lucier, Wayne",1999,Amesbury,MA
dbf,Colorado,pac-12,big-12,25009,"Lucier, Wayne",1999,Amesbury,MA
dbf,Pennsylvania,none,none,24003,"Hatch, Jeff",1999,Annapolis,MD
dbf,Louisiana State,sec,sec,22117,"Allen, Kenderick",1999,Bogalusa,LA
dbf,Notre Dame,acc,independent,22105,"Williams, Brock",1999,Hammond,LA
dbf,Louisiana State,sec,sec,22105,"Toefield, Labrandon",1999,Independence,LA
dbf,San Diego State,mwc,mwc,22097,"Ned, Larry",1999,Eunice,LA
dbf,Louisiana State,sec,sec,22079,"Nall, Craig",1999,Alexandria,LA
dbf,Florida State,acc,acc,22071,"Gardner, Talman",1999,New Orleans,LA
