"Abdul-Quddus, Isa",2011,"Newark , NJ",Newark,NJ,Fordham
"Abdullah, Husain",2009,"Los Angeles , CA",Los Angeles,CA,Washington State
"Aboushi, Oday",2013,"Brooklyn , NY",Brooklyn,NY,Virginia
"Abraham, John",2013,"Timmonsville , SC",Timmonsville,SC,South Carolina
"Acho, Emmanuel",2012,"Dallas , TX",Dallas,TX,Texas
"Acho, Sam",2011,"Hawthorn Woods , IL",Hawthorn Woods,IL,Texas
"Adams, Aaron",2013,"Hawthorn Woods , IL",,,Eastern Kentucky
"Adams, Joe",2012,"Little Rock , AR",Little Rock,AR,Arkansas
"Adams, Harry",2013,"Little Rock , AR",,,Auburn
"Adams, Jeff",2013,"Berwyn , IL",Berwyn,IL,Columbia
"Adams, Johnny",2013,"Des Plaines , IL",Des Plaines,IL,Michigan State
"Adams, Kendrick",2013,"Des Plaines , IL",,,LSU
"Adams, Kris",2012,"Forth Worth , TX",Forth Worth,TX,Texas-El Paso
"Adams, Kyle",2011,"Wellesley , MA",Wellesley,MA,Purdue
"Adams, Mike",2012,"Farrell , PA",Farrell,PA,Ohio State
"Adams, Michael",2007,"Dallas , TX",Dallas,TX,Louisiana-Lafayette
"Adams, Mike",2013,"Paterson , NJ",Paterson,NJ,Delaware
"Adams, Phillip",2010,"Rock Hill , SC",Rock Hill,SC,South Carolina State
"Adams, Royce",2012,"Rock Hill , SC",,,Purdue
"Addae, Jahleel",2013,"Bronx , NY",Bronx,NY,Central Michigan
"Addison, Mario",2011,"Birmingham , AL",Birmingham,AL,Troy
"Adongo, Daniel",2013,Nairobi   Kenya,,,No College
"Afalava, Al",2010,"Laie , HI",Laie,HI,Oregon State
"Agnew, Vince",2013,"Grand Rapids , MI",Grand Rapids,MI,Central Michigan
"Aiken, Danny",2011,"Oxford , CT",Oxford,CT,Virginia
"Aiken, Kamar",2012,"Hollywood , FL",Hollywood,FL,Central Florida
"Aiyewa, Victor",2013,"Houston , TX",Houston,TX,Washington
"Ajirotutu, Seyi",2010,"Mountain View , CA",Mountain View,CA,Fresno State
"Akers, David",2013,"Lexington , KY",Lexington,KY,Louisville
"Akins, C.J.",2013,"Lexington , KY",,,Angelo State
"Albert, Branden",2008,"Rochester , NY",Rochester,NY,Virginia
"Albright, Alex",2011,"Cincinnati , OH",Cincinnati,OH,Boston College
"Alexander, Alvester",2013,"Houston , TX",Houston,TX,Wyoming
"Alexander, Danario",2010,"Waco , TX",Waco,TX,Missouri
"Alexander, Frank",2012,"Zachary , LA",Zachary,LA,Oklahoma
"Alexander, Lorenzo",2007,"Oakland , CA",Oakland,CA,California
"Alford, Dominic",2013,"Oakland , CA",,,Minnesota
"Alford, Robert",2013,"Hammond , LA",Hammond,LA,Southeastern Louisiana
"Allen, Anthony",2011,"Tampa , FL",Tampa,FL,Georgia Tech
"Allen, Antonio",2012,"Ocala , FL",Ocala,FL,South Carolina
"Allen, Armando",2012,"Atlanta , GA",Atlanta,GA,Notre Dame
"Allen, Cortez",2011,"San Diego , CA",San Diego,CA,The Citadel
"Allen, Dwayne",2012,"Fayetteville , NC",Fayetteville,NC,Clemson
"Allen, Jared",2013,"Dallas , TX",Dallas,TX,Idaho State
"Allen, Jeff",2012,"Chicago , IL",Chicago,IL,Illinois
"Allen, Keenan",2013,"Greensboro , NC",Greensboro,NC,California
"Allen, Nate",2010,"Fort Myers , FL",Fort Myers,FL,South Florida
"Allen, Roger",2010,"Raytown , MO",Raytown,MO,Missouri Western State
"Allen, Russell",2009,"Upland , CA",Upland,CA,San Diego State
"Allen, Ryan",2013,"Salem , OR",Salem,OR,Louisiana Tech
"Allen, Will",2013,"Dayton , OH",Dayton,OH,Ohio State
"Alonso, Kiko",2013,"Newton , MA",Newton,MA,Oregon
"Alualu, Tyson",2010,"Honolulu , HI",Honolulu,HI,California
"Amaya, Jonathon",2010,"Glendora , CA",Glendora,CA,Nevada
"Amendola, Danny",2009,"The Woodlands , TX",The Woodlands,TX,Texas Tech
"Amerson, David",2013,"Honolulu , HI",Honolulu,HI,North Carolina State
"Amos, Anthony",2013,"Honolulu , HI",,,Middle Tennessee State
"Amosa, Jonathan",2013,"Honolulu , HI",,,Washington
"Amukamara, Prince",2011,"Leominster , MA",Leominster,MA,Nebraska
"Anderson, Colin",2013,"Gaithersburg , MD",Gaithersburg,MD,Furman
"Anderson, Colt",2010,"Butte , MT",Butte,MT,Montana
"Anderson, C.J.",2013,"Richmond , CA",Richmond,CA,California
"Anderson, Derek",2005,"Portland , OR",Portland,OR,Oregon State
"Anderson, Jackson",2013,"Portland , OR",,,Duke
"Anderson, Jamaal",2007,"Little Rock , AR",Little Rock,AR,Arkansas
"Anderson, James",2006,"Roanoke Rapids , NC",Roanoke Rapids,NC,Virginia Tech
"Anderson, Joe",2013,"Texarkana , TX",Texarkana,TX,Texas Southern
"Anderson, Justin",2013,"Texarkana , TX",,,Georgia
"Anderson, Kadarron",2013,"Rock Hill , SC",Rock Hill,SC,Furman
"Anger, Bryan",2012,"Camarillo , CA",Camarillo,CA,California
"Angerer, Pat",2010,"Bettendorf , IA",Bettendorf,IA,Iowa
"Ansah, Ezekiel",2013,"Accra , Ghana",Accra,Ghana,Brigham Young
"Anthony, Marc",2013,"Chandler , AZ",Chandler,AZ,California
"Anunoby, Chigbo",2013,"Chandler , AZ",,,Morehouse
"Applewhite, Antwan",2008,"Los Angeles , CA",Los Angeles,CA,San Diego State
"Arenas, Javier",2010,"Tampa , FL",Tampa,FL,Alabama
"Arkin, David",2012,"Wichita , KS",Wichita,KS,Missouri State
"Armstead, Armond",2013,"Wichita , KS",,,USC
"Armstead, Terron",2013,"East St. Louis , IL",East St. Louis,IL,Arkansas-Pine Bluff
"Armstrong, Anthony",2010,"Greencastle , IN",Greencastle,IN,West Texas A&M
"Armstrong, Ray-Ray",2013,"Sanford , FL",Sanford,FL,Miami (Fla.)
"Arnfelt, Brian",2013,"Lake Elmo , MN",Lake Elmo,MN,Northwestern
"Aromashodu, Devin",2008,"Miami , FL",Miami,FL,Auburn
"Arrington, Kyle",2009,"Accokeek , MD",Accokeek,MD,Hofstra
"Asamoah, Jon",2010,"Matteson , IL",Matteson,IL,Illinois
"Asante, Larry",2012,"Alexandria , VA",Alexandria,VA,Nebraska
"Ashford, Perez",2013,"Cleveland , OH",Cleveland,OH,Northern Illinois
"Ashworth, Jacolby",2013,"Cleveland , OH",,,Houston
"Asiata, Matt",2012,"Garden Grove , CA",Garden Grove,CA,Utah
"Asomugha, Nnamdi",2013,"Lafayette , LA",Lafayette,LA,California
"Asper, Mark",2012,"Rexburg , ID",Rexburg,ID,Oregon
"Atkins, Baraka",2011,"Sarasota , FL",Sarasota,FL,Miami (Fla.)
"Atkins, Geno",2010,"Pembroke Pines , FL",Pembroke Pines,FL,Georgia
"Atkinson, Eloy",2013,"Brownsville , TX",Brownsville,TX,Texas-El Paso
"Aubrey, Josh",2013,"Terrell , TX",Terrell,TX,Stephen F. Austin St.
"Auguste, Akeem",2013,"Terrell , TX",,,South Carolina
"Aumavae, Junior",2013,"Terrell , TX",,,Minnesota State-Mankato
"Ausberry, David",2011,"Strasburg , VA",Strasburg,VA,USC
"Austin, Marvin",2011,"Washington , DC",Washington,DC,North Carolina
"Austin, Miles",2006,"Summit , NJ",Summit,NJ,Monmouth (N.J.)
"Austin, Rodney",2013,"St. Louis , MO",St. Louis,MO,Elon
"Austin, Tavon",2013,"Baltimore , MD",Baltimore,MD,West Virginia
"Austin, Terrence",2011,"Long Beach , CA",Long Beach,CA,UCLA
"Austin, Thomas",2011,"West Point , NY",West Point,NY,Clemson
"Avant, Jason",2006,"Chicago , IL",Chicago,IL,Michigan
"Avery, Donnie",2008,"Houston , TX",Houston,TX,Houston
"Avril, Cliff",2008,"Jacksonville , FL",Jacksonville,FL,Purdue
"Ayers, Akeem",2011,"Los Angeles , CA",Los Angeles,CA,UCLA
"Ayers, Robert",2009,"Clio , SC",Clio,SC,Tennessee
"Baas, David",2005,"Sarasota , FL",Sarasota,FL,Michigan
"Babin, Jason",2013,"Kalamazoo , MI",Kalamazoo,MI,Western Michigan
"Babineaux, Jonathan",2005,"Port Arthur , TX",Port Arthur,TX,Iowa
"Baca, Jeff",2013,"Laguna Hills , CA",Laguna Hills,CA,UCLA
"Bademosi, Johnson",2012,"Washington , DC",Washington,DC,Stanford
"Baer, Brett",2013,"Washington , DC",,,Louisiana-Lafayette
"Bailey, Allen",2011,"Sapelo Island , GA",Sapelo Island,GA,Miami (Fla.)
"Bailey, Alvin",2013,"Broken Arrow , OK",Broken Arrow,OK,Arkansas
"Bailey, Dan",2011,"Oklahoma City , OK",Oklahoma City,OK,Oklahoma State
"Bailey, Patrick",2008,"Elmendorf , TX",Elmendorf,TX,Duke
"Bailey, Champ",2013,"Folkston , GA",Folkston,GA,Georgia
"Bailey, Stedman",2013,"Folkston , GA",,,West Virginia
"Bair, Brandon",2012,"Rexburg , ID",Rexburg,ID,Oregon
"Bajema, Billy",2007,"Oklahoma City , OK",Oklahoma City,OK,Oklahoma State
"Baker, Chase",2013,"Chico , CA",Chico,CA,Boise State
"Baker, Chris",2012,"Windsor , CT",Windsor,CT,Hampton
"Baker, Edwin",2013,"Detroit , MI",Detroit,MI,Michigan State
"Baker, George",2013,"Detroit , MI",,,South Florida
"Baker, Ryan",2009,"Indianapolis , IN",Indianapolis,IN,Purdue
"Baker, Sam",2008,"Tustin , CA",Tustin,CA,USC
"Baker, Sean",2013,"Youngstown , OH",Youngstown,OH,Ball State
"Baker, Steven",2013,"Youngstown , OH",,,East Carolina
"Bakhtiari, David",2013,"San Mateo , CA",San Mateo,CA,Colorado
"Baldridge, Daniel",2012,"Lafayette , LA",Lafayette,LA,Marshall
"Baldwin, Doug",2011,"Gulf Breeze , FL",Gulf Breeze,FL,Stanford
"Baldwin, Jon",2011,"Aliquippa , PA",Aliquippa,PA,Pittsburgh
"Ball, Alan",2008,"Detroit , MI",Detroit,MI,Illinois
"Ball, Lance",2009,"Teaneck , NJ",Teaneck,NJ,Maryland
"Ball, Montee",2013,"McPherson , KS",McPherson,KS,Wisconsin
"Ballard, Christian",2011,"Newport News , VA",Newport News,VA,Iowa
"Ballard, Jake",2012,OH,,,Ohio State
"Ballard, Vick",2012,"Pascagoula , MS",Pascagoula,MS,Mississippi State
"Bamiro, Michael",2013,"Brooklyn , NY",Brooklyn,NY,Stony Brook
"Banjo, Chris",2013,"Houston , TX",Houston,TX,Southern Methodist
"Banks, Brian",2013,"Houston , TX",,,No College
"Banks, Johnthan",2013,"Maben , MS",Maben,MS,Mississippi State
"Bannan, Justin",2013,"Sacramento , CA",Sacramento,CA,Colorado
"Banyard, Joe",2013,"Sweetwater , TX",Sweetwater,TX,Texas-El Paso
"Barbieri, Howard",2013,"Sweetwater , TX",,,Rutgers
"Barbre, Allen",2008,"Neosho , MO",Neosho,MO,Missouri Southern State
"Barclay, Don",2012,"Newport News , VA",Newport News,VA,West Virginia
"Barden, Brandon",2013,"Lincolnton , GA",Lincolnton,GA,Vanderbilt
"Barden, Ramses",2009,"Altadena , CA",Altadena,CA,Cal Poly-S.L.O.
"Barker, Chris",2013,"Covina , CA",Covina,CA,Nevada
"Barkley, Matt",2013,"Newport Beach , CA",Newport Beach,CA,USC
"Barksdale, Joe",2011,"Detroit , MI",Detroit,MI,LSU
"Barner, Kenjon",2013,"Lynwood , CA",Lynwood,CA,Oregon
"Barnes, Antwan",2007,"Miami , FL",Miami,FL,Florida International
"Barnes, Khalif",2005,"San Diego , CA",San Diego,CA,Washington
"Barnes, T.J.",2013,"Montgomery , AL",Montgomery,AL,Georgia Tech
"Barnes, Tim",2012,"Marshall , MO",Marshall,MO,Missouri
