"Adcock, Levy",2012,,,,Oklahoma State
"Aguilar, Devin",2012,,,,Washington
"Aiono, James",2012,,,,Utah
"Akpla, Elvis",2012,,,,Montana State
"Alecxih, Chas",2012,,,,Pittsburgh
"Allard, Shea",2012,"Colorado Springs , CO",Colorado Springs,CO,Delaware
"Alvarado, Delbert",2012,,,,South Florida
"Anderson, Jake",2012,,,,Akron
"Anderson, Quintin",2012,,,,Wagner
"Anderson, Todd",2012,,,,Michigan State
"Arukwe, Stanley",2012,,,,Troy
"Avila, Michael",2012,,,,San Jose State
"Bailey, Antwon",2012,"Landover , MD",Landover,MD,Syracuse
"Baker, Ryan",2012,,,,LSU
"Balasavage, Matt",2012,,,,Temple
"Barbiasz, Lee",2012,"Nashua , NH",Nashua,NH,Northern Colorado
"Barnes, Jason",2012,"Greensboro , NC",Greensboro,NC,South Carolina
"Bell, Cameron",2012,"Columbia , SC",Columbia,SC,Northern Illinois
"Bell, Cordell",2012,,,,Minnesota State-Mankato
"Bennett, Duane",2012,,,,Minnesota
"Bias, George",2012,,,,Stephen F. Austin St.
"Blackwell, Will",2012,,,,LSU
"Bonner, Wade",2012,"Memphis , TN",Memphis,TN,Mississippi State
"Boyle, Pat",2012,"Towson , MD",Towson,MD,Temple
"Brewer, Andy",2012,,,,Northwestern
"Brock, Logan",2012,,,,Texas Christian
"Brooks, Jaymes",2012,Zweibrucken   Germany,,,Virginia Tech
"Brooks, Jourdan",2012,,,,Morgan State
"Brown, Aaron",2012,"Spokane , WA",Spokane,WA,Hawaii
"Brown, Eddie",2012,"Bellville , TX",Bellville,TX,Texas A&M
"Brown, Jeremiah",2012,,,,Wagner
"Brown, Les",2012,,,,Westminster (UT)
"Brown, Xavier",2012,"Bay Shore , NY",Bay Shore,NY,C.W. Post
"Bryan, George",2012,,,,North Carolina State
"Bryant, James",2012,,,,Louisville
"Bryant, Lamont",2012,,,,Morgan State
"Buche, Bridger",2012,,,,Eastern Michigan
"Burrell, Troy",2012,"Detroit , MI",Detroit,MI,Wayne State (Mich.)
"Butrym, Patrick",2012,,,,Wisconsin
"Buttles, Derek",2012,,,,Maine
"Calvin, Michael",2012,,,,California
"Cameron, Ronnie",2012,,,,Old Dominion
"Campbell, Terrence",2012,,,,South Carolina
"Carmon, James",2012,"Baltimore , MD",Baltimore,MD,Mississippi State
"Chism, Cameron",2012,,,,Maryland
"Clark, Marques",2012,,,,Henderson State
"Cleveland, Matt",2012,,,,Idaho
"Cole, Adrien",2012,,,,Louisiana Tech
"Cook, Grant",2012,,,,Arkansas
"Cooper, Nicholas",2012,"Clinton , NC",Clinton,NC,Winston-Salem State
"Cosgrove, Michael",2012,,,,Idaho
"Council, Rico",2012,,,,Tennessee State
"Cox, Paul",2012,,,,Mississippi Valley State
"Crank, Jared",2012,,,,Purdue
"Creer, Lennon",2012,,,,Louisiana Tech
"Crump, Gino",2012,,,,Arizona
"Curtis, De'Anthony",2012,,,,Arkansas
"Davis, Emanuel",2012,,,,East Carolina
"DeChristopher, Blake",2012,"Dover , DE",Dover,DE,Virginia Tech
"Deadder, Chase",2012,,,,Sacramento State
"Dorsey, Wayne",2012,,,,Mississippi
"Dunsmore, Drake",2012,,,,Northwestern
"Eachus, Nate",2012,"Wilkes-Barre , PA",Wilkes-Barre,PA,Colgate
"Edwards, Lonnie",2012,,,,Texas Tech
"Efaw, Kyle",2012,,,,Boise State
"Elder, Eddie",2012,"Oakland , CA",Oakland,CA,Arizona State
"Embree, Taylor",2012,"Denver , CO",Denver,CO,UCLA
"Evans, LaQuinton",2012,,,,Southern University
"Fanor, Jean",2012,,,,Bethune-Cookman
"Fenelus, Antonio",2012,,,,Wisconsin
"Ferguson, Sean",2012,,,,Mississippi State
"Figgins, Bruce",2012,,,,Georgia
"Folk, Erik",2012,,,,Washington
"Ford, Jason",2012,,,,Illinois
"Freeman, Andre",2012,,,,Slippery Rock
"Garner, Grant",2012,"Dallas , TX",Dallas,TX,Oklahoma State
"Gatewood, Corey",2012,,,,Stanford
"Gideon, Blake",2012,"DeLeon , TX",DeLeon,TX,Texas
"Gilbert, Charles",2012,,,,Concordia (Minn.)
"Gilleylen, Curenski",2012,,,,Nebraska
"Goda, Devin",2012,,,,Slippery Rock
"Graham, Dorian",2012,,,,Syracuse
"Gray, Tre",2012,,,,Richmond
"Green, Stephfon",2012,"Bronx , NY",Bronx,NY,Penn State
"Green, William",2012,,,,Florida
"Greene, A.J.",2012,,,,Auburn
"Griffin, Robert",2012,,,,Baylor
"Gruder, Max",2012,,,,Pittsburgh
"Guess, Nick",2012,"Knoxville , TN",Knoxville,TN,Tennessee
"Guthrie, Eric",2012,San Salvador   El Salvador,,,Iowa
"Guyton, Trevor",2012,,,,California
"Hall, D.J.",2012,Heilburg   Germany,,,Texas State
"Hanks, Darius",2012,,,,Alabama
"Hansen, Tyler",2012,"Escondido , CA",Escondido,CA,Colorado
"Hardison, Matt",2012,,,,Delaware
"Hardrick, Jermarcus",2012,,,,Nebraska
"Harris, Cliff",2012,,,,Oregon
"Hayes, Michael",2012,"East Bernard , TX",East Bernard,TX,Houston
"Hebert, T-Bob",2012,"Kenner , LA",Kenner,LA,LSU
"Henry, Aaron",2012,,,,Wisconsin
