Aberdeen JC,"Rozier, Bob",1979,1979,DE,6' 3'',240,Anchorage,AK,USA,"Cordova (Sacramento, CA)"
Abilene Christian University,"Bradfute, Byron",1960,1961,OT,6' 3'',243,Beeville,TX,USA,"Jones (Beeville, TX)"
Abilene Christian University,"Cox, Larry",1966,1968,DE/DT,6' 2'',250,Anson,TX,USA,Anson (TX)
Abilene Christian University,"Erickson, Bernie",1967,1968,LB,6' 2'',239,Clifton,TX,USA,Clifton (TX)
Abilene Christian University,"Feasel, Grant",1983,1992,C,6' 8'',267,Barstow,CA,USA,Barstow (CA)
Abilene Christian University,"Feasel, Greg",1986,1987,OT/T,6' 7'',301,Barstow,CA,USA,Barstow (CA)
Abilene Christian University,"Goad, Paul",1956,1956,FB,6' 0'',195,Cincinnati,OH,USA,Little Rock (AR)
Abilene Christian University,"Hill, James",2000,2000,TE,6' 4'',246,Dallas,TX,USA,Riverhead (NY)
Abilene Christian University,"Humphrey, Tommy",1974,1974,C,6' 6'',260,Comanche,TX,USA,Comanche (TX)
Abilene Christian University,"Jackson, Mark",1987,1987,CB,5' 9'',180,Amarillo,TX,USA,"Tascosa (Amarillo, TX)"
Abilene Christian University,"Jacobson, Steve",1987,1987,G,6' 3'',255,Corpus Christi,TX,USA,"Ross S. Sterling (Houston, TX)"
Abilene Christian University,"Johansson, Ove",1977,1977,K,5' 10'',175,Gothenburg,,,Gothenburg (Sweden)
Abilene Christian University,"Jones, Thurman",1941,1942,B/G,5' 10'',196,Wilson,OK,USA,
Abilene Christian University,"Longley, Clint",1974,1976,QB,6' 1'',194,Wichita Falls,TX,USA,Littleton (CO)
Abilene Christian University,"Lucas, Justin",1999,2004,CB/DB/S,5' 10'',200,Victoria,TX,USA,"Stroman (Victoria, TX)"
Abilene Christian University,"Manning, Danieal",2006,2010,DB,5' 11'',201,Corsicana,,,
Abilene Christian University,"Mcleod, Bob",1961,1966,TE,6' 5'',231,Sweetwater,TX,USA,Merkle (TX)
Abilene Christian University,"Montgomery, Cleo",1980,1985,KR/RB/WR,5' 8'',183,Greenville,MS,USA,Greenville (MS)
Abilene Christian University,"Montgomery, Wilbert",1977,1985,RB,5' 10'',195,Greenville,MS,USA,Greenville (MS)
Abilene Christian University,"Mooney, Tipp",1944,1945,FB/HB/QB,5' 10'',187,Shamrock,TX,USA,
Abilene Christian University,"Oliver, Bob",1969,1969,DE,6' 3'',250,Olney,TX,USA,Albany (TX)
Abilene Christian University,"Perkins, Johnny",1977,1983,WR,6' 2'',205,Franklin,TX,USA,Granbury (TX)
Abilene Christian University,"Remsberg, Dan",1986,1987,G/OT/T,6' 6'',275,Temple,TX,USA,Temple (TX)
Abilene Christian University,"Smith, Charley",1956,1956,E,6' 2'',205,Sweetwater,TX,USA,Riverside (CA)
Abilene Christian University,"Smith, Vitamin",1949,1953,HB/OHB,5' 8'',179,Sweetwater,TX,USA,Ventura (CA)/Sweetwater (TX)
Abilene Christian University,"Stovall, Dick",1947,1949,C/G,6' 0'',206,Albany,TX,USA,
Abilene Christian University,"Walton, Wayne",1971,1974,C/G/OL/T,6' 5'',252,Waco,TX,USA,Azle (TX)
Abilene Christian University,"Williams, Dick",1974,1974,WR,5' 11'',170,Campville,FL,USA,Gaineville (FL)
Acadia University,"Pathon, Jerome",1998,2005,WR,6' 0'',184,Capetown,,,"Carson Graham (North Vancouver, B.C.)"
Adams State University,"Alley, Don",1967,1969,FL/LB,6' 2'',200,Cheyenne,WY,USA,Wheat Ridge (CO)
Adams State University,"Cockroft, Don",1968,1980,K/P,6' 1'',193,Cheyenne,WY,USA,Fountain (CO)
Adams State University,"Epperson, Pat",1960,1960,OE,6' 3'',225,Los Angeles,CA,USA,"Verdugo Hills (Sunland, CA)"
Adams State University,"Marchiol, Ken",1987,1987,LB,6' 2'',248,Las Vegas,NV,USA,Trinidad (CO)
Alabama A&M University,"Baldwin, Johnny",2007,2007,LB,6' 1'',230,Bessemer,AL,USA,
Alabama A&M University,"Ballard, Howard",1988,1998,OT,6' 6'',325,Ashland,AL,USA,"Clay County (Ashland, AL)"
Alabama A&M University,"Blake, Ricky",1991,1991,RB,6' 2'',244,Fayetteville,TN,USA,"Lincoln County (Fayetteville, TN)"
Alabama A&M University,"Coleman, Ronnie",1974,1981,RB,5' 10'',197,Jasper,AL,USA,"Walker County (Jasper, AL)"
Alabama A&M University,"French, Ernest",1982,1982,S,5' 11'',195,Tensaw,AL,USA,"Baldwin County (Bay Minette, AL)"
Alabama A&M University,"Hegman, Mike",1976,1987,LB,6' 1'',226,Memphis,TN,USA,"Northside (Memphis, TN)"
Alabama A&M University,"Hopkins, Thomas",1983,1983,T,6' 6'',260,Butler,AL,USA,"Choctaw County (Butler, AL)"
Alabama A&M University,"Kindricks, Billy",1968,1968,DT,6' 4'',265,Tuskegee,AL,USA,"J.W. Dardeb (Opelika, AL)"
Alabama A&M University,"Mathis, Robert",2003,2010,DE,6' 2'',235,Atlanta,,,"McNair (Atlanta, GA)"
Alabama A&M University,"Moseley, Wayne",1974,1974,RB,6' 0'',190,Decatur,AL,USA,"(Decatur, AL)"
Alabama A&M University,"Patton, Joe",1994,1998,OG/OT,6' 5'',306,Birmingham,AL,USA,"Jones Valley (Birmingham, AL)"
Alabama A&M University,"Ross, Oliver",1973,1976,FB/RB,6' 0'',210,Gainesville,FL,USA,Gainesville (FL)
Alabama A&M University,"Smith, Franky",1980,1980,T,6' 6'',279,Birmingham,AL,USA,"Jackson-Olin (Birmingham, AL)"
Alabama A&M University,"Stallworth, John",1974,1987,WR,6' 2'',190,Tuscaloosa,AL,USA,Tuscaloosa (AL)
Alabama A&M University,"Williams, Mike",1982,1984,TE,6' 4'',245,Lafayette,AL,USA,Lafayette (AL)
Alabama State University,"Barlow, Reggie",1996,2003,WR,6' 0'',190,Montgomery,AL,USA,"Lanier (Montgomery, AL)"
Alabama State University,"Baxter, Brad",1989,1995,FB/RB,6' 1'',233,Dothan,AL,USA,"Slocomb (Slocomb, AL)"
Alabama State University,"Brown, Milford",2003,2008,OG,6' 4'',316,Montgomery,AL,USA,Montgomery (AL)
Alabama State University,"Brown, Reggie",1993,1994,WR,6' 1'',195,Miami,FL,USA,"Central (Miami, FL)"
Alabama State University,"Cochran, Earl",2006,2008,DE,6' 5'',272,Birmingham,AL,USA,
Alabama State University,"Coe, Michael",2007,2010,DB,6' 0'',190,Cordova,,,
Alabama State University,"Davis, Art",1953,1953,T,6' 2'',235,Montgomery,AL,USA,"Alabama State Laboratory (Montgomery, AL)"
Alabama State University,"Green, Curtis",1981,1989,DE/DT/LB/NT,6' 3'',260,Quincy,FL,USA,James A. Shanks (Quincy. FL)
Alabama State University,"Greer, Terry",1986,1990,WR,6' 2'',197,Memphis,TN,USA,"Messick (Memphis, TN)"
Alabama State University,"Hodge, Damon",2000,2000,WR,6' 1'',192,Thomaston,AL,USA,"A.L. Johnson (Thomaston, AL)"
Alabama State University,"Huggins, J.J.",2001,2001,FB/TE,6' 3'',245,Zachary,LA,USA,"Northwest (Zachary, LA)"
Alabama State University,"Jackson, Tarvaris",2006,2010,QB,6' 2'',232,Montgomery,,,
Alabama State University,"Lucas, Chad",2005,2007,WR,6' 1'',201,Tuskegee,AL,USA,Booker T. Washington (AL)
Alabama State University,"Martin, Manny",1993,1999,CB/S,5' 11'',184,Miami,FL,USA,"Central (Miami, FL)"
Alabama State University,"Miller, Ralph",1972,1973,G,6' 3'',260,Hartford,AL,USA,
Alabama State University,"Moss, Zefross",1989,1999,OG/OT/T,6' 6'',325,Tuscaloosa,AL,USA,Holt (AL)
Alabama State University,"Powe, Karl",1985,1986,WR,6' 2'',176,Mobile,AL,USA,"Mattie T. Blount (Prichard, AL)"
Alabama State University,"Robinson, Eddie",1992,2002,LB,6' 1'',243,New Orleans,LA,USA,"Brother Martin (New Orleans, LA)"
Alabama State University,"Rogers, Tyrone",1999,2004,DE,6' 5'',248,Montgomery,AL,USA,"Robert E. Lee (Montgomery, AL)"
Alabama State University,"Simmons, Terrance",2002,2002,DT,6' 6'',296,Moss Point,MS,USA,"C.F. Vigor (Prichard, AL)"
Alabama State University,"Smith, Ricky",1982,1987,CB/S,6' 0'',180,Quincy,FL,USA,"James A. Shanks (Quincy, FL)"
Alabama State University,"Thomas, Rodell",1981,1984,LB,6' 1'',227,Quincy,FL,USA,Quincy (FL)
Albany State University,"Barksdale, Rashad",2007,2007,DB,5' 11'',208,Hudson,NY,USA,
Albany State University,"Carter, Steve",1987,1987,WR,5' 10'',170,New York,NY,USA,"Southeastern (Detroit, MI)"
Albany State University,"Gant, Kenneth",1990,1997,CB/S,5' 11'',187,Lakeland,FL,USA,"Kathleen (Lakeland, FL)"
Albany State University,"Green, Art",1972,1972,RB,5' 11'',198,Atlanta,GA,USA,Atlanta (GA)
Albany State University,"Hunter, Jeff",1990,1994,DE,6' 2'',285,Hampton,VA,USA,Hephzibah (GA)
Albany State University,"Land, Dan",1987,1997,CB/RB/S,6' 0'',190,Donalsonville,GA,USA,"Seminole County (Donalsonville, GA)"
Albany State University,"Moore, Derrick",1993,1995,RB,6' 1'',227,Albany,GA,USA,"Monroe (Albany, GA)"
Albany State University,"Nash, Keyon",2004,2004,S,6' 3'',215,Colquitt,GA,USA,Miller County (GA)
Albany State University,"Sheffield, Chris",1986,1987,CB,6' 1'',185,Cairo,GA,USA,Cairo (GA)
Albany State University,"White, Mike",1979,1982,DT,6' 5'',266,Augusta,GA,USA,"Westside (Augusta, GA)"
Albertson College of Idaho,"Owens, R.C.",1957,1964,E/FL/HB/OE/OHB,6' 3'',197,Shreveport,LA,USA,Santa Monica (CA)
Albion College,"Felton, Joe",1987,1987,OG,6' 2'',266,Saginaw,MI,USA,"Bridgeport (Saginaw, MI)"
Albright College,"Disend, Leo",1938,1940,E/T,6' 2'',224,New York,NY,USA,
Albright College,"Durko, John",1944,1944,E,6' 4'',235,Mahanoy City,PA,USA,
Albright College,"Kosel, Stan",1938,1939,E/FB/HB,5' 11'',190,Carteret,NJ,USA,Carteret (NJ)
Albright College,"Riffle, Dick",1938,1942,FB/HB/QB,6' 1'',200,Wellsboro,PA,USA,
Alcorn State University,"Alexander, Willie",1971,1979,CB,6' 2'',194,Montgomery,AL,USA,"George Washington Carver (Montgomery, AL)"
Alcorn State University,"Banks, Willie",1968,1973,G,6' 2'',240,Greenville,MS,USA,"O'Bannon (Greenville, MS)"
Alcorn State University,"Bradley, Henry",1979,1982,DT/NT,6' 2'',262,St. Joseph,LA,USA,"Davidson (St. Joseph, LA)"
Alcorn State University,"Brown, Bob",1969,1973,TE,6' 3'',225,Pace,MS,USA,"East Side (Cleveland, MS)"
Alcorn State University,"Brown, Boyd",1974,1977,TE,6' 4'',216,Crosby,MS,USA,"Wilkinson County (Woodville, MS)"
Alcorn State University,"Campbell, Arnold",1987,1987,DE,6' 3'',260,Charleston,MS,USA,"Charleston (Holcomb, MS)"
Alcorn State University,"Coleman, Charles",1987,1987,TE,6' 4'',232,Kokomo,MS,USA,"West Marion (Foxworth, MS)"
Alcorn State University,"Driver, Donald",1999,2010,WR,6' 0'',181,Houston,,,"Milby (Houston, TX)"
Alcorn State University,"Estes, Larry",1970,1976,DE/DL/DT,6' 6'',255,Louisville,MS,USA,Louisville (MS)
Alcorn State University,"Fairley, Leonard",1974,1974,CB,5' 11'',200,Biloxi,MS,USA,"M.F. Nichols (Biloxi, MS)"
Alcorn State University,"Foules, Elbert",1983,1987,CB,5' 11'',185,Greenville,MS,USA,Greenville (MS)
Alcorn State University,"Frazier, Leslie",1981,1985,CB/S,6' 0'',189,Columbus,MS,USA,"S.D. Lee (Columbus, MS)"
Alcorn State University,"Friday, Larry",1987,1987,S,6' 4'',215,Jackson,MS,USA,"Callaway (Jackson, MS)"
Alcorn State University,"Garror, Leon",1972,1973,CB,6' 0'',180,Mobile,AL,USA,"Williamson (Mobile, AL)"
Alcorn State University,"Giles, Jimmie",1977,1989,TE,6' 3'',238,Natchez,MS,USA,Greenville (MS)
Alcorn State University,"Green, Louis",2004,2008,LB,6' 3'',228,Vicksburg,MS,USA,"Jefferson County (Lorman, MS)"
Alcorn State University,"Hadley, Dave",1970,1971,CB,5' 9'',189,Amory,MS,USA,"West Amory (Amory, MS)"
Alcorn State University,"Harper, Mark",1986,1990,CB,5' 9'',174,Memphis,TN,USA,"Northside (Memphis, TN)"
Alcorn State University,"Hinton, Marcus",1996,1998,TE,6' 4'',265,Wiggins,MS,USA,"Stone (Wiggins, MS)"
Alcorn State University,"Holt, Issiac",1985,1992,CB,6' 1'',200,Birmingham,AL,USA,"Carver (Birmingham, AL)"
Alcorn State University,"Howard, Billy",1974,1976,DE/DT,6' 4'',252,Clarksdale,MS,USA,"Aggie (Clarksdale, MS)"
Alcorn State University,"Jones, Mike",1977,1977,LB,6' 2'',214,Chicago,IL,USA,"Male (Louisville, KY)"
Alcorn State University,"Lewis, Garry",1990,1993,CB,5' 11'',185,New Orleans,LA,USA,"Walter Cohen (New Orleans, LA)"
Alcorn State University,"Mack, Milton",1987,1994,CB/QB,5' 11'',182,Jackson,MS,USA,"Callaway (Jackson, MS)"
Alcorn State University,"Mcgee, Willie",1973,1978,CB/WR,5' 11'',179,New Orleans,LA,USA,"Rowan (Hattiesburg, MS)"
Alcorn State University,"Mcnair, Steve",1995,2007,QB,6' 2'',226,Mount Olive,MS,USA,Mount Olive (MS)
