school,current_conf,historic_conf,county,recruit_year
Notre Dame,acc,independent,54107,1999
Rutgers,big-ten,big-east,54049,1999
Washington,pac-12,pac-12,53053,1999
Brigham Young,independent,mwc,53053,1999
Virginia Tech,acc,big-east,51770,1999
Virginia,acc,acc,51760,1999
Virginia Tech,acc,big-east,51710,1999
North Carolina State,acc,acc,51095,1999
Arizona State,pac-12,pac-12,49057,1999
West Texas A&M,none,none,48449,1999
Kansas State,big-12,big-12,48439,1999
Kansas State,big-12,big-12,48439,1999
Georgia,sec,sec,48439,1999
Texas A&M,sec,big-12,48349,1999
Oklahoma State,big-12,big-12,48245,1999
Texas A&M,sec,big-12,48201,1999
Texas,big-12,big-12,48201,1999
Oklahoma,big-12,big-12,48201,1999
Notre Dame,acc,independent,48201,1999
Houston,american,cusa,48201,1999
Texas Christian,big-12,cusa,48121,1999
Memphis,american,cusa,48121,1999
Texas Christian,big-12,cusa,48113,1999
Iowa State,big-12,big-12,48063,1999
Southern Methodist,american,wac,48061,1999
Texas A&M,sec,big-12,48041,1999
Texas A&M,sec,big-12,48005,1999
Oregon,pac-12,pac-12,47157,1999
Kentucky,sec,sec,47157,1999
Alabama,sec,sec,47157,1999
Tennessee,sec,sec,47065,1999
Chattanooga,none,none,47065,1999
South Carolina,sec,sec,45085,1999
South Carolina,sec,sec,45079,1999
Georgia Southern,sun-belt,none,45079,1999
Florida,sec,sec,45045,1999
Tennessee,sec,sec,42101,1999
Princeton,none,none,42101,1999
Virginia,acc,acc,42045,1999
Marshall,cusa,mac,42003,1999
Akron,mac,mac,42003,1999
Tulsa,american,wac,40143,1999
Oklahoma,big-12,big-12,40143,1999
Notre Dame,acc,independent,40143,1999
Kansas State,big-12,big-12,40109,1999
Tulsa,american,wac,40051,1999
Ohio State,big-ten,big-ten,39157,1999
Ohio State,big-ten,big-ten,39151,1999
Ohio State,big-ten,big-ten,39151,1999
Ohio State,big-ten,big-ten,39151,1999
Louisville,acc,cusa,39091,1999
Michigan,big-ten,big-ten,39061,1999
Cincinnati,american,cusa,39061,1999
Ohio State,big-ten,big-ten,39049,1999
Nebraska,big-ten,big-12,39035,1999
