name,sport,sport_name,gender,age,inch,pound
Lisa Zimmermann,fss,Freestyle Skiing,Female,17,,
Antoine Adelisse,fss,Freestyle Skiing,Male,17,,
Beau-James Wells,fss,Freestyle Skiing,Male,18,,
Rowan Cheshire,fss,Freestyle Skiing,Female,18,,
Dominique Ohaco,fss,Freestyle Skiing,Female,18,,
Hedvig Wessel,fss,Freestyle Skiing,Female,18,,
Oscar Wester,fss,Freestyle Skiing,Male,18,,
Junho Kim,ssk,Speedskating,Male,18,,
Evgeniy Timofeev,alp,Alpine Skiing,Male,19,,
Henrik Kristoffersen,alp,Alpine Skiing,Male,19,,
Jon Anders Lindstad,fss,Freestyle Skiing,Male,19,,
Salome Bancora,alp,Alpine Skiing,Female,20,,
Johannes Thingnes Boe,bai,Biathlon,Male,20,,
Anne Line Gjersem,fgs,Figure Skating,Female,20,,
Ludvig Fjallstrom,fss,Freestyle Skiing,Male,20,,
Staale Sandbech,swb,Snowboarding,Male,20,,
Silje Norendal,swb,Snowboarding,Female,20,,
Emil Andre Ulsletten,swb,Snowboarding,Male,20,,
Simen Spieler Nilsen,ssk,Speedskating,Male,20,,
Aleksander Aamodt Kilde,alp,Alpine Skiing,Male,21,,
Ragnhild Mowinckel,alp,Alpine Skiing,Female,21,,
Vetle Sjastad Christiansen,bai,Biathlon,Male,21,,
Ekaterina Baturina,lge,Luge,Female,21,,
Havard Lorentzen,ssk,Speedskating,Male,21,,
Sverre Lunde Pedersen,ssk,Speedskating,Male,21,,
Lotte Smiseth Sejersted,alp,Alpine Skiing,Female,22,,
Sebastiano Gastaldi,alp,Alpine Skiing,Male,22,,
Yuri Danilochkin,alp,Alpine Skiing,Male,22,,
Mona Loeseth,alp,Alpine Skiing,Female,22,,
Sebastian-Foss Solevaag,alp,Alpine Skiing,Male,22,,
Anna Swenn-Larsson,alp,Alpine Skiing,Female,22,,
Heidi Weng,ccy,Cross Country Skiing,Female,22,,
Didrik Toenseth,ccy,Cross Country Skiing,Male,22,,
Markus Hoeiberg,crl,Curling,Male,22,,
Torgeir Bergrem,swb,Snowboarding,Male,22,,
Hege Bokko,ssk,Speedskating,Female,22,,
Jorge F. Birkner Ketelhohn,alp,Alpine Skiing,Male,23,,
Tiril Eckhoff,bai,Biathlon,Female,23,,
Finn Haagen Krogh,ccy,Cross Country Skiing,Male,23,,
Maiken Caspersen Falla,ccy,Cross Country Skiing,Female,23,,
Ingvild Flugstad Oestberg,ccy,Cross Country Skiing,Female,23,,
Paal Golberg,ccy,Cross Country Skiing,Male,23,,
Anna Sloan,crl,Curling,Female,23,,
Yannic Lerjen,fss,Freestyle Skiing,Male,23,,
Zuzana Stromkova,fss,Freestyle Skiing,Female,23,,
Yulia Leskina,hky,Hockey,Female,23,,
Gjermund Braaten,swb,Snowboarding,Male,23,,
Helene Olafsen,swb,Snowboarding,Female,23,,
Ida Njaatun,ssk,Speedskating,Female,23,,
Nina Loeseth,alp,Alpine Skiing,Female,24,,
Synnoeve Solemdal,bai,Biathlon,Female,24,,
Elise Ringen,bai,Biathlon,Female,24,,
Marek Skala,fss,Freestyle Skiing,Male,24,,
Junko Hoshino,fss,Freestyle Skiing,Female,24,,
Antti-Jussi Kemppainen,fss,Freestyle Skiing,Male,24,,
Stian Sivertzen,swb,Snowboarding,Male,24,,
Camilla H Farestveit,ssk,Speedskating,Female,24,,
