name,sport,gender,country,height,weight,age
Silvan Zurbriggen,alp,Male,Switzerland,1.85,97,32
Elena Yakovishina,alp,Female,Russian Fed.,1.70,65,21
Steve Missillier,alp,Male,France,1.86,80,29
Matthias Mayer,alp,Male,Austria,1.79,87,23
Bernadette Schild,alp,Female,Austria,1.65,55,24
Helga Maria Vilhjalmsdottir,alp,Female,Iceland,1.71,,18
Brittany Phelan,alp,Female,Canada,1.71,62,22
Morgan Pridy,alp,Male,Canada,1.73,78,23
Young-Seo Kang,alp,Female,Korea,1.68,60,16
Camille Dias,alp,Female,Portugal,1.65,55,17
Michal Jasiczek,alp,Male,Poland,1.83,74,19
Yuxin Zhang,alp,Male,China,1.82,71,24
Tim Jitloff,alp,Male,United States,1.80,91,29
Stefan Prisadov,alp,Male,Bulgaria,1.80,80,23
Marcel Hirscher,alp,Male,Austria,1.73,70,24
Nadja Jnglin-Kamer,alp,Female,Switzerland,1.80,79,27
Tina Maze,alp,Female,Slovenia,1.71,68,30
Thomas Mermillod Blondin,alp,Male,France,1.76,80,30
Francesca Marsaglia,alp,Female,Italy,1.67,61,24
Kristina Saalova,alp,Female,Slovakia,1.71,70,22
Wendy Holdener,alp,Female,Switzerland,1.67,60,20
Natko Zrncic-Dim,alp,Male,Croatia,1.77,88,27
Nina Loeseth,alp,Female,Norway,,,24
Marion Bertrand,alp,Female,France,1.63,58,29
Justin Murisier,alp,Male,Switzerland,1.75,82,22
Lotte Smiseth Sejersted,alp,Female,Norway,,,22
Alessia Afi Dipol,alp,Female,Togo,1.68,58,18
Sarka Strachova,alp,Female,Czech Republic,1.74,66,29
Sandro Viletta,alp,Male,Switzerland,1.77,78,28
Gaia Bassani Antivari,alp,Female,Azerbaijan,1.66,60,35
Agnese Aboltina,alp,Female,Latvia,1.66,60,18
Aleksander Aamodt Kilde,alp,Male,Norway,,,21
Jana Gantnerova,alp,Female,Slovakia,1.65,65,24
Matej Vidovic,alp,Male,Croatia,1.93,92,20
Igor Laikert,alp,Male,Bosnia and Herzegovina,1.86,87,22
Elli Terwiel,alp,Female,Canada,1.72,73,24
