bracket,initial_slot,seed,team,initial_odds,ff_odds,ship_odds
m,0,1,Kentucky,0.999,0.733333333,0.454545455
m,1,16,First Four 1,0.001,0.0001,0.00001
m,2,8,Cincinnati,0.425531915,0.013333333,0.005
m,3,9,Purdue,0.574468085,0.013333333,0.005
m,4,5,W. Virginia,0.666666667,0.02,0.01
m,5,12,Buffalo,0.333333333,0.006666667,0.002
m,6,4,Maryland,0.6875,0.03030303,0.015151515
m,7,13,Valparaiso,0.3125,0.006666667,0.002
m,8,6,Butler,0.444444444,0.025,0.01
m,9,11,Texas,0.555555556,0.04,0.01
m,10,3,Notre Dame,0.916666667,0.111111111,0.04
m,11,14,Nor'eastern,0.083333333,0.006666667,0.002
m,12,7,Wichita St.,0.705882353,0.111111111,0.02
m,13,10,Indiana,0.294117647,0.015151515,0.005
m,14,2,Kansas,0.909090909,0.1,0.025
m,15,15,NM State,0.090909091,0.006666667,0.002
e,0,1,Villanova,0.983606557,0.357142857,0.1
e,1,16,Lafayette,0.016393443,0.003333333,0.001
e,2,8,NC State,0.583333333,0.04,0.005
e,3,9,LSU,0.416666667,0.04,0.006666667
e,4,5,Nor. Iowa,0.72972973,0.125,0.015151515
e,5,12,Wyoming,0.27027027,0.02,0.003333333
e,6,4,Louisville,0.818181818,0.071428571,0.015151515
e,7,13,UC Irvine,0.181818182,0.006666667,0.002
e,8,6,Providence,0.53,0.03030303,0.006666667
e,9,11,First Four 2,0.47,0.047,0.0047
e,10,3,Oklahoma,0.923076923,0.111111111,0.02
e,11,14,Albanay,0.076923077,0.006666667,0.002
e,12,7,Mich. State,0.714285714,0.1,0.025
e,13,10,Georgia,0.285714286,0.02,0.003333333
e,14,2,Virginia,0.972222222,0.294117647,0.1
e,15,15,Belmont,0.027777778,0.006666667,0.002
w,0,1,Wisconson,0.99,0.363636364,0.105263158
w,1,16,Cstl Carolina,0.01,0.003333333,0.001
w,2,8,Oregon,0.555555556,0.02,0.005
w,3,9,Ok. State,0.444444444,0.02,0.003333333
w,4,5,Arkansas,0.777777778,0.05,0.01
w,5,12,Wofford,0.222222222,0.013333333,0.002
w,6,4,UNC,0.875,0.1,0.025
w,7,13,Harvard,0.125,0.01,0.002
w,8,6,Xaviar,0.58,0.045454545,0.006666667
w,9,11,First Four 3,0.42,0.042,0.0042
w,10,3,Baylor,0.818181818,0.083333333,0.02
w,11,14,Georgia St.,0.181818182,0.006666667,0.002
w,12,7,VCU,0.377358491,0.05,0.01
w,13,10,Ohio State,0.622641509,0.055555556,0.01
w,14,2,Arizona,0.99009901,0.363636364,0.117647059
w,15,15,Texas Sthrn.,0.00990099,0.003333333,0.002
s,0,1,Duke,0.999,0.363636364,0.111111111
s,1,16,First Four 4,0.001,0.0001,0.00001
s,2,8,SD State,0.607843137,0.04,0.005
s,3,9,St. Johns,0.392156863,0.03030303,0.006666667
s,4,5,Utah,0.75,0.125,0.03030303
s,5,12,SF Austin,0.25,0.02,0.003333333
s,6,4,Georgetown,0.777777778,0.071428571,0.01
s,7,13,E. Wash.,0.222222222,0.01,0.002
s,8,6,SMU,0.62962963,0.05,0.01
s,9,11,UCLA,0.37037037,0.03030303,0.003333333
s,10,3,Iowa State,0.941176471,0.153846154,0.03030303
s,11,14,UAB,0.058823529,0.01,0.002
s,12,7,Iowa,0.583333333,0.04,0.005
s,13,10,Davidson,0.416666667,0.03030303,0.003333333
s,14,2,Gonzaga,0.980392157,0.266666667,0.0625
s,15,15,ND State,0.019607843,0.006666667,0.002
ff-1,1,16,Manhattan,0.001,0.0001,0.00001
ff-1,1,16,Hampton,0.001,0.0001,0.00001
ff-2,9,11,Boise State,0.42,0.042,0.0042
ff-2,9,11,Dayton,0.58,0.058,0.0058
ff-3,9,11,BYU,0.47,0.047,0.0047
ff-3,9,11,Ole Miss,0.47,0.047,0.0047
ff-4,1,16,North Florida,0.001,0.0001,0.00001
ff-4,1,16,Rbrt Morris,0.001,0.0001,0.00001
