member,state,state_name,district,party,state_code,district_code
Vacant seat,AL,Alabama,1,,1,101
Martha Roby,AL,Alabama,2,R,1,102
Mike D. Rogers,AL,Alabama,3,R,1,103
Robert B. Aderholt,AL,Alabama,4,R,1,104
Mo Brooks,AL,Alabama,5,R,1,105
Spencer Bachus,AL,Alabama,6,R,1,106
Terri Sewell,AL,Alabama,7,D,1,107
Don Young,AK,Alaska,0,R,2,200
Ann Kirkpatrick,AZ,Arizona,1,D,4,401
Ron Barber,AZ,Arizona,2,D,4,402
Raul M. Grijalva,AZ,Arizona,3,D,4,403
Paul Gosar,AZ,Arizona,4,R,4,404
Matt Salmon,AZ,Arizona,5,R,4,405
David Schweikert,AZ,Arizona,6,R,4,406
Ed Pastor,AZ,Arizona,7,D,4,407
Trent Franks,AZ,Arizona,8,R,4,408
Kyrsten Sinema,AZ,Arizona,9,D,4,409
Rick Crawford,AR,Arkansas,1,R,5,501
Tim Griffin,AR,Arkansas,2,R,5,502
Steve Womack,AR,Arkansas,3,R,5,503
Tom Cotton,AR,Arkansas,4,R,5,504
Doug LaMalfa,CA,California,1,R,6,601
Jared Huffman,CA,California,2,D,6,602
John Garamendi,CA,California,3,D,6,603
Tom McClintock,CA,California,4,R,6,604
Mike Thompson,CA,California,5,D,6,605
Doris Matsui,CA,California,6,D,6,606
Ami Bera,CA,California,7,D,6,607
Paul Cook,CA,California,8,R,6,608
Jerry McNerney,CA,California,9,D,6,609
Jeffrey Denham,CA,California,10,R,6,610
George Miller,CA,California,11,D,6,611
Nancy Pelosi,CA,California,12,D,6,612
Barbara Lee,CA,California,13,D,6,613
Jackie Speier,CA,California,14,D,6,614
Eric Swalwell,CA,California,15,D,6,615
Jim Costa,CA,California,16,D,6,616
Michael M. Honda,CA,California,17,D,6,617
Anna G. Eshoo,CA,California,18,D,6,618
Zoe Lofgren,CA,California,19,D,6,619
Sam Farr,CA,California,20,D,6,620
David Valadao,CA,California,21,R,6,621
Devin Nunes,CA,California,22,R,6,622
Kevin McCarthy,CA,California,23,R,6,623
Lois Capps,CA,California,24,D,6,624
Howard P. McKeon,CA,California,25,R,6,625
Julia Brownley,CA,California,26,D,6,626
Judy Chu,CA,California,27,D,6,627
Adam B. Schiff,CA,California,28,D,6,628
Tony Cardenas,CA,California,29,D,6,629
Brad Sherman,CA,California,30,D,6,630
Gary G. Miller,CA,California,31,R,6,631
Grace F. Napolitano,CA,California,32,D,6,632
Henry A. Waxman,CA,California,33,D,6,633
Xavier Becerra,CA,California,34,D,6,634
Gloria Negrete McLeod,CA,California,35,D,6,635
Raul Ruiz,CA,California,36,D,6,636
Karen Bass,CA,California,37,D,6,637
Linda T. Sanchez,CA,California,38,D,6,638
Ed Royce,CA,California,39,R,6,639
Lucille Roybal-Allard,CA,California,40,D,6,640
Mark Takano,CA,California,41,D,6,641
Ken Calvert,CA,California,42,R,6,642
Maxine Waters,CA,California,43,D,6,643
Janice Hahn,CA,California,44,D,6,644
John Campbell,CA,California,45,R,6,645
Loretta Sanchez,CA,California,46,D,6,646
Alan Lowenthal,CA,California,47,D,6,647
Dana Rohrabacher,CA,California,48,R,6,648
Darrell Issa,CA,California,49,R,6,649
Duncan D. Hunter,CA,California,50,R,6,650
Juan Vargas,CA,California,51,D,6,651
Scott Peters,CA,California,52,D,6,652
Susan A. Davis,CA,California,53,D,6,653
Diana DeGette,CO,Colorado,1,D,8,801
Jared Polis,CO,Colorado,2,D,8,802
Scott Tipton,CO,Colorado,3,R,8,803
Cory Gardner,CO,Colorado,4,R,8,804
Doug Lamborn,CO,Colorado,5,R,8,805
Mike Coffman,CO,Colorado,6,R,8,806
Ed Perlmutter,CO,Colorado,7,D,8,807
John B. Larson,CT,Connecticut,1,D,9,901
Joe Courtney,CT,Connecticut,2,D,9,902
Rosa DeLauro,CT,Connecticut,3,D,9,903
Jim Himes,CT,Connecticut,4,D,9,904
Elizabeth Esty,CT,Connecticut,5,D,9,905
John Carney,DE,Delaware,0,D,10,1000
Jeff Miller,FL,Florida,1,R,12,1201
Steve Southerland,FL,Florida,2,R,12,1202
Ted Yoho,FL,Florida,3,R,12,1203
Ander Crenshaw,FL,Florida,4,R,12,1204
Corrine Brown,FL,Florida,5,D,12,1205
Ron DeSantis,FL,Florida,6,R,12,1206
John L. Mica,FL,Florida,7,R,12,1207
Bill Posey,FL,Florida,8,R,12,1208
Alan Grayson,FL,Florida,9,D,12,1209
Daniel Webster,FL,Florida,10,R,12,1210
Richard Nugent,FL,Florida,11,R,12,1211
Gus Bilirakis,FL,Florida,12,R,12,1212
C. W. Bill Young,FL,Florida,13,R,12,1213
Kathy Castor,FL,Florida,14,D,12,1214
Dennis Ross,FL,Florida,15,R,12,1215
Vern Buchanan,FL,Florida,16,R,12,1216
Tom Rooney,FL,Florida,17,R,12,1217
Patrick Murphy,FL,Florida,18,D,12,1218
Trey Radel,FL,Florida,19,R,12,1219
Alcee L. Hastings,FL,Florida,20,D,12,1220
Ted Deutch,FL,Florida,21,D,12,1221
Lois Frankel,FL,Florida,22,D,12,1222
Debbie Wasserman Schultz,FL,Florida,23,D,12,1223
Frederica Wilson,FL,Florida,24,D,12,1224
Mario Diaz-Balart,FL,Florida,25,R,12,1225
Joe Garcia,FL,Florida,26,D,12,1226
Ileana Ros-Lehtinen,FL,Florida,27,R,12,1227
Jack Kingston,GA,Georgia,1,R,13,1301
Sanford D. Bishop Jr.,GA,Georgia,2,D,13,1302
Lynn Westmoreland,GA,Georgia,3,R,13,1303
Hank Johnson,GA,Georgia,4,D,13,1304
John  Lewis,GA,Georgia,5,D,13,1305
Tom Price,GA,Georgia,6,R,13,1306
Rob Woodall,GA,Georgia,7,R,13,1307
Austin Scott,GA,Georgia,8,R,13,1308
Doug Collins,GA,Georgia,9,R,13,1309
Paul Broun,GA,Georgia,10,R,13,1310
Phil Gingrey,GA,Georgia,11,R,13,1311
John Barrow,GA,Georgia,12,D,13,1312
David Scott,GA,Georgia,13,D,13,1313
Tom Graves,GA,Georgia,14,R,13,1314
Colleen Hanabusa,HI,Hawaii,1,D,15,1501
