distance_in_miles,county,tract_code,median_income,population,white_percent,black_percent,latitude,longitude,trips,after_8_trips
0.041591095,New York,119,12538,1108,0.516245487,0.361913357,40.75751659,-73.98645694,29470,10454
0.170426792,New York,125,129432,2368,0.641469595,0.054476351,40.76004828,-73.98470297,40780,14438
0.328280755,New York,115,86667,2469,0.547185095,0.114216282,40.75674662,-73.99184518,33180,9342
0.333822298,New York,121,56897,8268,0.700411224,0.065553943,40.75965905,-73.99153092,22461,9220
0.358846393,New York,127,60911,6538,0.679259712,0.054144998,40.76195648,-73.98962948,17694,7389
0.370192362,New York,131,102941,2463,0.721883881,0.073487617,40.76222954,-73.98192116,34691,11080
0.4164282,New York,84,98401,1661,0.434677905,0.04154124,40.75179828,-73.98408408,17068,4888
0.477429225,New York,133,82176,6153,0.704859418,0.050706972,40.7644793,-73.98746768,17559,8156
0.486374661,New York,104,101875,1036,0.826254826,0.027027027,40.76099046,-73.97748385,25043,6493
0.532446956,New York,111,60688,3448,0.585556845,0.072795824,40.75445868,-73.99493013,12366,3217
0.55278121,New York,82,115054,3601,0.741183005,0.119966676,40.75091421,-73.98010437,31648,6755
0.571241199,New York,137,111701,6882,0.829700668,0.010316768,40.76499943,-73.98057321,42314,11758
0.627087226,New York,101,131625,1067,0.67760075,0.094657919,40.75011456,-73.99227958,72771,16554
0.64030151,New York,92,106917,1748,0.707665904,0.046910755,40.75322204,-73.97498848,46010,12054
0.660432784,New York,103,96932,1959,0.642674834,0.079632466,40.7520481,-73.99587697,12785,3377
0.6680818,New York,139,78919,7986,0.84535437,0.048334586,40.7673694,-73.98559339,20317,5896
0.687348315,New York,76,62667,2110,0.572985782,0.031279621,40.74782608,-73.98730602,30893,11358
0.692471459,New York,129,77042,5481,0.645137749,0.068783069,40.76287293,-73.99703366,22790,8112
0.718087639,New York,80,110614,5186,0.840532202,0.019475511,40.74937896,-73.97747876,28557,7097
0.741877942,New York,100,89766,1699,0.733961154,0.032960565,40.75759826,-73.97152484,39446,11309
0.757927034,New York,117,79985,2443,0.675399099,0.101514531,40.7602632,-73.99978187,13469,2689
0.78889263,New York,135,38881,6036,0.546056991,0.179589132,40.76815106,-73.99177237,13399,3774
0.796719565,New York,145,122289,5803,0.781836981,0.045149061,40.76907182,-73.98317415,26776,7269
0.819441838,New York,74,124410,4358,0.782698486,0.025240936,40.7458901,-73.98425528,30065,9050
0.826840998,New York,95,101223,3172,0.756620429,0.032471627,40.74700565,-73.99279088,21581,5763
0.865297168,New York,90,108601,7115,0.739283204,0.028109628,40.75315621,-73.97029295,21932,5668
0.868827599,New York,88,102525,6993,0.748605749,0.014586015,40.74989293,-73.97268599,24181,5858
0.896243863,New York,97,42036,4533,0.684976837,0.088021178,40.74971508,-73.99919577,7044,2488
0.906526707,New York,72,88375,8289,0.790927736,0.017251779,40.74519661,-73.98044881,30817,9792
0.911903852,New York,114.01,106618,1220,0.909016393,0.02295082,40.76440143,-73.97068763,15968,2919
0.914137783,New York,112.03,122784,1004,0.793824701,0,40.76128024,-73.96888384,21100,4676
0.922622995,New York,147,91635,2292,0.655759162,0.064572426,40.77084856,-73.98878027,3427,576
0.942173001,New York,98,97147,7150,0.811328671,0.02,40.75618353,-73.96780882,26018,10558
0.974219423,New York,78,86846,7582,0.81535215,0.01398048,40.74637765,-73.97460561,19060,4900
1.008963805,New York,149,140255,5269,0.837350541,0.030556083,40.77205341,-73.98214611,20540,7825
1.02320477,New York,91,107757,5840,0.743321918,0.028938356,40.74459027,-73.99479424,22915,6610
1.027130683,New York,58,104745,3078,0.689733593,0.031189084,40.74329074,-73.99052993,30587,10072
1.037397035,New York,114.02,125978,2380,0.864285714,0.015546218,40.76355776,-73.9674473,21927,4698
1.055416772,New York,108,119423,8479,0.812359948,0.035027716,40.75878205,-73.96558359,21097,5693
1.086860295,New York,93,66558,9056,0.75905477,0.095295936,40.74684414,-74.00072887,17593,4818
1.093913824,New York,56,148750,2950,0.716949153,0.082033898,40.74190214,-73.98709511,23994,7802
1.09717751,New York,70,104725,8434,0.830685321,0.022883567,40.74309407,-73.97747186,21144,6852
1.111928431,New York,99,115497,2877,0.688912061,0.070907195,40.75010544,-74.00443126,44736,14621
1.152643247,New York,151,89690,8736,0.538461538,0.155906593,40.77425152,-73.98846221,10333,1589
1.161500106,New York,122,149808,2963,0.967262909,0,40.76793009,-73.9680869,15891,2261
1.182087213,New York,68,80808,6383,0.777377409,0.060629798,40.74062932,-73.98418174,31027,10369
1.195672744,New York,110,99238,7591,0.894480306,0.024107496,40.76188403,-73.96353016,21618,5463
1.215456637,New York,153,129702,9262,0.857482185,0.025048586,40.77499291,-73.98143248,21580,5498
1.233905572,New York,87,107995,6445,0.831652444,0.016291699,40.74201338,-73.99696956,24511,6903
1.240797957,New York,106.01,124624,7267,0.896243292,0.020641255,40.75758091,-73.96199138,8349,1451
1.258300378,New York,66,69537,12177,0.684897758,0.060852427,40.74005821,-73.97972902,13141,3849
1.280662121,New York,89,87899,5713,0.77840014,0.074741817,40.744645,-74.00307025,8555,2873
