team,elo,conference,division
New England,1730,afc,east
Denver,1667,afc,west
Pittsburgh,1605,afc,north
Cincinnati,1594,afc,north
Baltimore,1574,afc,north
Indianapolis,1568,afc,south
San Diego,1548,afc,west
Kansas City,1530,afc,west
Miami,1514,afc,east
Buffalo,1501,afc,east
Houston,1494,afc,south
Cleveland,1384,afc,north
N.Y. Jets,1357,afc,east
Oakland,1331,afc,west
Jacksonville,1283,afc,south
Tennessee,1262,afc,south
Seattle,1755,nfc,west
Green Bay,1623,nfc,north
Dallas,1620,nfc,east
Arizona,1591,nfc,west
Detroit,1575,nfc,north
Philadelphia,1536,nfc,east
San Francisco,1522,nfc,west
Carolina,1489,nfc,south
N.Y. Giants,1485,nfc,east
Atlanta,1476,nfc,south
St. Louis,1463,nfc,west
New Orleans,1462,nfc,south
Minnesota,1451,nfc,north
Chicago,1381,nfc,north
Tampa Bay,1318,nfc,south
Washington,1311,nfc,east
