division,opponent
afc-east,afc-south
afc-east,nfc-east
afc-south,afc-east
afc-south,nfc-south
afc-west,afc-north
afc-west,nfc-north
afc-north,afc-west
afc-north,nfc-west
nfc-east,nfc-south
nfc-east,afc-east
nfc-south,nfc-east
nfc-south,afc-south
nfc-west,nfc-north
nfc-west,afc-north
nfc-north,nfc-west
nfc-north,afc-west
afc-east,afc-east
afc-east,afc-east
afc-south,afc-south
afc-south,afc-south
afc-west,afc-west
afc-west,afc-west
afc-north,afc-north
afc-north,afc-north
nfc-east,nfc-east
nfc-east,nfc-east
nfc-south,nfc-south
nfc-south,nfc-south
nfc-west,nfc-west
nfc-west,nfc-west
nfc-north,nfc-north
nfc-north,nfc-north
