team,division,opponent,opponent_division,location
Arizona,nfc-west,St. Louis,nfc-west,away
Arizona,nfc-west,St. Louis,nfc-west,home
Arizona,nfc-west,Seattle,nfc-west,away
Arizona,nfc-west,Seattle,nfc-west,home
Arizona,nfc-west,San Francisco,nfc-west,away
Arizona,nfc-west,San Francisco,nfc-west,home
Arizona,nfc-west,Pittsburgh,afc-north,away
Arizona,nfc-west,Minnesota,nfc-north,home
Arizona,nfc-west,Green Bay,nfc-north,home
Arizona,nfc-west,Detroit,nfc-north,away
Arizona,nfc-west,Cleveland,afc-north,away
Arizona,nfc-west,Cincinnati,afc-north,home
Arizona,nfc-west,Chicago,nfc-north,away
Arizona,nfc-west,Baltimore,afc-north,home
Atlanta,nfc-south,Washington,nfc-east,home
Atlanta,nfc-south,Tennessee,afc-south,away
Atlanta,nfc-south,Tampa Bay,nfc-south,away
Atlanta,nfc-south,Tampa Bay,nfc-south,home
Atlanta,nfc-south,Philadelphia,nfc-east,home
Atlanta,nfc-south,New Orleans,nfc-south,away
Atlanta,nfc-south,New Orleans,nfc-south,home
Atlanta,nfc-south,N.Y. Giants,nfc-east,away
Atlanta,nfc-south,Jacksonville,afc-south,away
Atlanta,nfc-south,Indianapolis,afc-south,home
Atlanta,nfc-south,Houston,afc-south,home
Atlanta,nfc-south,Dallas,nfc-east,away
Atlanta,nfc-south,Carolina,nfc-south,away
Atlanta,nfc-south,Carolina,nfc-south,home
Baltimore,afc-north,St. Louis,nfc-west,home
Baltimore,afc-north,Seattle,nfc-west,home
Baltimore,afc-north,San Francisco,nfc-west,away
Baltimore,afc-north,San Diego,afc-west,home
Baltimore,afc-north,Pittsburgh,afc-north,away
Baltimore,afc-north,Pittsburgh,afc-north,home
Baltimore,afc-north,Oakland,afc-west,away
Baltimore,afc-north,Kansas City,afc-west,home
Baltimore,afc-north,Denver,afc-west,away
Baltimore,afc-north,Cleveland,afc-north,away
Baltimore,afc-north,Cleveland,afc-north,home
Baltimore,afc-north,Cincinnati,afc-north,away
Baltimore,afc-north,Cincinnati,afc-north,home
Baltimore,afc-north,Arizona,nfc-west,away
Buffalo,afc-east,Washington,nfc-east,away
Buffalo,afc-east,Tennessee,afc-south,away
Buffalo,afc-east,Philadelphia,nfc-east,away
Buffalo,afc-east,New England,afc-east,away
Buffalo,afc-east,New England,afc-east,home
Buffalo,afc-east,N.Y. Jets,afc-east,away
Buffalo,afc-east,N.Y. Jets,afc-east,home
Buffalo,afc-east,N.Y. Giants,nfc-east,home
Buffalo,afc-east,Miami,afc-east,away
Buffalo,afc-east,Miami,afc-east,home
Buffalo,afc-east,Jacksonville,afc-south,away
Buffalo,afc-east,Indianapolis,afc-south,home
Buffalo,afc-east,Houston,afc-south,home
Buffalo,afc-east,Dallas,nfc-east,home
Carolina,nfc-south,Washington,nfc-east,home
Carolina,nfc-south,Tennessee,afc-south,away
Carolina,nfc-south,Tampa Bay,nfc-south,away
Carolina,nfc-south,Tampa Bay,nfc-south,home
Carolina,nfc-south,Philadelphia,nfc-east,home
Carolina,nfc-south,New Orleans,nfc-south,away
Carolina,nfc-south,New Orleans,nfc-south,home
Carolina,nfc-south,N.Y. Giants,nfc-east,away
Carolina,nfc-south,Jacksonville,afc-south,away
Carolina,nfc-south,Indianapolis,afc-south,home
Carolina,nfc-south,Houston,afc-south,home
Carolina,nfc-south,Dallas,nfc-east,away
Carolina,nfc-south,Atlanta,nfc-south,away
Carolina,nfc-south,Atlanta,nfc-south,home
Chicago,nfc-north,St. Louis,nfc-west,away
Chicago,nfc-north,Seattle,nfc-west,away
Chicago,nfc-north,San Francisco,nfc-west,home
Chicago,nfc-north,San Diego,afc-west,away
Chicago,nfc-north,Oakland,afc-west,home
Chicago,nfc-north,Minnesota,nfc-north,away
Chicago,nfc-north,Minnesota,nfc-north,home
Chicago,nfc-north,Kansas City,afc-west,away
Chicago,nfc-north,Green Bay,nfc-north,away
Chicago,nfc-north,Green Bay,nfc-north,home
Chicago,nfc-north,Detroit,nfc-north,away
Chicago,nfc-north,Detroit,nfc-north,home
Chicago,nfc-north,Denver,afc-west,home
Chicago,nfc-north,Arizona,nfc-west,home
Cincinnati,afc-north,St. Louis,nfc-west,home
Cincinnati,afc-north,Seattle,nfc-west,home
Cincinnati,afc-north,San Francisco,nfc-west,away
Cincinnati,afc-north,San Diego,afc-west,home
Cincinnati,afc-north,Pittsburgh,afc-north,away
Cincinnati,afc-north,Pittsburgh,afc-north,home
Cincinnati,afc-north,Oakland,afc-west,away
Cincinnati,afc-north,Kansas City,afc-west,home
Cincinnati,afc-north,Denver,afc-west,away
Cincinnati,afc-north,Cleveland,afc-north,away
Cincinnati,afc-north,Cleveland,afc-north,home
Cincinnati,afc-north,Baltimore,afc-north,away
Cincinnati,afc-north,Baltimore,afc-north,home
Cincinnati,afc-north,Arizona,nfc-west,away
Cleveland,afc-north,St. Louis,nfc-west,away
Cleveland,afc-north,Seattle,nfc-west,away
Cleveland,afc-north,San Francisco,nfc-west,home
Cleveland,afc-north,San Diego,afc-west,away
Cleveland,afc-north,Pittsburgh,afc-north,away
Cleveland,afc-north,Pittsburgh,afc-north,home
Cleveland,afc-north,Oakland,afc-west,home
Cleveland,afc-north,Kansas City,afc-west,away
Cleveland,afc-north,Denver,afc-west,home
