bracket,initial_slot,seed,team,initial_odds,ff_odds,ship_odds
s,0,1,Kansas,0.995,0.285714286,0.090909091
s,2,8,UNC,0.62962963,0.047619048,0.019607843
s,4,5,VCU,0.772727273,0.076923077,0.019607843
s,6,4,Michigan,0.875,0.166666667,0.052631579
s,8,6,UCLA,0.416666667,0.019607843,0.00990099
s,10,3,Florida,0.989130435,0.416666667,0.111111111
s,12,7,SDSU,0.583333333,0.032258065,0.003322259
s,14,2,Gtown,0.923076923,0.2,0.052631579
s,1,16,WKU,0.005,0.000999001,0.000999001
s,3,9,Nova,0.37037037,0.013157895,0.000999001
s,5,12,Akron,0.227272727,0.013157895,0.000999001
s,7,13,SDS,0.125,0.003322259,0.000999001
s,9,11,Minn,0.583333333,0.047619048,0.000999001
s,11,14,NWS,0.010869565,0.000999001,0.000999001
s,13,10,Oklahoma,0.416666667,0.013157895,0.000999001
s,15,15,Fl Gulf Cst,0.076923077,0.000999001,0.000999001
w,0,1,Gon,0.995,0.307692308,0.076923077
w,2,8,Pitt,0.677419355,0.142857143,0.019607843
w,4,5,Wisc,0.705882353,0.166666667,0.038461538
w,6,4,Kstate,0.80952381,0.038461538,0.016393443
w,8,6,Arizona,0.642857143,0.076923077,0.019607843
w,10,3,NM,0.866666667,0.181818182,0.032258065
w,12,7,ND,0.534883721,0.038461538,0.00990099
w,14,2,OSU,0.916666667,0.285714286,0.0625
w,1,16,Southern,0.005,0.00049975,0.000999001
w,3,9,Wichata,0.322580645,0.019607843,0.000999001
w,5,12,Ole Miss,0.294117647,0.024390244,0.000999001
w,7,13,La Salle,0.19047619,0.00990099,0.000999001
w,9,11,Belmont,0.357142857,0.016393443,0.000999001
w,11,14,Harvard,0.133333333,0.000999001,0.000999001
w,13,10,Iowa S,0.465116279,0.024390244,0.000999001
w,15,15,Iona,0.083333333,0.000999001,0.000999001
m,0,1,Louisville,0.995,0.523809524,1
m,2,8,Col State,0.4,0.019607843,0.001996008
m,4,5,OK State,0.6,0.047619048,0.00990099
m,6,4,St Louis,0.80952381,0.111111111,0.032258065
m,8,6,Memphis,0.5,0.032258065,0.00990099
m,10,3,MSU,0.85915493,0.166666667,0.052631579
m,12,7,Creighton,0.615384615,0.0625,0.00990099
m,14,2,Duke,0.984615385,0.25,0.111111111
m,1,16,NC AT,0.005,0.00019996,0.000999001
m,3,9,Miss,0.6,0.047619048,0.000999001
m,5,12,Oregon,0.4,0.016393443,0.000999001
m,7,13,NM State,0.19047619,0.003322259,0.000999001
m,9,11,St Mary,0.5,0.019607843,0.000999001
m,11,14,Val,0.14084507,0.00990099,0.000999001
m,13,10,Cinn,0.384615385,0.019607843,0.000999001
m,15,15,Albany,0.015384615,0.00049975,0.000999001
e,0,1,Indiana,0.995,0.523809524,0.125
e,2,8,NCSU,0.642857143,0.047619048,0.016393443
e,4,5,UNLV,0.583333333,0.047619048,0.00990099
e,6,4,Syracuse,0.909090909,0.166666667,0.032258065
e,8,6,Butler,0.615384615,0.047619048,0.00990099
e,10,3,Marquette,0.6,0.0625,0.024390244
e,12,7,Illinois,0.545454545,0.038461538,0.003322259
e,14,2,Miami,0.909090909,0.307692308,0.111111111
e,1,16,JMU,0.005,0.000333222,0.000999001
e,3,9,Temple,0.357142857,0.013157895,0.000999001
e,5,12,Cal,0.416666667,0.016393443,0.000999001
e,7,13,Montana,0.090909091,0.000999001,0.000999001
e,9,11,Bucknell,0.384615385,0.019607843,0.000999001
e,11,14,Davidson,0.4,0.016393443,0.000999001
e,13,10,Colorado,0.454545455,0.024390244,0.000999001
e,15,15,Pacific,0.090909091,0.001996008,0.000999001
