quiz,url,result,name,description,headline,image
Which U.S. President Are You?,http://www.buzzfeed.com/laraparker/which-us-president-are-you,0,Teddy Roosevelt,You are definitely one of a kind. Youâre infectiously optimistic and your tenacity and perseverance will get you far in life. You make a lasting impression on everyone who comes into contact with you. And sometimes you fancy the occasional elephant hunt.,You got: Teddy Roosevelt,http://s3-ak.buzzfeed.com/static/2014-03/tmp/webdr06/4/17/7e4bd24bc85347853e990af53089adf3-22.jpg
Which U.S. President Are You?,http://www.buzzfeed.com/laraparker/which-us-president-are-you,1,Franklin D. Roosevelt,You don’t let the haters get you down. Nothing bothers you and nothing gets under your skin. Youâre able to bring people together under a common cause. Youâre a people person and can talk to anyone about anything. You are made to be a leader.,You got: Franklin D. Roosevelt,http://s3-ak.buzzfeed.com/static/2014-03/tmp/webdr03/4/17/4e56a67c66b90f00b9559188879780d0-28.jpg
Which U.S. President Are You?,http://www.buzzfeed.com/laraparker/which-us-president-are-you,2,Ulysses S. Grant,You have a rough exterior but deep down youâre forgiving and kind. You are also highly moral. Youâre thoughtful and can see how your actions have an impact on the larger scale. But the hope is that youâre not smoking an average of 20 cigars a day.,You got: Ulysses S. Grant,http://s3-ak.buzzfeed.com/static/2014-03/tmp/webdr05/4/17/3535950402cae85e30ad18e3b2fdf39e-13.jpg
Which U.S. President Are You?,http://www.buzzfeed.com/laraparker/which-us-president-are-you,3,John F. Kennedy,"Hey there, good lookinâ. You are highly competitive and enjoy being active. Your sense of humor and charm are enough to win over droves of people. Success sort of runs in your blood. Go and get it.",You got: John F. Kennedy,http://s3-ak.buzzfeed.com/static/2014-03/tmp/webdr08/4/17/6f9df9e07442291a5cd362b7e290990e-37.jpg
Which U.S. President Are You?,http://www.buzzfeed.com/laraparker/which-us-president-are-you,4,Abraham Lincoln,"You certainly don’t give up when times are tough. You are persistent, and that persistance usually pays off. You have a big heart, and an even bigger passion for learning. You may have faced some tough times, but you manage to stay positive and come out on top. You make a difference in this world â big or small. Keep it up. Someday there might be movies made about you.",You got: Abraham Lincoln,http://s3-ak.buzzfeed.com/static/2014-03/tmp/webdr05/4/17/9c2b4705fb9ba578a871d43bf67bf911-33.jpg
Which U.S. President Are You?,http://www.buzzfeed.com/laraparker/which-us-president-are-you,5,George Washington,"Hey there, trendsetter, you sure know what you want â and you seem to figure out exactly how to get it. It’s hard for people to say anything negative about you â you’re just too genuine. You’re a great example for the rest of us. You were born to lead. Keep doin’ your thing.",You got: George Washington,http://s3-ak.buzzfeed.com/static/2014-03/tmp/webdr06/4/17/2e3014312bfe3260edc32d9223f350b8-40.jpg
Which U.S. President Are You?,http://www.buzzfeed.com/laraparker/which-us-president-are-you,6,Barack Obama,"You are pure class and shy away from drama. You are very charismatic and eloquent, and you find it natural and easy to communicate your ideas and opinions to people. Youâre a pioneer, a glass ceiling breaker in effect. Here’s to you.",You got: Barack Obama,http://s3-ak.buzzfeed.com/static/2014-03/tmp/webdr08/4/17/7bbd9fd3d273ed7ce32088e85b51b5ad-10.jpg
Which U.S. President Are You?,http://www.buzzfeed.com/laraparker/which-us-president-are-you,7,Bill Clinton,"Some people may question your motives, but you know what’s right and you stick to it no matter what. You have serious ambition and drive, and nothing and no one can get in your way. Your yearning to learn will never fade away. Keep those ambitions high and always believe in yourself…even if it seems no one else does.",You got: Bill Clinton,http://s3-ak.buzzfeed.com/static/2014-03/tmp/webdr07/4/17/e9101ed8a6fb020b54411d9fde3616c1-0.jpg
Which U.S. President Are You?,http://www.buzzfeed.com/laraparker/which-us-president-are-you,8,Andrew Jackson,"You’ve never been given handouts and for that, your success tastes so much sweeter. You may be given great power, but you have the great responsibility to handle it. You always do what you think is best. Hats off to you.",You got: Andrew Jackson,http://s3-ak.buzzfeed.com/static/2014-03/tmp/webdr04/4/17/549919724b7eb7d8ae3f90273aed4cbe-0.jpg
Which U.S. President Are You?,http://www.buzzfeed.com/laraparker/which-us-president-are-you,9,Woodrow Wilson,"You might not have been the strongest when it came to academics, but your determination and refusal to give up sets you apart from others. You have such a wide array of interests, you’re always involved and learning something. You’re a hard one to keep up with, and to be honest, we’re a little jealous.",You got: Woodrow Wilson,http://s3-ak.buzzfeed.com/static/2014-03/tmp/webdr07/4/17/7e1b55a151254d3ffcfbab040eab2dab-2.jpg
